OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106010735,ALAMEDA HOSPITAL,140000002,Parent Facility,2070 Clinton Ave,Alameda,94501,1,Alameda,Emergency - Basic,101,Open,1946-01-01,Hospital,General Acute Care Hospital,37.76266,-122.253991
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,140000004,Parent Facility,2450 Ashby Ave,Berkeley,94705,1,Alameda,Emergency - Basic,339,Open,1946-01-02,Hospital,General Acute Care Hospital,37.85645,-122.25743
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,140000015,Parent Facility,747 52ND ST,OAKLAND,94609,1,Alameda,Emergency - Basic,215,Open,1946-01-01,Hospital,General Acute Care Hospital,37.83722,-122.26747
106010811,FAIRMONT HOSPITAL,140000046,Consolidated Facility,15400 Foothill Blvd,San Leandro,94578,1,Alameda,None,109,Open,1953-07-01,Hospital,General Acute Care Hospital,37.70648,-122.11819
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,140000004,Consolidated Facility,2001 DWIGHT WAY,BERKELEY,94704,1,Alameda,None,68,Open,1946-01-01,Hospital,General Acute Care Hospital,37.86373,-122.26984
106010846,HIGHLAND HOSPITAL,140000046,Parent Facility,1411 E 31st St,Oakland,94602,1,Alameda,Emergency - Basic,249,Open,1953-07-01,Hospital,General Acute Care Hospital,37.79925,-122.23138
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,140000066,Parent Facility,2800 BENEDICT DR,SAN LEANDRO,94577,1,Alameda,None,99,Open,1962-11-13,Hospital,General Acute Care Hospital,37.71621,-122.13119
106010937,ALTA BATES SUMMIT MEDICAL CENTER,140000284,Parent Facility,350 HAWTHORNE AVE,OAKLAND,94609,1,Alameda,Emergency - Basic,403,Open,1946-01-01,Hospital,General Acute Care Hospital,37.82106,-122.26257
106010967,ST. ROSE HOSPITAL,140000107,Parent Facility,27200 CALAROGA AVE,HAYWARD,94545,1,Alameda,Emergency - Basic,153,Open,1962-10-10,Hospital,General Acute Care Hospital,37.63291,-122.08962
106010983,VALLEY MEMORIAL HOSPITAL,140000114,Consolidated Facility,1111 E STANLEY BLVD,LIVERMORE,94550,1,Alameda,None,75,Open,1969-10-19,Hospital,General Acute Care Hospital,37.6787,-121.78252
106010987,WASHINGTON HOSPITAL - FREMONT,140000116,Parent Facility,2000 MOWRY AVE,FREMONT,94538,1,Alameda,Emergency - Basic,415,Open,1958-11-19,Hospital,General Acute Care Hospital,37.55847,-121.98006
106013619,SAN LEANDRO HOSPITAL,140000046,Consolidated Facility,13855 E 14TH ST,SAN LEANDRO,94578,1,Alameda,Emergency - Basic,91,Open,2019-08-19,Hospital,General Acute Care Hospital,37.71364,-122.14067
106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,140000284,Consolidated Facility,3100 SUMMIT ST,OAKLAND,94609,1,Alameda,None,58,Open,1946-01-01,Hospital,General Acute Care Hospital,37.81994,-122.2643
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,140000232,Parent Facility,3012 Summit St,Oakland,94609,1,Alameda,Not Applicable,24,Open,1983-10-12,Hospital,Chemical Dep. Recovery Hospital,37.81944,-122.26451
106014034,FREMONT HOSPITAL,140000347,Parent Facility,39001 SUNDALE DR,FREMONT,94538,1,Alameda,Not Applicable,148,Open,1990-02-16,Hospital,Acute Psychiatric Hospital,37.54652,-121.97885
106014050,STANFORD HEALTH CARE - VALLEYCARE,140000114,Parent Facility,5555 W LAS POSITAS BLVD,PLEASANTON,94588,1,Alameda,Emergency - Basic,167,Open,1991-12-09,Hospital,General Acute Care Hospital,37.69206,-121.88095
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,140000053,Parent Facility,39400 PASEO PADRE PKWY,FREMONT,94538,1,Alameda,Emergency - Basic,100,Open,1996-12-01,Hospital,General Acute Care Hospital,37.55055,-121.97483
106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,M02016036,Parent Facility,2633 E 27th St,Oakland,94601,1,Alameda,Not Applicable,26,Open,2005-08-16,Hospital,Psychiatric Health Facility,37.79063,-122.22223
106014226,TELECARE WILLOW ROCK CENTER,M02016039,Parent Facility,2050 Fairmont Dr,San Leandro,94578,1,Alameda,Not Applicable,16,Open,2007-07-02,Hospital,Psychiatric Health Facility,37.71008,-122.12149
106014233,EDEN MEDICAL CENTER,140000030,Parent Facility,20103 Lake Chabot Rd,Castro Valley,94546,1,Alameda,Emergency - Basic,130,Open,2012-11-01,Hospital,General Acute Care Hospital,37.6983769,-122.0874055
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,140000052,Parent Facility,275 W MacArthur Blvd,Oakland,94611,1,Alameda,Emergency - Basic,315,Open,2014-07-01,Hospital,General Acute Care Hospital,37.82402,-122.25791
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,550002678,Parent Facility,2500 Merced St,San Leandro,94577,1,Alameda,Emergency - Basic,216,Open,2014-06-03,Hospital,General Acute Care Hospital,37.70611,-122.16917
106034002,SUTTER AMADOR HOSPITAL,030000008,Parent Facility,200 MISSION BLVD,JACKSON,95642,3,Amador,Emergency - Basic,52,Open,2000-04-10,Hospital,General Acute Care Hospital,38.34743,-120.77272
106040802,ORCHARD HOSPITAL,230000007,Parent Facility,240 Spruce St,Gridley,95948,4,Butte,Emergency - Standby,106,Open,1949-05-24,Hospital,General Acute Care Hospital,39.36701,-121.68955
106040828,ENLOE MEDICAL CENTER - COHASSET,230000027,Consolidated Facility,560 Cohasset Rd,Chico,95926,4,Butte,None,30,Open,1964-06-19,Hospital,General Acute Care Hospital,39.75187,-121.84793
106040937,OROVILLE HOSPITAL,230000022,Parent Facility,2767 OLIVE HWY,OROVILLE,95966,4,Butte,Emergency - Basic,133,Open,1962-01-01,Hospital,General Acute Care Hospital,39.50485,-121.5428
106040962,ENLOE MEDICAL CENTER- ESPLANADE,230000027,Parent Facility,1531 Esplanade,Chico,95926,4,Butte,Emergency - Basic,228,Open,1946-03-29,Hospital,General Acute Care Hospital,39.74226,-121.84918
106044006,BUTTE COUNTY MENTAL HEALTH SERVICES,M01016001,Parent Facility,592 Rio Lindo Ave,Chico,95926,4,Butte,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,39.754281,-121.8482488
106044011,ENLOE REHABILITATION CENTER,230000027,Consolidated Facility,340 W East Ave,Chico,95926,4,Butte,None,40,Open,1991-05-14,Hospital,General Acute Care Hospital,39.75346,-121.86694
106050932,MARK TWAIN MEDICAL CENTER,030000058,Parent Facility,768 Mountain Ranch Rd,San Andreas,95249,5,Calaveras,Emergency - Basic,25,Open,1951-08-21,Hospital,General Acute Care Hospital,38.19057,-120.67095
106060870,COLUSA MEDICAL CENTER,230000149,Parent Facility,199 E Webster St,Colusa,95932,6,Colusa,Emergency - Standby,48,Open,1953-07-01,Hospital,General Acute Care Hospital,39.20731,-122.00034
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,140000090,Parent Facility,2500 ALHAMBRA AVE,MARTINEZ,94553,7,Contra Costa,Emergency - Basic,167,Open,1953-07-02,Hospital,General Acute Care Hospital,38.00646,-122.13101
106070934,SUTTER DELTA MEDICAL CENTER,140000258,Parent Facility,3901 LONE TREE WAY,ANTIOCH,94509,7,Contra Costa,Emergency - Basic,145,Open,1967-02-02,Hospital,General Acute Care Hospital,37.98222,-121.8054
106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,140000265,Parent Facility,1601 Ygnacio Valley Rd,Walnut Creek,94598,7,Contra Costa,Emergency - Basic,554,Open,1965-06-15,Hospital,General Acute Care Hospital,37.91304,-122.040781
106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,140000290,Parent Facility,1425 S MAIN ST,WALNUT CREEK,94596,7,Contra Costa,Emergency - Basic,233,Open,1953-09-11,Hospital,General Acute Care Hospital,37.8923,-122.05828
106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,140000128,Parent Facility,2540 EAST ST,CONCORD,94520,7,Contra Costa,Emergency - Basic,244,Open,1946-01-01,Hospital,General Acute Care Hospital,37.98615,-122.03874
