"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Alameda County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000001,,,1,00-000010,Civilian Labor Force,"782,200","782,700","785,600","783,700","779,700","780,600","785,400","782,100","786,000","781,200","782,700","780,000","777,000","777,200","780,400","777,600","779,300","783,500","790,300","790,200","791,500","792,300","790,900","791,300","787,800","791,500","793,500","788,800","791,500","795,300","802,800","798,900","800,600","802,800","801,200","802,800","799,900","799,200","798,500","795,200","798,000","799,300","807,500","801,800","803,100","799,000","800,300","796,400","797,300","801,500","804,000","796,800","802,400","805,800","813,200","808,900","809,200","812,500","814,300","810,000","811,500","813,100","815,300","813,600","818,500","818,800","824,800","822,000","820,300","822,200","823,800","824,300","823,100","828,300","831,300","825,500","826,700","830,200","837,700","834,200","837,300","837,500","836,400","833,600","835,800","838,200","841,100","832,800","834,200","836,900","844,800","840,200","844,000","839,700","839,300","837,400","834,500","840,800","842,400","836,500","839,100","841,300","847,900","840,600","844,100","843,300","843,900","843,400","840,500","845,300","845,300","834,500","835,900","837,800","846,200","841,500","843,700","841,000","841,000","840,300","838,000","842,100","836,800","799,000","800,600","813,700","811,500","803,800","799,200","812,800","801,300","806,800","802,200","811,100","805,700","793,900","799,600","803,500","811,500","806,400","807,100","810,700","813,300"
2,2020,000001,,,1,00-000020,  Civilian Employment,"691,500","693,600","695,800","696,500","695,500","693,000","694,900","692,400","700,100","696,600","696,500","697,800","691,600","694,200","697,700","699,000","701,300","699,700","705,800","707,100","711,100","713,800","715,700","718,100","712,700","716,800","719,400","720,600","722,400","721,300","727,200","726,300","734,000","736,200","737,200","739,500","732,700","735,900","737,300","738,900","741,400","737,300","745,000","742,300","746,800","742,900","747,300","746,900","744,800","749,100","751,600","752,200","757,100","757,500","761,500","759,000","763,900","768,000","770,700","770,300","767,600","771,600","774,300","775,700","780,300","778,200","782,600","782,200","783,900","785,100","787,500","789,700","786,300","791,800","794,000","790,800","794,600","792,300","798,600","796,200","801,400","801,700","803,100","801,500","799,900","804,300","808,200","803,100","805,600","803,900","810,300","806,500","814,900","811,700","812,000","811,500","805,900","813,300","815,700","812,800","817,200","813,700","820,400","813,700","819,700","818,200","819,100","818,600","811,200","819,100","818,300","812,200","813,900","811,300","818,100","814,700","820,700","816,800","816,800","817,500","811,700","817,400","807,500","682,000","689,800","708,200","714,400","718,900","721,800","744,300","746,600","746,400","744,200","756,500","754,200","744,100","752,100","750,200","759,100","756,200","764,800","770,600","778,800"
3,2020,000001,,,1,00-000030,  Civilian Unemployment,"90,700","89,100","89,800","87,200","84,300","87,600","90,500","89,700","85,900","84,700","86,300","82,200","85,400","83,000","82,700","78,600","78,000","83,800","84,400","83,000","80,400","78,500","75,300","73,200","75,000","74,700","74,100","68,300","69,100","74,000","75,600","72,600","66,600","66,600","64,100","63,300","67,200","63,300","61,200","56,300","56,600","62,000","62,500","59,500","56,300","56,100","53,000","49,500","52,500","52,400","52,300","44,600","45,300","48,200","51,700","49,900","45,300","44,500","43,600","39,700","43,900","41,600","41,000","37,900","38,100","40,500","42,100","39,800","36,400","37,100","36,300","34,600","36,800","36,600","37,400","34,700","32,000","37,900","39,100","38,000","35,900","35,700","33,300","32,100","35,900","33,900","32,800","29,700","28,700","33,000","34,500","33,700","29,200","28,000","27,300","25,800","28,600","27,500","26,600","23,700","21,900","27,600","27,600","26,800","24,300","25,100","24,800","24,900","29,300","26,100","27,100","22,200","22,000","26,400","28,000","26,800","23,100","24,200","24,200","22,900","26,200","24,800","29,300","117,000","110,900","105,400","97,100","84,900","77,400","68,500","54,700","60,400","58,000","54,600","51,500","49,800","47,500","53,300","52,400","50,200","42,300","40,100","34,600"
4,2020,000001,,,1,00-000040,Civilian Unemployment Rate,11.6%,11.4%,11.4%,11.1%,10.8%,11.2%,11.5%,11.5%,10.9%,10.8%,11.0%,10.5%,11.0%,10.7%,10.6%,10.1%,10.0%,10.7%,10.7%,10.5%,10.2%,9.9%,9.5%,9.2%,9.5%,9.4%,9.3%,8.7%,8.7%,9.3%,9.4%,9.1%,8.3%,8.3%,8.0%,7.9%,8.4%,7.9%,7.7%,7.1%,7.1%,7.8%,7.7%,7.4%,7.0%,7.0%,6.6%,6.2%,6.6%,6.5%,6.5%,5.6%,5.6%,6.0%,6.4%,6.2%,5.6%,5.5%,5.4%,4.9%,5.4%,5.1%,5.0%,4.7%,4.7%,5.0%,5.1%,4.8%,4.4%,4.5%,4.4%,4.2%,4.5%,4.4%,4.5%,4.2%,3.9%,4.6%,4.7%,4.6%,4.3%,4.3%,4.0%,3.9%,4.3%,4.0%,3.9%,3.6%,3.4%,3.9%,4.1%,4.0%,3.5%,3.3%,3.3%,3.1%,3.4%,3.3%,3.2%,2.8%,2.6%,3.3%,3.3%,3.2%,2.9%,3.0%,2.9%,2.9%,3.5%,3.1%,3.2%,2.7%,2.6%,3.2%,3.3%,3.2%,2.7%,2.9%,2.9%,2.7%,3.1%,2.9%,3.5%,14.6%,13.8%,13.0%,12.0%,10.6%,9.7%,8.4%,6.8%,7.5%,7.2%,6.7%,6.4%,6.3%,5.9%,6.6%,6.5%,6.2%,5.2%,5.0%,4.3%
8,2020,000001,"110000-813000, 920000",,1,01-000000,"Total, All Industries","648,600","650,200","653,900","653,500","657,000","657,900","644,700","641,900","654,600","658,000","661,700","661,100","646,500","650,300","654,400","660,900","662,300","664,800","662,700","664,100","666,100","670,400","673,000","673,800","663,900","667,800","671,600","679,200","682,900","686,300","683,400","684,300","686,400","692,200","697,500","698,100","686,500","691,800","694,900","700,000","703,400","701,600","698,700","701,700","701,300","710,700","714,100","714,800","701,200","706,600","711,000","716,900","720,900","723,200","717,500","721,300","723,100","730,000","737,900","738,000","727,600","732,200","739,300","745,200","747,900","750,100","750,000","753,800","754,000","761,400","765,000","766,700","754,200","760,100","762,200","770,900","772,000","769,900","771,100","771,400","774,800","783,100","785,100","788,100","772,500","778,000","785,100","784,300","790,000","793,600","787,400","790,500","792,500","800,700","802,800","806,200","791,800","799,000","803,400","804,400","808,900","811,500","805,500","807,900","808,500","813,600","817,000","817,900","801,200","807,400","810,200","811,500","814,800","817,000","813,600","817,100","816,200","818,900","826,800","827,100","812,500","817,900","811,900","690,900","708,700","726,000","724,800","728,900","733,000","743,800","749,300","750,900",,,,,,,,,,,
9,2020,000001,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,800,700,700,700,700,800,800,700,700,700,700,800,700,700,600,600,700,700,800,800,800,700,700,600,700,600,600,600,700,700,700,600,700,700,700,600,500,600,500,500,600,600,600,600,500,600,500,500,500,500,500,500,500,600,500,500,500,500,400,500,400,400,500,500,400,400,500,400,400,500,500,500,500,500,400,400,500,500,600,500,500,500,400,400,500,500,400,500,600,800,800,700,600,700,600,600,500,500,500,600,800,700,700,600,600,700,600,600,500,600,600,600,700,700,700,700,700,800,700,700,700,700,800,700,800,800,800,800,800,700,700,600,,,,,,,,,,,
