"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Amador County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000005,,,1,00-000010,Civilian Labor Force,"15,610","15,690","15,780","15,500","15,540","15,740","15,670","15,470","15,380","15,400","15,330","15,180","15,230","15,230","15,290","15,060","15,050","15,290","15,240","15,030","14,960","15,020","14,800","14,700","14,680","14,700","14,750","14,470","14,540","14,790","14,990","14,620","14,720","14,780","14,440","14,280","14,310","14,350","14,340","14,300","14,520","14,660","14,740","14,560","14,570","14,290","14,140","14,030","14,170","14,290","14,390","14,050","14,310","14,400","14,540","14,510","14,560","14,390","14,220","14,040","14,230","14,250","14,310","14,320","14,460","14,510","14,540","14,450","14,350","14,250","14,130","14,000","14,070","14,310","14,440","14,400","14,500","14,750","14,730","14,700","14,860","14,680","14,470","14,390","14,460","14,550","14,680","14,630","14,740","14,900","14,900","14,850","14,970","14,730","14,610","14,410","14,560","14,630","14,600","14,530","14,740","14,760","14,780","14,680","14,750","14,840","14,630","14,540","14,560","14,660","14,740","14,750","14,860","14,930","14,910","15,000","14,960","14,960","14,700","14,590","14,710","14,790","14,830","14,210","14,030","14,510","14,410","14,380","14,280","14,540","14,180","14,230","14,330","14,500","14,430","14,250","14,470","14,660","14,670","14,790","14,660","14,750","14,630"
2,2020,000005,,,1,00-000020,  Civilian Employment,"13,190","13,270","13,360","13,260","13,400","13,560","13,490","13,310","13,260","13,300","13,130","12,980","12,890","12,980","13,060","13,030","13,090","13,240","13,200","12,980","12,890","13,000","12,820","12,690","12,590","12,670","12,710","12,610","12,760","12,940","13,120","12,860","13,040","13,130","12,820","12,620","12,530","12,660","12,730","12,800","13,060","13,110","13,230","13,130","13,170","12,880","12,760","12,690","12,750","12,860","12,970","12,850","13,150","13,200","13,310","13,350","13,480","13,350","13,150","13,000","13,080","13,170","13,240","13,350","13,530","13,560","13,570","13,560","13,530","13,400","13,250","13,140","13,110","13,360","13,460","13,530","13,720","13,900","13,850","13,860","14,050","13,870","13,660","13,530","13,530","13,650","13,840","13,890","14,060","14,170","14,150","14,120","14,340","14,110","13,980","13,790","13,850","13,920","13,900","13,930","14,220","14,150","14,190","14,110","14,220","14,290","14,090","13,950","13,830","13,970","14,050","14,200","14,370","14,360","14,310","14,440","14,480","14,430","14,160","14,010","13,990","14,140","14,100","12,050","11,870","12,750","12,740","12,960","13,010","13,380","13,200","13,080","13,140","13,360","13,360","13,270","13,560","13,640","13,680","13,800","13,820","13,930","13,890"
3,2020,000005,,,1,00-000030,  Civilian Unemployment,"2,420","2,420","2,420","2,240","2,140","2,180","2,190","2,160","2,120","2,100","2,210","2,200","2,340","2,260","2,230","2,030","1,960","2,050","2,050","2,050","2,080","2,010","1,980","2,010","2,090","2,040","2,040","1,860","1,780","1,840","1,870","1,760","1,670","1,650","1,620","1,650","1,770","1,690","1,610","1,500","1,460","1,550","1,510","1,430","1,400","1,410","1,380","1,330","1,420","1,430","1,420","1,200","1,160","1,200","1,230","1,160","1,080","1,040","1,070","1,040","1,140","1,080","1,070",970,930,950,960,890,820,860,880,860,970,950,980,870,780,850,890,840,810,810,810,850,930,900,840,740,670,730,760,730,640,630,630,630,710,710,700,600,520,610,590,580,520,550,540,590,730,680,690,550,500,570,600,560,480,520,550,580,710,650,730,"2,160","2,150","1,760","1,670","1,410","1,270","1,160",990,"1,150","1,190","1,140","1,070",980,910,"1,020",990,980,840,830,740
4,2020,000005,,,1,00-000040,Civilian Unemployment Rate,15.5%,15.4%,15.3%,14.4%,13.8%,13.8%,13.9%,14.0%,13.8%,13.6%,14.4%,14.5%,15.3%,14.8%,14.6%,13.5%,13.0%,13.4%,13.4%,13.7%,13.9%,13.4%,13.4%,13.7%,14.2%,13.9%,13.8%,12.9%,12.3%,12.5%,12.5%,12.0%,11.4%,11.2%,11.2%,11.6%,12.4%,11.7%,11.2%,10.5%,10.0%,10.6%,10.3%,9.8%,9.6%,9.9%,9.8%,9.5%,10.0%,10.0%,9.9%,8.5%,8.1%,8.3%,8.4%,8.0%,7.4%,7.2%,7.5%,7.4%,8.0%,7.6%,7.4%,6.8%,6.4%,6.6%,6.6%,6.2%,5.7%,6.0%,6.2%,6.2%,6.9%,6.6%,6.8%,6.0%,5.4%,5.8%,6.0%,5.7%,5.4%,5.5%,5.6%,5.9%,6.4%,6.2%,5.7%,5.1%,4.6%,4.9%,5.1%,4.9%,4.3%,4.3%,4.3%,4.3%,4.9%,4.8%,4.8%,4.1%,3.5%,4.1%,4.0%,3.9%,3.5%,3.7%,3.7%,4.1%,5.0%,4.7%,4.7%,3.7%,3.4%,3.8%,4.0%,3.7%,3.2%,3.5%,3.7%,3.9%,4.8%,4.4%,4.9%,15.2%,15.3%,12.1%,11.6%,9.8%,8.9%,8.0%,6.9%,8.1%,8.3%,7.8%,7.4%,6.9%,6.3%,7.0%,6.8%,6.6%,5.7%,5.6%,5.1%
8,2020,000005,"110000-813000, 920000",,1,01-000000,"Total, All Industries","11,320","11,360","11,470","11,390","11,640","11,910","11,610","11,400","11,330","11,530","11,390","11,210","11,020","11,110","11,170","11,230","11,280","11,550","11,380","11,090","10,910","11,120","10,890","10,710","10,580","10,630","10,710","10,660","10,860","11,170","11,230","10,960","11,090","11,250","10,930","10,690","10,510","10,700","10,810","10,970","11,270","11,400","11,380","11,360","11,370","11,230","11,070","10,970","10,890","11,000","11,130","11,080","11,430","11,520","11,520","11,660","11,740","11,580","11,400","11,270","11,190","11,290","11,400","11,610","11,790","11,910","11,850","11,890","11,850","11,770","11,610","11,470","11,270","11,540","11,660","11,960","12,130","12,410","12,230","12,320","12,510","12,390","12,170","12,040","11,800","11,920","12,170","12,350","12,600","12,820","12,570","12,640","12,760","12,630","12,530","12,340","12,210","12,260","12,250","12,390","12,700","12,760","12,570","12,640","12,650","12,830","12,620","12,500","12,200","12,330","12,500","12,860","13,090","13,200","12,910","13,190","13,090","13,160","12,920","12,770","12,620","12,780","12,830","11,010","10,900","11,840","11,620","11,890","11,920","12,010","11,830","11,730","11,590","11,720","11,850","12,020","12,300","12,460","12,250","12,520","12,390","12,560","12,430"
9,2020,000005,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,210,280,330,270,310,450,410,340,340,480,310,250,220,320,330,290,280,440,400,320,320,470,310,210,220,270,300,260,330,440,410,310,410,490,290,200,210,280,330,260,430,410,370,340,470,370,220,210,200,250,340,300,430,390,380,320,430,270,240,240,260,300,330,310,300,360,410,350,430,280,220,190,190,310,330,350,340,440,380,320,480,390,300,270,220,250,340,340,380,460,420,350,520,410,300,230,270,300,320,330,400,380,340,310,360,450,260,220,240,280,330,320,360,310,330,350,370,400,270,250,240,300,300,240,350,380,320,320,340,400,270,240,240,300,330,330,380,410,380,350,390,430,290
