"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Bakersfield MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Kern County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,012540,,,1,00-000010,Civilian Labor Force,"368,200","367,500","366,600","369,500","371,600","375,500","371,200","376,400","376,000","375,300","374,900","374,200","376,600","374,600","371,600","373,000","379,700","382,800","382,700","390,700","389,200","387,800","387,500","388,100","387,000","387,300","381,300","377,500","390,000","394,400","398,000","398,400","399,500","397,800","394,200","389,800","393,300","389,500","382,800","386,300","393,100","394,800","398,000","397,700","398,200","395,000","391,000","386,800","390,100","389,700","385,500","387,100","395,700","391,800","395,800","398,000","396,500","396,200","391,700","384,800","393,200","393,000","385,000","388,600","394,500","389,700","391,500","393,900","391,700","390,700","386,400","383,700","391,300","390,300","383,700","387,300","388,600","389,700","388,200","389,800","390,800","390,600","385,800","381,200","385,300","385,100","382,200","383,300","385,600","386,700","383,900","387,000","388,300","385,700","382,900","376,100","382,000","384,600","377,100","381,400","385,200","387,200","387,700","389,700","389,600","391,500","389,000","384,900","390,700","389,400","382,500","383,400","385,200","389,300","381,900","394,100","394,200","393,500","387,900","385,600","393,100","389,700","386,200","374,500","382,900","383,100","379,700","385,600","382,800","388,700","379,600","379,400","380,000","380,000","368,200","373,300","378,500","382,500","377,700","385,900","386,500","389,800","388,800"
2,2020,012540,,,1,00-000020,  Civilian Employment,"304,900","302,400","300,500","309,100","313,500","317,000","311,800","319,700","321,400","320,900","316,600","313,100","313,100","311,400","308,000","314,400","323,800","324,400","324,100","335,200","335,900","335,500","335,700","331,800","328,200","328,000","322,400","323,400","338,400","340,600","345,100","349,000","353,900","351,300","348,300","339,400","338,100","336,400","330,200","338,600","347,800","346,700","351,700","353,800","356,800","353,300","349,800","343,500","342,500","341,500","335,600","344,200","355,300","350,100","354,500","359,400","361,400","361,300","355,300","346,400","348,800","348,300","339,100","346,800","354,200","347,900","351,300","356,800","357,300","355,800","350,100","344,200","347,500","345,500","336,300","344,800","349,800","348,100","347,900","351,700","354,700","355,000","349,600","341,600","342,200","341,300","338,200","345,300","351,500","350,400","348,400","353,700","358,800","357,400","353,600","343,900","346,000","347,000","338,400","348,500","355,800","354,200","355,700","361,000","364,000","365,800","362,900","354,900","355,100","353,900","345,300","352,000","356,700","357,800","349,500","365,100","369,000","367,700","361,200","356,100","358,500","354,200","343,700","304,800","318,200","323,100","322,000","335,500","337,300","347,500","345,200","338,500","338,800","338,600","327,500","333,600","340,800","340,900","337,100","347,500","353,000","357,600","360,100"
3,2020,012540,,,1,00-000030,  Civilian Unemployment,"63,300","65,100","66,100","60,400","58,100","58,500","59,500","56,800","54,500","54,400","58,300","61,100","63,600","63,100","63,700","58,700","55,800","58,400","58,600","55,500","53,300","52,300","51,800","56,300","58,800","59,200","58,900","54,100","51,600","53,800","52,900","49,400","45,600","46,500","45,900","50,500","55,200","53,100","52,600","47,600","45,300","48,100","46,300","43,900","41,400","41,700","41,200","43,300","47,600","48,200","49,900","42,900","40,500","41,600","41,300","38,600","35,100","34,900","36,300","38,400","44,300","44,700","45,900","41,800","40,300","41,700","40,200","37,100","34,400","34,900","36,300","39,500","43,800","44,800","47,500","42,500","38,900","41,600","40,300","38,100","36,100","35,600","36,200","39,600","43,000","43,800","44,100","38,000","34,100","36,300","35,500","33,300","29,400","28,200","29,300","32,200","36,100","37,600","38,700","33,000","29,400","33,000","32,000","28,700","25,700","25,700","26,100","30,000","35,600","35,500","37,100","31,500","28,400","31,400","32,500","29,000","25,200","25,700","26,700","29,500","34,500","35,600","42,500","69,700","64,600","60,000","57,700","50,200","45,500","41,200","34,400","40,900","41,200","41,400","40,800","39,700","37,700","41,600","40,600","38,300","33,500","32,200","28,700"
4,2020,012540,,,1,00-000040,Civilian Unemployment Rate,17.2%,17.7%,18.0%,16.3%,15.6%,15.6%,16.0%,15.1%,14.5%,14.5%,15.6%,16.3%,16.9%,16.9%,17.1%,15.7%,14.7%,15.2%,15.3%,14.2%,13.7%,13.5%,13.4%,14.5%,15.2%,15.3%,15.4%,14.3%,13.2%,13.6%,13.3%,12.4%,11.4%,11.7%,11.6%,12.9%,14.0%,13.6%,13.7%,12.3%,11.5%,12.2%,11.6%,11.0%,10.4%,10.6%,10.5%,11.2%,12.2%,12.4%,12.9%,11.1%,10.2%,10.6%,10.4%,9.7%,8.9%,8.8%,9.3%,10.0%,11.3%,11.4%,11.9%,10.8%,10.2%,10.7%,10.3%,9.4%,8.8%,8.9%,9.4%,10.3%,11.2%,11.5%,12.4%,11.0%,10.0%,10.7%,10.4%,9.8%,9.2%,9.1%,9.4%,10.4%,11.2%,11.4%,11.5%,9.9%,8.9%,9.4%,9.3%,8.6%,7.6%,7.3%,7.7%,8.6%,9.4%,9.8%,10.3%,8.6%,7.6%,8.5%,8.3%,7.4%,6.6%,6.6%,6.7%,7.8%,9.1%,9.1%,9.7%,8.2%,7.4%,8.1%,8.5%,7.4%,6.4%,6.5%,6.9%,7.6%,8.8%,9.1%,11.0%,18.6%,16.9%,15.7%,15.2%,13.0%,11.9%,10.6%,9.0%,10.8%,10.8%,10.9%,11.1%,10.6%,10.0%,10.9%,10.7%,9.9%,8.7%,8.3%,7.4%
8,2020,012540,"110000-813000, 920000",,1,01-000000,"Total, All Industries","263,700","260,700","258,600","268,900","276,800","283,900","274,100","282,400","284,500","286,400","280,700","275,700","271,600","270,200","265,500","275,100","286,600","289,400","285,600","298,300","298,600","297,900","297,100","290,900","283,600","283,100","277,500","281,900","301,400","306,900","308,700","314,600","317,300","314,300","312,200","300,600","295,200","294,200","289,100","299,900","312,200","314,400","316,400","322,400","323,700","323,300","318,300","309,800","303,000","302,600","296,700","309,200","322,400","318,900","320,900","329,600","330,000","329,000","321,800","311,000","308,800","308,300","299,600","311,200","320,400","316,100","320,000","328,100","328,100","327,700","320,400","312,100","310,500","308,800","298,900","315,300","321,100","321,800","320,900","327,000","329,300","331,300","323,900","314,200","307,400","307,200","304,500","316,200","325,300","327,500","321,500","330,100","332,900","334,900","329,600","318,200","314,800","315,500","306,500","321,200","330,100","332,000","330,000","340,600","341,300","345,600","341,500","331,600","327,000","324,600","317,000","328,900","336,200","341,400","328,400","350,100","350,900","351,300","344,800","337,000","334,800","329,500","319,900","287,000","308,400","313,100","308,600","324,700","327,200","330,300","327,500","318,200","311,800","308,300","300,300","314,400","321,700","324,600","315,900","331,400","335,200","340,700","339,900"
9,2020,012540,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"37,800","34,600","29,900","35,600","43,400","50,300","50,000","55,200","54,400","54,400","47,800","41,500","41,000","38,400","32,000","38,900","48,200","51,400","50,000","60,400","60,000","58,600","56,700","50,000","45,100","42,700","34,100","36,600","53,600","58,200","65,400","69,600","70,300","64,800","61,700","50,400","49,900","47,000","40,300","49,400","60,100","64,300","69,700","73,000","72,400","69,900","63,800","55,100","52,500","50,500","42,500","53,100","64,500","63,300","68,900","73,600","71,500","70,200","60,600","49,700","51,900","52,000","42,100","53,700","61,700","59,100","67,700","71,900","71,000","68,300","60,300","51,900","54,900","53,300","43,900","58,600","65,100","66,200","71,300","74,500","73,700","73,100","63,400","54,800","52,900","51,900","46,800","57,700","65,100","67,900","67,100","72,600","72,500","71,900","64,500","54,200","53,100","52,900","42,400","56,300","63,700","64,900","69,200","74,600","72,700","73,600","67,400","58,300","59,200","55,700","46,400","56,200","62,800","68,300","62,500","77,500","75,800","72,500","63,900","56,200","58,000","50,700","42,400","39,500","61,200","62,400","60,300","70,400","70,900","72,500","68,400","59,100","58,500","51,500","43,100","56,100","61,600","62,800","60,800","70,900","71,600","72,800","72,100"
