"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Del Norte County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000015,,,1,00-000010,Civilian Labor Force,"10,930","11,060","11,060","11,060","11,010","11,200","10,780","10,760","11,020","10,870","10,830","10,750","10,740","10,780","10,830","10,770","10,770","10,920","10,890","10,910","11,180","11,060","10,870","10,850","10,650","10,720","10,750","10,360","10,470","10,540","10,320","10,330","10,650","10,410","10,300","10,250","10,460","10,360","10,330","10,280","10,380","10,510","10,240","10,130","10,470","10,240","10,120","10,070","9,990","9,960","10,010","9,910","9,930","10,090","9,770","9,760","9,970","9,990","9,870","9,720","9,820","9,760","9,820","9,910","9,990","10,090","9,740","9,840","10,010","9,840","9,780","9,680","9,600","9,630","9,780","9,730","9,770","9,970","9,790","9,780","9,960","9,850","9,650","9,570","9,670","9,710","9,660","9,650","9,650","9,740","9,720","9,880","9,900","9,780","9,570","9,510","9,680","9,760","9,800","9,640","9,720","9,840","9,680","9,810","9,840","9,740","9,550","9,500","9,650","9,620","9,640","9,520","9,550","9,690","9,600","9,730","9,760","9,760","9,470","9,420","9,610","9,540","9,660","9,250","9,100","9,400","9,200","9,420","9,320","9,400","9,120","9,180","9,310","9,320","9,280","9,200","9,240","9,390","9,570","9,760","9,530","9,500","9,250"
2,2020,000015,,,1,00-000020,  Civilian Employment,"9,400","9,550","9,540","9,590","9,590","9,720","9,280","9,270","9,640","9,450","9,300","9,250","9,220","9,270","9,300","9,320","9,360","9,410","9,350","9,430","9,790","9,650","9,430","9,380","9,090","9,200","9,210","8,920","9,060","9,070","8,830","8,910","9,350","9,080","8,930","8,840","8,950","9,020","9,030","9,050","9,200","9,260","8,960","8,970","9,360","9,090","8,960","8,930","8,820","8,770","8,860","8,910","8,970","9,090","8,730","8,770","9,080","9,100","8,950","8,830","8,840","8,790","8,860","9,040","9,180","9,250","8,890","9,050","9,300","9,100","8,990","8,840","8,710","8,750","8,900","8,970","9,120","9,270","9,070","9,080","9,320","9,190","8,950","8,900","8,910","8,950","8,940","9,010","9,070","9,120","9,100","9,260","9,360","9,240","9,000","8,930","9,010","9,140","9,190","9,110","9,250","9,300","9,130","9,260","9,370","9,230","8,990","8,870","8,940","9,000","9,040","9,000","9,070","9,160","9,030","9,170","9,270","9,230","8,920","8,830","8,970","8,950","9,000","7,920","7,880","8,310","8,180","8,490","8,500","8,620","8,430","8,360","8,470","8,520","8,510","8,460","8,560","8,650","8,850","9,070","8,950","8,930","8,740"
3,2020,000015,,,1,00-000030,  Civilian Unemployment,"1,530","1,520","1,520","1,480","1,410","1,480","1,500","1,490","1,390","1,420","1,530","1,500","1,520","1,510","1,530","1,440","1,410","1,510","1,540","1,490","1,400","1,410","1,450","1,470","1,560","1,530","1,550","1,440","1,420","1,480","1,490","1,430","1,290","1,330","1,370","1,410","1,510","1,340","1,310","1,230","1,180","1,250","1,270","1,160","1,110","1,150","1,160","1,140","1,180","1,180","1,160","1,010",970,"1,000","1,040",990,890,900,920,890,980,970,960,870,810,840,850,790,710,750,790,840,890,880,880,750,660,700,720,700,640,660,690,670,750,760,720,650,580,620,620,620,530,540,570,590,670,620,610,530,470,540,550,550,480,520,550,630,720,620,610,520,480,530,570,560,490,540,560,580,640,590,660,"1,340","1,220","1,090","1,020",930,830,780,690,820,840,800,770,740,680,740,720,690,580,570,520
4,2020,000015,,,1,00-000040,Civilian Unemployment Rate,14.0%,13.7%,13.7%,13.3%,12.8%,13.2%,13.9%,13.9%,12.6%,13.0%,14.1%,13.9%,14.2%,14.0%,14.2%,13.4%,13.1%,13.8%,14.1%,13.6%,12.5%,12.8%,13.3%,13.6%,14.7%,14.2%,14.4%,13.9%,13.5%,14.0%,14.4%,13.8%,12.1%,12.8%,13.3%,13.7%,14.4%,13.0%,12.7%,12.0%,11.3%,11.9%,12.4%,11.5%,10.6%,11.2%,11.5%,11.3%,11.8%,11.9%,11.6%,10.1%,9.7%,9.9%,10.6%,10.2%,8.9%,9.0%,9.3%,9.2%,10.0%,9.9%,9.8%,8.8%,8.1%,8.4%,8.7%,8.1%,7.1%,7.6%,8.1%,8.6%,9.2%,9.1%,9.0%,7.8%,6.7%,7.0%,7.3%,7.2%,6.4%,6.7%,7.2%,7.0%,7.8%,7.8%,7.5%,6.7%,6.0%,6.4%,6.4%,6.2%,5.4%,5.5%,5.9%,6.1%,6.9%,6.4%,6.2%,5.5%,4.8%,5.5%,5.7%,5.6%,4.8%,5.3%,5.8%,6.7%,7.4%,6.4%,6.3%,5.5%,5.0%,5.5%,6.0%,5.8%,5.0%,5.5%,5.9%,6.2%,6.7%,6.2%,6.9%,14.5%,13.4%,11.6%,11.1%,9.8%,8.9%,8.3%,7.6%,9.0%,9.0%,8.6%,8.3%,8.0%,7.4%,7.9%,7.5%,7.1%,6.1%,6.0%,5.6%
8,2020,000015,"110000-813000, 920000",,1,01-000000,"Total, All Industries","8,270","8,390","8,400","8,480","8,560","8,770","8,170","8,140","8,510","8,420","8,290","8,220","8,110","8,170","8,150","8,270","8,290","8,400","8,230","8,320","8,650","8,540","8,310","8,230","7,920","8,020","8,040","7,820","8,020","8,100","7,750","7,880","8,230","8,020","7,910","7,790","7,880","7,930","8,010","8,040","8,210","8,320","7,910","7,990","8,360","8,230","8,070","8,040","7,860","7,810","7,900","8,000","8,060","8,220","7,770","7,890","8,150","8,190","8,080","7,940","7,860","7,810","7,910","8,130","8,270","8,400","8,000","8,190","8,440","8,300","8,200","8,030","7,790","7,840","7,980","8,190","8,330","8,540","8,260","8,320","8,540","8,470","8,240","8,200","8,080","8,120","8,130","8,270","8,360","8,470","8,340","8,560","8,590","8,580","8,340","8,290","8,260","8,370","8,450","8,420","8,560","8,690","8,390","8,640","8,680","8,600","8,370","8,260","8,230","8,280","8,370","8,420","8,520","8,690","8,440","8,640","8,680","8,720","8,430","8,350","8,420","8,400","8,490","7,540","7,590","8,020","7,790","8,120","8,120","8,080","7,890","7,810","7,810","7,790","7,870","7,960","8,040","8,190","8,260","8,560","8,370","8,380","8,120"
9,2020,000015,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,290,300,270,260,260,340,340,340,410,390,290,290,260,260,240,280,240,290,290,310,360,370,240,200,280,280,310,240,270,300,340,340,370,410,240,190,270,290,300,280,320,380,320,340,400,400,330,320,300,260,280,290,300,340,320,360,420,410,330,300,310,280,270,280,320,360,340,340,390,340,260,200,180,190,210,270,340,400,330,350,420,390,320,330,300,300,290,270,300,330,370,370,430,400,290,250,260,310,320,310,320,350,360,380,420,400,280,260,260,310,310,280,270,340,360,330,370,390,240,220,320,320,310,260,280,350,340,350,370,350,250,230,250,270,270,260,290,340,340,330,380,360,250
