"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,El Centro MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Imperial County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,020940,,,1,00-000010,Civilian Labor Force,"77,600","78,000","77,400","77,500","78,100","78,700","80,000","81,400","80,300","80,100","80,600","79,600","78,400","77,600","77,200","77,800","79,100","79,700","80,100","81,400","81,100","81,400","80,600","81,100","80,000","79,300","78,200","78,100","79,800","80,800","78,300","80,300","79,100","79,800","78,400","80,100","79,400","78,200","77,000","77,800","77,200","79,100","78,000","78,300","78,400","78,600","78,000","77,900","77,600","77,800","77,800","78,300","79,100","78,800","78,000","79,100","79,000","77,400","77,700","78,500","76,200","75,600","75,300","76,600","78,000","78,000","78,300","78,000","77,300","76,700","76,000","75,000","75,300","74,400","74,100","74,000","74,700","74,800","75,500","76,100","76,600","76,400","75,700","74,600","74,600","73,400","72,500","70,900","72,100","72,400","70,400","71,900","72,100","72,000","71,700","71,100","71,400","71,100","70,800","69,000","70,500","72,200","70,100","71,900","71,100","71,800","72,400","71,700","73,500","72,600","72,700","70,300","72,600","74,200","72,600","75,300","74,700","75,200","75,600","74,300","72,700","72,000","72,700","72,900","72,000","71,300","68,600","68,200","67,300","67,100","64,800","65,500","65,200","66,300","65,100","65,100","66,600","68,800","68,100","68,700","68,500","68,500","68,000"
2,2020,020940,,,1,00-000020,  Civilian Employment,"56,400","56,600","56,700","55,200","55,600","56,100","54,500","55,300","55,100","55,400","56,200","57,000","56,600","56,200","56,500","55,300","56,500","56,100","54,200","55,100","55,700","56,800","57,700","59,000","58,600","58,500","57,900","56,500","57,600","57,500","55,000","55,100","55,900","57,100","58,600","60,100","59,100","59,100","58,500","58,200","58,700","58,800","56,500","56,500","57,100","57,700","60,000","60,700","60,600","61,600","61,300","60,500","60,600","58,400","55,500","56,200","57,800","58,600","59,900","60,300","58,000","58,300","57,700","57,600","59,300","58,500","56,500","56,700","57,600","57,600","58,300","58,400","58,700","58,500","57,900","56,200","57,400","56,000","54,500","54,900","56,300","57,100","58,100","58,600","59,400","59,400","58,700","58,100","59,000","58,200","55,400","55,700","56,900","57,800","58,000","58,600","58,700","58,700","58,400","57,700","58,600","58,600","55,600","56,200","56,500","57,300","58,400","58,300","58,800","59,200","59,400","58,100","59,000","58,900","56,200","56,500","57,800","57,800","58,600","58,700","58,300","58,900","58,200","52,000","52,200","52,400","49,800","51,300","52,400","53,700","54,200","54,000","54,500","55,700","54,900","54,500","55,900","56,500","54,800","55,200","55,900","56,400","57,500"
3,2020,020940,,,1,00-000030,  Civilian Unemployment,"21,200","21,400","20,700","22,300","22,400","22,600","25,400","26,100","25,200","24,700","24,400","22,500","21,800","21,300","20,700","22,500","22,600","23,500","25,900","26,300","25,500","24,600","22,900","22,000","21,400","20,800","20,300","21,600","22,200","23,300","23,300","25,200","23,200","22,800","19,800","20,000","20,300","19,100","18,500","19,600","18,500","20,300","21,500","21,900","21,300","21,000","18,000","17,200","17,100","16,200","16,500","17,800","18,600","20,400","22,500","23,000","21,200","18,800","17,800","18,200","18,200","17,300","17,600","19,000","18,700","19,600","21,800","21,300","19,700","19,100","17,800","16,600","16,600","15,900","16,200","17,800","17,300","18,800","21,100","21,200","20,300","19,300","17,600","16,000","15,100","14,000","13,800","12,800","13,200","14,200","15,000","16,300","15,200","14,300","13,800","12,400","12,700","12,400","12,400","11,200","11,900","13,500","14,400","15,800","14,600","14,500","14,000","13,400","14,700","13,400","13,300","12,200","13,600","15,400","16,400","18,800","16,800","17,400","17,000","15,500","14,500","13,000","14,600","20,900","19,800","18,900","18,900","16,900","14,900","13,400","10,600","11,500","10,800","10,600","10,200","10,500","10,700","12,200","13,300","13,500","12,500","12,100","10,500"
4,2020,020940,,,1,00-000040,Civilian Unemployment Rate,27.3%,27.5%,26.8%,28.8%,28.7%,28.8%,31.8%,32.1%,31.4%,30.9%,30.3%,28.3%,27.9%,27.5%,26.9%,28.9%,28.5%,29.5%,32.3%,32.3%,31.4%,30.3%,28.4%,27.2%,26.7%,26.2%,26.0%,27.7%,27.8%,28.8%,29.8%,31.4%,29.4%,28.5%,25.3%,25.0%,25.6%,24.4%,24.0%,25.2%,24.0%,25.7%,27.6%,27.9%,27.1%,26.7%,23.1%,22.1%,22.0%,20.8%,21.2%,22.7%,23.4%,25.9%,28.8%,29.0%,26.8%,24.3%,23.0%,23.2%,23.9%,22.9%,23.4%,24.8%,24.0%,25.1%,27.8%,27.3%,25.5%,24.9%,23.4%,22.1%,22.1%,21.4%,21.9%,24.1%,23.2%,25.1%,27.9%,27.9%,26.5%,25.3%,23.3%,21.5%,20.3%,19.1%,19.0%,18.1%,18.2%,19.6%,21.3%,22.6%,21.0%,19.8%,19.2%,17.5%,17.8%,17.4%,17.5%,16.3%,16.9%,18.8%,20.6%,21.9%,20.5%,20.2%,19.4%,18.7%,20.0%,18.5%,18.3%,17.4%,18.8%,20.7%,22.6%,25.0%,22.5%,23.1%,22.4%,20.9%,19.9%,18.1%,20.1%,28.6%,27.5%,26.5%,27.5%,24.8%,22.2%,20.0%,16.4%,17.5%,16.5%,16.0%,15.7%,16.2%,16.1%,17.8%,19.5%,19.7%,18.3%,17.7%,15.5%
8,2020,020940,"110000-813000, 920000",,1,01-000000,"Total, All Industries","58,100","58,000","58,000","55,500","58,000","59,200","55,400","55,800","55,400","57,100","58,400","59,000","59,000","58,100","58,000","56,500","59,400","58,900","55,700","56,500","56,900","59,000","60,200","62,500","62,300","61,500","60,100","57,500","61,000","61,500","56,400","55,500","56,100","58,800","61,200","64,700","61,900","62,400","61,200","60,400","62,200","63,000","57,600","57,500","58,700","60,700","64,100","65,600","64,700","66,100","65,000","64,200","65,800","62,800","57,100","58,000","61,200","62,000","64,500","66,500","64,800","64,900","63,000","62,900","66,600","65,100","61,300","61,500","63,200","63,500","64,400","64,900","66,000","65,400","63,500","60,400","63,700","60,800","58,600","59,100","61,500","63,300","64,500","65,300","66,000","66,200","64,000","63,500","66,600","65,100","60,200","60,100","61,600","64,300","63,800","66,000","66,200","65,700","64,400","63,600","65,700","66,200","60,800","61,300","61,600","63,300","64,400","65,300","65,200","65,300","65,900","63,700","66,300","66,400","61,500","61,800","63,400","63,900","65,800","65,800","64,700","65,700","64,000","58,000","60,500","60,000","55,300","56,800","58,100","58,800","59,600","60,300","60,400","61,100","59,900","59,800","62,600","64,300","60,700","60,900","61,000","62,300","63,100"
9,2020,020940,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"9,600","9,300","8,900","7,200","10,000","10,400","8,700","8,500","7,900","9,400","9,600","9,600","11,000","10,200","9,500","8,200","11,100","10,500","9,500","9,400","9,500","10,900","11,500","13,100","13,500","12,300","11,300","8,400","11,600","12,000","9,400","7,700","8,000","9,900","10,800","14,100","12,000","12,500","11,300","10,000","11,900","12,400","8,900","8,300","9,100","10,500","12,200","13,500","13,000","13,900","12,200","11,600","14,200","12,400","9,000","9,300","11,800","11,600","13,000","15,600","15,100","15,200","12,800","12,300","15,400","14,100","11,600","11,300","12,700","12,300","12,600","13,600","15,600","15,000","12,700","9,700","13,000","10,200","9,600","9,400","11,600","12,200","12,600","13,100","14,300","14,300","12,000","11,500","14,700","13,200","10,600","9,500","10,600","12,600","11,300","13,100","14,300","13,800","12,200","11,100","13,100","13,300","10,600","9,500","9,900","10,800","10,500","11,600","12,300","12,300","12,500","10,200","12,400","12,400","10,300","9,300","10,300","10,300","11,300","11,400","10,800","11,500","10,100","9,400","12,100","11,100","8,800","8,800","9,100","9,800","9,900","10,900","11,800","11,300","9,800","9,000","11,700","12,700","11,000","10,000","10,000","10,000","10,200"
