"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,El Dorado County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000017,,,1,00-000010,Civilian Labor Force,"91,600","91,700","91,900","91,500","91,300","91,100","91,500","90,900","90,800","90,600","90,900","90,600","89,600","89,700","89,900","89,100","89,400","89,300","89,300","89,400","89,600","89,700","89,800","89,800","88,700","89,200","89,200","88,700","89,000","89,400","89,200","88,600","88,600","88,600","88,700","88,500","89,200","89,000","88,700","88,000","88,300","88,500","88,600","87,900","88,200","87,500","88,000","87,500","87,500","87,900","88,100","86,900","87,500","88,000","88,100","87,600","87,700","88,000","88,100","87,400","87,800","87,700","87,900","87,600","88,000","88,000","88,300","87,800","87,500","87,900","88,200","88,200","88,500","89,000","89,200","88,200","88,500","88,800","89,400","89,100","89,000","88,800","88,800","88,600","89,600","89,800","89,900","89,300","89,300","89,600","90,200","89,800","90,200","89,900","89,900","89,800","90,300","90,900","90,900","90,300","90,600","90,900","91,600","91,000","91,300","91,500","91,600","91,500","92,500","92,800","92,800","91,300","91,400","91,500","92,500","92,200","92,300","92,400","92,200","91,800","92,200","92,500","92,300","90,800","90,600","90,900","90,200","89,000","89,000","91,100","89,900","90,500","90,600","91,600","90,900","89,600","90,000","90,800","91,600","91,400","91,600","91,900","92,000"
2,2020,000017,,,1,00-000020,  Civilian Employment,"79,500","79,800","80,000","80,100","80,100","79,800","80,100","79,800","80,000","79,700","79,400","79,300","78,000","78,300","78,600","78,500","78,600","78,300","78,500","78,900","79,400","79,700","79,900","79,800","78,400","78,900","79,200","79,400","79,600","79,800","79,600","79,600","80,300","80,300","80,400","80,200","80,200","80,500","80,500","80,400","80,800","80,600","80,800","80,600","81,200","80,400","81,000","80,900","80,400","80,700","81,000","80,800","81,400","81,800","81,600","81,600","82,100","82,400","82,500","82,000","81,900","82,100","82,400","82,400","82,900","82,900","83,100","83,000","83,100","83,300","83,500","83,600","83,500","84,100","84,200","83,700","84,200","84,100","84,700","84,500","84,700","84,400","84,500","84,300","84,700","85,100","85,400","85,300","85,600","85,600","86,100","85,800","86,700","86,600","86,500","86,400","86,500","87,200","87,200","87,100","87,700","87,400","88,300","87,700","88,400","88,400","88,400","88,200","88,400","89,000","88,900","88,200","88,500","88,200","89,000","88,900","89,500","89,400","89,200","88,800","88,700","89,200","88,400","76,700","77,100","80,100","81,200","81,500","82,200","85,000","84,800","84,300","84,300","85,600","85,300","84,400","85,000","85,300","86,300","86,200","87,100","87,600","88,300"
3,2020,000017,,,1,00-000030,  Civilian Unemployment,"12,000","11,900","12,000","11,300","11,200","11,300","11,400","11,200","10,900","10,800","11,600","11,300","11,600","11,400","11,300","10,600","10,800","11,000","10,800","10,500","10,200","10,000","9,900","10,000","10,300","10,200","10,100","9,300","9,400","9,600","9,600","9,000","8,400","8,300","8,200","8,400","9,000","8,500","8,200","7,500","7,500","7,800","7,800","7,300","7,000","7,100","6,900","6,600","7,100","7,100","7,100","6,100","6,100","6,200","6,500","6,000","5,600","5,600","5,600","5,400","5,900","5,600","5,500","5,200","5,000","5,100","5,200","4,800","4,400","4,600","4,700","4,600","5,000","4,900","5,000","4,500","4,300","4,600","4,700","4,500","4,400","4,400","4,300","4,300","4,900","4,700","4,500","3,900","3,700","4,100","4,100","4,000","3,500","3,400","3,400","3,300","3,800","3,700","3,700","3,200","2,900","3,500","3,400","3,300","2,900","3,100","3,200","3,300","4,000","3,800","3,800","3,100","2,900","3,300","3,500","3,300","2,800","3,000","3,100","3,000","3,500","3,400","3,900","14,100","13,500","10,900","8,900","7,500","6,800","6,100","5,100","6,100","6,300","6,000","5,700","5,300","5,000","5,500","5,400","5,100","4,500","4,300","3,800"
4,2020,000017,,,1,00-000040,Civilian Unemployment Rate,13.1%,13.0%,13.0%,12.4%,12.2%,12.4%,12.4%,12.3%,12.0%,12.0%,12.7%,12.5%,12.9%,12.7%,12.6%,11.9%,12.0%,12.3%,12.1%,11.8%,11.4%,11.2%,11.0%,11.1%,11.6%,11.5%,11.3%,10.5%,10.6%,10.7%,10.8%,10.2%,9.4%,9.4%,9.3%,9.4%,10.0%,9.5%,9.2%,8.6%,8.5%,8.9%,8.8%,8.3%,7.9%,8.1%,7.9%,7.6%,8.1%,8.1%,8.1%,7.0%,6.9%,7.1%,7.3%,6.9%,6.4%,6.4%,6.4%,6.1%,6.7%,6.4%,6.3%,5.9%,5.7%,5.8%,5.9%,5.4%,5.1%,5.2%,5.3%,5.2%,5.6%,5.5%,5.6%,5.1%,4.8%,5.2%,5.3%,5.1%,4.9%,5.0%,4.8%,4.8%,5.4%,5.2%,5.0%,4.4%,4.1%,4.5%,4.6%,4.4%,3.9%,3.8%,3.8%,3.7%,4.2%,4.1%,4.1%,3.5%,3.1%,3.8%,3.7%,3.6%,3.2%,3.4%,3.5%,3.6%,4.4%,4.1%,4.1%,3.4%,3.1%,3.7%,3.7%,3.6%,3.0%,3.2%,3.3%,3.3%,3.8%,3.6%,4.2%,15.5%,14.9%,12.0%,9.9%,8.5%,7.7%,6.7%,5.7%,6.8%,6.9%,6.6%,6.2%,5.9%,5.5%,6.1%,5.8%,5.6%,4.9%,4.7%,4.1%
8,2020,000017,"110000-813000, 920000",,1,01-000000,"Total, All Industries","47,400","47,100","47,400","46,500","47,300","48,300","47,100","47,800","47,800","47,700","47,800","48,400","46,700","46,700","46,700","46,500","46,300","47,500","46,600","48,200","48,300","48,100","48,500","48,200","47,300","47,800","47,600","47,700","47,700","49,100","47,400","48,400","48,800","48,300","49,200","49,600","49,700","49,400","49,400","49,300","49,200","50,600","49,300","50,400","50,700","50,300","50,900","51,300","50,100","50,100","50,200","50,600","50,200","51,600","50,700","51,500","51,600","51,300","51,500","51,900","51,400","51,500","51,800","51,400","52,000","53,000","45,600","46,200","46,100","45,300","45,900","46,700","45,500","46,000","45,700","45,900","45,900","47,500","47,400","47,500","47,600","47,400","47,700","47,600","54,900","55,300","55,600","55,500","55,700","57,400","57,100","57,800","57,400","57,900","57,300","58,200","57,000","57,000","56,900","57,300","57,000","59,600","59,000","59,800","59,800","59,900","60,200","60,200","58,100","57,900","58,200","58,700","58,900","60,000","58,400","60,100","59,600","59,500","59,800","59,700","58,900","59,600","58,500","47,800","49,600","52,000","51,400","53,000","53,700","54,300","54,300","54,400",,,,,,,,,,,
9,2020,000017,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,200,200,200,200,200,200,300,300,400,500,400,400,200,200,200,200,200,200,300,300,400,500,400,400,300,300,300,300,300,300,400,400,500,500,500,400,400,400,400,400,500,500,500,500,700,700,600,600,400,400,400,400,500,500,600,600,700,700,700,600,400,400,400,400,400,500,500,500,600,600,600,500,200,200,200,200,300,300,300,300,300,300,200,300,200,200,200,300,300,300,300,400,400,400,400,400,200,200,200,300,200,300,300,400,500,400,400,400,200,200,300,300,300,300,300,400,400,400,400,400,200,300,300,200,300,300,300,300,300,300,200,200,,,,,,,,,,,
