"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Hanford Corcoran MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Kings County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,025260,,,1,00-000010,Civilian Labor Force,"59,200","59,700","59,500","59,700","60,200","60,000","61,100","60,200","59,800","58,800","58,600","58,100","58,300","58,700","58,700","58,400","59,300","59,500","60,500","59,700","59,700","58,900","58,600","58,700","58,600","59,200","58,900","57,900","59,600","59,200","60,300","58,700","58,900","58,300","57,600","57,500","58,300","58,400","58,000","57,900","59,700","58,600","59,000","58,000","58,000","56,900","56,900","56,600","57,200","57,400","57,300","57,100","57,100","57,400","58,000","57,800","57,100","58,000","56,800","57,200","57,800","57,600","57,800","57,800","58,900","58,100","58,500","57,900","57,300","57,400","56,800","57,000","57,300","57,100","57,600","57,100","57,700","57,500","57,600","57,300","56,800","56,500","56,800","56,700","57,400","57,700","57,300","57,100","57,500","57,700","58,000","57,500","57,100","56,800","56,700","56,800","58,000","58,900","57,900","57,400","57,700","56,900","57,700","57,300","57,000","56,300","57,100","57,700","58,000","58,700","58,200","57,600","58,200","57,400","58,100","57,700","57,700","57,500","57,400","57,300","57,700","58,100","58,200","57,200","57,600","56,400","56,400","55,500","54,800","55,500","54,300","55,500","55,200","56,100","55,100","54,800","56,100","56,100","56,500","56,400","56,200","56,300","55,800"
2,2020,025260,,,1,00-000020,  Civilian Employment,"48,400","48,600","48,500","49,800","50,900","50,400","51,600","51,300","51,100","49,500","48,700","48,100","47,500","48,000","47,900","48,600","50,200","49,700","51,100","50,800","51,200","50,200","49,700","49,300","48,400","49,000","48,800","48,700","50,800","50,000","51,400","50,500","51,400","50,200","49,600","49,200","48,700","49,300","49,100","49,700","52,000","50,600","51,500","50,900","51,400","49,900","49,700","49,200","48,800","48,900","48,900","49,900","50,500","50,500","51,400","51,700","51,600","52,100","50,500","50,700","50,300","50,400","50,600","51,500","53,000","51,900","52,700","52,600","52,500","52,000","51,100","51,000","50,600","50,300","50,700","51,200","52,600","51,700","52,100","52,200","52,100","51,500","51,500","50,800","50,900","50,900","50,800","51,600","52,800","52,500","53,100","53,100","53,200","52,900","52,200","52,000","52,500","53,200","52,300","52,600","53,700","52,300","53,300","53,400","53,600","52,700","53,000","52,900","52,300","52,900","52,400","52,900","54,200","52,800","53,600","53,700","54,200","53,600","53,000","52,600","52,100","52,400","51,600","47,500","49,100","48,900","49,400","49,400","49,100","50,100","49,500","49,600","49,200","50,100","49,300","49,300","51,000","50,300","51,100","51,300","51,700","51,900","51,800"
3,2020,025260,,,1,00-000030,  Civilian Unemployment,"10,700","11,100","11,000","9,900","9,300","9,600","9,400","8,900","8,700","9,300","10,000","10,100","10,800","10,700","10,700","9,800","9,100","9,800","9,300","8,900","8,500","8,700","8,900","9,400","10,200","10,300","10,100","9,100","8,800","9,200","8,800","8,200","7,500","8,100","8,000","8,400","9,600","9,100","8,900","8,200","7,700","8,000","7,500","7,100","6,700","7,000","7,200","7,400","8,400","8,500","8,400","7,200","6,600","6,800","6,700","6,100","5,500","5,900","6,400","6,500","7,400","7,200","7,200","6,400","5,900","6,200","5,700","5,200","4,800","5,400","5,800","6,000","6,800","6,800","6,900","5,800","5,100","5,700","5,400","5,000","4,700","5,000","5,300","5,800","6,500","6,800","6,500","5,500","4,600","5,200","4,800","4,400","4,000","4,000","4,500","4,800","5,500","5,700","5,600","4,800","4,000","4,700","4,400","3,900","3,500","3,600","4,100","4,800","5,700","5,700","5,800","4,800","4,000","4,600","4,500","4,000","3,500","3,900","4,400","4,700","5,600","5,700","6,600","9,700","8,600","7,500","7,000","6,100","5,700","5,400","4,800","5,900","6,000","6,000","5,800","5,500","5,100","5,800","5,400","5,100","4,500","4,400","4,100"
4,2020,025260,,,1,00-000040,Civilian Unemployment Rate,18.1%,18.6%,18.5%,16.7%,15.4%,16.0%,15.5%,14.9%,14.5%,15.8%,17.0%,17.3%,18.5%,18.3%,18.3%,16.8%,15.4%,16.5%,15.5%,14.9%,14.2%,14.8%,15.2%,15.9%,17.5%,17.3%,17.1%,15.8%,14.7%,15.5%,14.7%,14.0%,12.7%,13.8%,13.8%,14.5%,16.5%,15.7%,15.4%,14.2%,12.9%,13.6%,12.8%,12.2%,11.5%,12.4%,12.7%,13.2%,14.7%,14.7%,14.6%,12.7%,11.5%,11.9%,11.5%,10.6%,9.6%,10.2%,11.2%,11.4%,12.9%,12.5%,12.5%,11.0%,10.0%,10.7%,9.8%,9.1%,8.4%,9.4%,10.2%,10.4%,11.8%,11.9%,12.0%,10.2%,8.8%,10.0%,9.4%,8.8%,8.3%,8.9%,9.4%,10.3%,11.4%,11.8%,11.3%,9.7%,8.1%,8.9%,8.3%,7.7%,6.9%,7.0%,7.9%,8.5%,9.4%,9.7%,9.8%,8.4%,6.9%,8.2%,7.6%,6.8%,6.1%,6.5%,7.2%,8.3%,9.8%,9.8%,10.0%,8.3%,6.9%,8.0%,7.7%,7.0%,6.1%,6.8%,7.6%,8.3%,9.6%,9.8%,11.3%,16.9%,14.9%,13.3%,12.4%,11.0%,10.4%,9.8%,8.8%,10.6%,10.9%,10.7%,10.5%,10.1%,9.1%,10.3%,9.6%,9.0%,7.9%,7.8%,7.3%
8,2020,025260,"110000-813000, 920000",,1,01-000000,Total All Industries,"41,300","41,500","41,500","43,200","45,000","44,700","44,800","44,500","44,400","43,300","42,300","41,400","40,500","41,200","40,900","42,100","43,900","43,700","44,400","44,100","44,300","43,500","42,900","42,300","41,000","41,700","41,600","42,100","44,800","44,300","44,900","44,000","44,600","43,700","43,200","42,700","41,500","42,300","42,400","43,600","46,000","45,000","45,200","45,000","45,300","44,300","44,100","43,300","42,300","42,500","42,800","44,300","44,900","44,900","45,400","46,000","45,800","46,500","44,800","44,900","44,100","44,100","44,500","46,000","47,400","46,600","47,300","47,400","47,000","47,000","46,000","45,700","44,500","44,300","45,000","46,400","47,600","47,000","47,100","47,500","47,300","47,200","47,000","46,300","45,200","45,500","45,600","46,900","48,700","48,400","48,500","49,100","48,800","49,000","48,400","47,800","47,100","48,000","47,000","47,800","49,200","48,000","48,600","49,300","49,000","48,500","48,800","48,700","47,200","47,500","47,400","48,600","50,300","49,300","49,400","49,900","50,000","49,700","49,400","48,900","47,600","47,700","47,300","44,100","46,700","46,500","46,500","46,400","46,200","46,000","45,500","45,400","44,200","44,800","44,900","45,400","47,500","47,000","47,000","47,600","47,700","48,000","47,700"
9,2020,025260,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"5,500","5,200","5,400","6,700","8,500","8,300","7,700","6,800","7,000","6,200","5,900","5,400","5,000","5,100","5,300","6,100","7,700","7,500","6,800","6,400","6,300","6,600","6,300","5,700","5,400","5,400","5,700","6,100","8,400","7,100","7,100","6,600","6,800","6,500","6,400","6,000","5,700","5,900","6,000","6,800","8,500","7,500","7,700","7,400","7,400","6,800","6,600","6,100","6,100","5,900","5,900","7,100","7,300","6,900","7,200","7,300","7,000","8,100","6,700","6,800","6,800","6,300","6,900","7,800","8,800","7,900","8,000","7,500","7,400","8,000","7,000","6,700","7,000","6,400","7,000","8,100","8,400","7,900","7,600","7,500","7,400","7,600","7,400","7,000","7,000","7,000","7,000","7,700","8,800","8,300","8,300","8,100","8,100","8,300","7,700","7,400","7,200","7,400","6,300","7,300","8,400","7,500","8,000","8,400","7,900","7,900","7,300","7,200","6,900","6,700","6,400","7,500","8,500","7,900","8,200","7,800","7,900","7,800","7,400","7,200","6,900","6,600","6,300","6,100","8,900","7,400","7,700","7,300","7,400","7,600","7,100","6,900","6,800","6,700","6,400","7,100","8,400","7,600","7,700","7,600","7,500","7,600","7,200"
