"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Humboldt County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000023,,,1,00-000010,Civilian Labor Force,"65,700","66,100","66,700","66,500","66,400","66,000","65,600","65,900","66,100","66,100","66,000","65,800","64,900","65,000","65,400","65,000","65,200","64,800","64,300","65,000","65,100","65,200","64,700","64,700","64,300","64,600","64,700","64,000","64,700","64,200","63,400","63,600","64,600","64,100","63,700","63,700","63,400","63,500","63,300","62,800","63,600","63,200","62,100","62,000","62,900","62,300","62,600","62,300","61,700","62,400","62,700","62,100","62,600","62,500","61,500","61,600","62,500","62,700","62,700","61,700","62,000","62,500","62,500","62,200","62,800","62,300","61,700","61,600","62,600","62,400","62,900","62,000","61,800","62,600","63,100","62,700","62,700","62,500","61,500","61,700","62,900","63,000","62,500","62,000","62,000","63,000","62,900","62,700","62,900","62,500","61,500","61,700","63,100","62,900","62,600","62,400","61,400","62,300","62,500","62,500","62,900","62,400","61,600","61,800","63,200","63,500","63,500","63,000","62,100","62,600","62,800","62,100","62,200","61,800","61,200","61,300","62,400","62,600","62,400","61,800","61,100","61,800","62,000","58,900","58,200","59,000","58,200","58,000","58,700","59,600","58,700","58,900","58,800","59,700","59,900","59,200","59,800","59,900","59,600","59,900","60,600","60,700","60,600"
2,2020,000023,,,1,00-000020,  Civilian Employment,"57,800","58,400","58,900","59,200","59,700","59,000","58,500","58,900","59,600","59,600","59,000","58,700","57,200","57,800","58,000","58,100","58,400","57,700","57,100","58,100","58,600","58,700","58,300","58,100","57,400","57,600","57,700","57,600","58,600","57,800","56,900","57,400","59,100","58,500","58,100","57,900","57,200","57,600","57,600","57,700","58,700","57,800","56,800","56,900","58,200","57,600","58,000","57,800","56,900","57,500","57,900","58,000","58,700","58,300","57,100","57,400","58,800","59,000","58,800","58,000","57,800","58,500","58,600","58,700","59,400","58,800","58,000","58,200","59,600","59,300","59,700","58,700","58,300","59,200","59,600","59,700","60,000","59,300","58,200","58,600","60,100","60,100","59,700","59,200","58,800","59,900","60,000","60,100","60,500","59,800","58,600","58,900","60,800","60,700","60,300","60,200","58,800","59,800","60,000","60,300","61,000","60,000","59,100","59,500","61,200","61,400","61,400","60,600","59,200","60,000","60,200","59,900","60,300","59,500","58,700","59,000","60,500","60,500","60,300","59,800","58,600","59,400","59,200","50,000","50,700","52,300","52,000","52,500","53,900","55,200","55,100","54,500","54,400","55,500","55,900","55,500","56,400","56,100","55,800","56,200","57,600","57,800","58,000"
3,2020,000023,,,1,00-000030,  Civilian Unemployment,"7,800","7,700","7,700","7,300","6,800","7,000","7,100","7,000","6,500","6,500","7,100","7,100","7,700","7,200","7,400","6,900","6,700","7,100","7,200","6,900","6,500","6,500","6,500","6,700","7,000","7,000","7,000","6,400","6,100","6,400","6,500","6,200","5,500","5,600","5,600","5,700","6,200","5,800","5,600","5,100","4,900","5,300","5,300","5,100","4,700","4,700","4,600","4,400","4,800","4,900","4,900","4,100","3,900","4,200","4,400","4,200","3,700","3,700","3,800","3,700","4,200","3,900","3,900","3,500","3,300","3,500","3,700","3,400","3,000","3,100","3,200","3,300","3,600","3,400","3,500","3,000","2,700","3,200","3,200","3,100","2,900","2,900","2,800","2,800","3,200","3,100","2,900","2,600","2,400","2,800","2,900","2,800","2,300","2,200","2,300","2,200","2,600","2,500","2,500","2,200","1,900","2,400","2,400","2,300","2,000","2,100","2,100","2,300","2,900","2,600","2,600","2,200","1,900","2,300","2,500","2,300","1,900","2,000","2,100","2,000","2,500","2,400","2,700","9,000","7,500","6,800","6,200","5,400","4,700","4,300","3,600","4,400","4,300","4,200","4,000","3,700","3,400","3,900","3,800","3,700","3,000","2,900","2,600"
4,2020,000023,,,1,00-000040,Civilian Unemployment Rate,11.9%,11.6%,11.6%,10.9%,10.2%,10.6%,10.9%,10.6%,9.8%,9.9%,10.7%,10.7%,11.9%,11.1%,11.3%,10.6%,10.4%,11.0%,11.2%,10.7%,10.0%,10.0%,10.0%,10.3%,10.8%,10.8%,10.8%,9.9%,9.4%,10.0%,10.3%,9.7%,8.6%,8.7%,8.8%,9.0%,9.8%,9.2%,8.9%,8.2%,7.6%,8.5%,8.6%,8.2%,7.5%,7.6%,7.4%,7.1%,7.8%,7.9%,7.8%,6.6%,6.3%,6.7%,7.2%,6.8%,6.0%,6.0%,6.1%,6.0%,6.7%,6.3%,6.2%,5.6%,5.3%,5.6%,6.0%,5.6%,4.8%,5.0%,5.1%,5.3%,5.8%,5.5%,5.5%,4.9%,4.3%,5.0%,5.2%,5.1%,4.5%,4.6%,4.5%,4.5%,5.2%,4.9%,4.7%,4.2%,3.8%,4.5%,4.7%,4.5%,3.6%,3.5%,3.6%,3.6%,4.2%,4.1%,4.0%,3.5%,3.0%,3.9%,3.9%,3.7%,3.1%,3.3%,3.4%,3.7%,4.7%,4.2%,4.2%,3.5%,3.1%,3.7%,4.0%,3.8%,3.0%,3.2%,3.3%,3.3%,4.2%,3.8%,4.4%,15.2%,12.9%,11.5%,10.6%,9.4%,8.1%,7.3%,6.2%,7.4%,7.4%,7.0%,6.6%,6.3%,5.7%,6.5%,6.4%,6.1%,5.0%,4.8%,4.3%
8,2020,000023,"110000-813000, 920000",,1,01-000000,"Total, All Industries","46,500","46,700","47,400","47,500","48,600","48,000","47,100","47,600","48,100","48,800","48,300","47,900","46,000","46,600","46,500","46,800","47,400","47,100","45,700","46,800","47,400","47,400","47,300","47,000","46,000","46,100","46,300","46,800","47,800","47,300","45,600","46,400","47,700","47,100","47,200","47,000","46,000","46,700","46,800","47,000","47,900","47,200","45,800","46,000","47,400","47,600","47,900","47,800","46,300","46,800","47,600","47,900","48,500","48,200","46,300","46,800","48,200","48,600","48,600","48,100","47,100","47,900","48,000","48,500","49,000","48,800","47,800","48,100","49,500","49,600","50,200","49,300","48,100","48,900","49,300","50,300","50,400","50,000","48,500","49,100","50,400","50,800","50,700","50,300","49,100","50,100","50,300","51,000","51,500","51,200","49,200","49,800","51,100","51,600","51,500","51,600","49,600","50,500","50,800","51,400","52,000","51,700","50,000","50,900","52,200","52,600","52,800","52,300","50,500","51,100","51,600","52,000","52,500","52,100","50,600","51,300","52,200","52,800","53,000","52,500","50,800","51,700","51,900","44,100","45,300","46,500","45,600","46,100","47,400","47,600","47,800","47,200","46,300","47,000","47,800","48,400","49,100","49,100","47,700","48,700","49,500","49,900","50,000"
9,2020,000023,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,900,900,900,900,800,800,900,900,900,800,800,800,900,"1,000",900,900,800,800,900,900,900,800,800,800,800,900,800,800,800,800,800,800,800,800,800,800,900,900,800,800,800,800,800,800,800,900,900,800,900,900,900,900,900,900,800,800,800,800,800,800,"1,000",900,900,900,900,900,900,900,900,800,900,800,900,900,900,900,900,800,800,800,800,800,900,900,800,900,900,900,900,900,900,900,900,900,900,900,"1,000","1,000","1,000","1,100","1,100","1,100","1,100","1,000","1,000","1,000","1,100","1,100","1,100","1,200","1,200","1,200","1,300","1,300","1,300","1,300","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
