"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Madera MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Madera County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,031460,,,1,00-000010,Civilian Labor Force,"62,600","63,100","60,800","59,500","62,700","63,100","61,100","62,200","63,200","61,000","60,100","61,600","63,100","63,100","60,700","59,500","60,700","61,000","61,800","62,100","64,000","62,500","61,500","63,600","63,900","63,900","62,000","59,800","63,200","62,200","62,000","62,400","63,700","62,400","61,000","62,700","63,600","63,500","61,300","61,200","63,900","63,200","61,200","63,200","62,800","61,100","59,200","60,700","63,500","63,600","62,100","61,600","62,800","62,100","61,300","62,300","62,700","60,600","58,800","59,200","60,900","61,600","59,600","59,200","60,000","60,200","59,300","60,200","60,200","58,800","58,200","59,600","61,700","62,700","61,200","61,100","61,300","60,500","60,000","61,000","61,900","60,900","59,900","60,400","62,100","62,200","61,100","60,400","61,200","61,200","60,400","60,800","61,800","60,100","59,800","60,400","61,900","63,600","61,500","59,800","61,500","61,400","60,400","60,300","61,900","61,100","60,100","61,800","63,200","63,700","62,300","61,000","62,400","62,200","61,400","62,100","62,600","60,600","61,200","62,600","63,300","64,200","62,900","59,900","61,800","62,100","60,700","61,700","60,800","61,000","60,400","62,100","62,600","63,300","61,700","60,000","63,300","63,100","61,600","62,600","62,500","61,500","61,100"
2,2020,031460,,,1,00-000020,  Civilian Employment,"51,500","51,600","49,200","48,700","52,500","52,900","50,700","52,300","53,900","51,300","49,500","50,800","51,800","52,000","49,500","48,900","50,800","50,700","51,600","52,400","54,800","53,200","52,000","53,700","53,600","53,500","51,500","50,100","54,000","52,700","52,700","53,900","56,000","54,500","52,700","54,000","54,100","54,400","52,400","53,000","56,300","55,200","53,400","56,000","56,000","54,100","51,900","53,300","55,400","55,500","53,800","54,400","56,100","55,300","54,400","56,000","57,000","54,700","52,000","52,100","53,200","54,300","52,100","52,600","53,800","53,900","53,100","54,600","55,100","53,400","52,200","53,500","55,200","56,300","54,500","55,100","56,100","54,900","54,500","56,000","57,200","56,000","54,600","54,600","55,700","55,900","55,000","55,000","56,400","56,200","55,600","56,300","57,900","56,300","55,600","55,700","56,700","58,400","56,200","55,100","57,500","57,000","56,000","56,400","58,500","57,500","56,200","57,300","57,800","58,600","56,900","56,500","58,500","57,900","57,000","58,100","59,200","57,000","57,200","58,200","58,100","59,200","56,900","49,500","52,700","54,100","53,100","55,300","54,900","55,600","55,600","56,200","56,500","57,200","55,900","54,400","58,100","57,200","56,000","57,400","57,900","57,000","57,000"
3,2020,031460,,,1,00-000030,  Civilian Unemployment,"11,100","11,500","11,600","10,800","10,200","10,200","10,400","9,900","9,300","9,700","10,600","10,800","11,300","11,100","11,200","10,600","9,800","10,300","10,200","9,800","9,200","9,200","9,600","9,900","10,300","10,400","10,500","9,700","9,200","9,400","9,300","8,500","7,700","7,900","8,300","8,700","9,500","9,100","9,000","8,200","7,600","8,000","7,800","7,200","6,800","7,000","7,300","7,400","8,100","8,100","8,300","7,200","6,700","6,800","6,900","6,300","5,700","5,900","6,800","7,000","7,600","7,400","7,500","6,600","6,300","6,300","6,200","5,600","5,000","5,400","6,000","6,100","6,500","6,400","6,700","6,000","5,200","5,600","5,600","5,100","4,700","5,000","5,300","5,800","6,400","6,300","6,100","5,400","4,800","5,000","4,900","4,500","3,900","3,800","4,200","4,600","5,300","5,300","5,300","4,700","4,000","4,400","4,300","3,900","3,400","3,600","3,900","4,500","5,500","5,100","5,300","4,500","3,900","4,300","4,400","3,900","3,400","3,500","4,000","4,400","5,200","5,100","6,000","10,400","9,200","8,000","7,500","6,500","5,900","5,400","4,800","5,800","6,100","6,100","5,800","5,600","5,200","5,800","5,600","5,200","4,500","4,500","4,100"
4,2020,031460,,,1,00-000040,Civilian Unemployment Rate,17.7%,18.2%,19.1%,18.2%,16.2%,16.2%,17.0%,15.9%,14.7%,15.9%,17.6%,17.6%,17.9%,17.6%,18.5%,17.8%,16.2%,16.8%,16.5%,15.7%,14.4%,14.8%,15.5%,15.6%,16.1%,16.3%,16.9%,16.2%,14.5%,15.2%,15.0%,13.6%,12.1%,12.7%,13.6%,13.9%,14.9%,14.3%,14.6%,13.5%,11.9%,12.6%,12.8%,11.4%,10.8%,11.5%,12.3%,12.2%,12.7%,12.7%,13.4%,11.7%,10.7%,10.9%,11.2%,10.1%,9.1%,9.7%,11.6%,11.9%,12.5%,11.9%,12.6%,11.2%,10.4%,10.5%,10.4%,9.2%,8.4%,9.2%,10.3%,10.2%,10.5%,10.2%,11.0%,9.8%,8.6%,9.3%,9.3%,8.3%,7.6%,8.2%,8.9%,9.6%,10.2%,10.1%,10.0%,9.0%,7.8%,8.1%,8.0%,7.4%,6.3%,6.4%,7.1%,7.7%,8.5%,8.3%,8.7%,7.8%,6.5%,7.2%,7.2%,6.4%,5.4%,5.9%,6.4%,7.3%,8.6%,8.1%,8.5%,7.4%,6.2%,6.9%,7.2%,6.3%,5.4%,5.8%,6.5%,7.1%,8.2%,7.9%,9.6%,17.4%,14.8%,12.9%,12.4%,10.5%,9.6%,8.9%,7.9%,9.4%,9.8%,9.6%,9.5%,9.3%,8.3%,9.2%,9.1%,8.4%,7.2%,7.3%,6.7%
8,2020,031460,"110000-813000, 920000",,1,01-000000,"Total, All Industries","43,700","43,700","40,900","40,600","45,600","46,400","43,200","45,100","47,100","44,300","42,300","43,800","44,200","44,200","41,300","41,000","43,400","43,800","44,400","45,100","48,000","46,200","44,500","46,300","45,500","45,500","43,500","42,500","47,300","46,200","45,500","47,400","49,200","47,300","45,500","46,900","46,200","46,700","44,500","45,500","49,600","48,800","46,000","49,600","49,400","47,700","44,900","46,300","47,800","47,900","46,100","47,300","49,200","48,700","47,000","49,400","50,400","47,300","44,200","44,300","45,300","46,200","44,100","45,000","46,400","47,000","46,000","48,100","48,600","46,600","45,100","46,300","47,400","48,900","47,000","48,600","49,600","48,600","48,000","49,900","51,300","50,000","48,500","48,400","48,400","48,700","47,700","48,400","50,400","50,600","49,100","50,600","51,900","50,600","49,700","50,000","49,900","51,700","49,300","48,400","51,100","51,400","49,700","51,000","52,900","52,200","50,800","51,700","51,100","51,800","50,600","50,400","53,300","53,000","51,700","53,600","54,300","51,600","52,200","53,100","52,000","53,500","51,100","44,800","49,300","50,700","49,300","51,800","51,200","50,500","50,200","51,100","50,200","50,600","49,900","49,400","53,600","53,000","50,600","53,000","52,900","51,800","51,200"
9,2020,031460,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"10,500","10,300","8,000","7,100","11,500","12,500","9,600","11,400","13,000","10,800","8,700","10,400","11,400","11,400","8,300","7,800","9,800","10,200","10,700","11,900","13,900","12,400","10,700","12,500","12,000","11,500","9,500","8,200","12,600","11,300","11,000","13,300","14,500","12,600","11,000","12,500","12,500","12,700","10,200","10,800","14,200","13,300","11,000","14,600","14,000","12,000","9,500","11,000","12,800","12,700","10,800","11,800","13,300","12,400","11,400","13,600","14,200","11,200","9,400","10,100","11,300","12,400","10,100","10,800","11,600","12,000","11,400","12,900","12,900","11,200","9,700","11,400","12,100","13,100","10,900","12,200","13,300","11,900","11,600","12,900","13,800","12,700","10,900","11,400","12,100","12,000","10,900","11,000","12,800","12,700","11,900","12,800","13,600","12,500","11,300","12,100","12,600","13,900","11,400","10,500","12,900","12,600","11,700","12,300","13,400","12,600","10,900","12,500","12,600","13,100","11,700","11,200","13,500","13,200","12,500","13,600","13,600","11,200","11,500","12,900","12,600","13,100","10,900","8,900","13,000","12,500","11,400","13,300","12,400","11,200","11,300","12,700","12,600","12,900","11,700","10,800","14,800","13,400","12,500","13,700","13,400","12,100","11,500"
