"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Napa MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Napa County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,034900,,,1,00-000010,Civilian Labor Force,"68,900","69,100","69,300","69,700","70,400","70,700","72,700","71,300","71,100","72,500","69,400","67,900","68,200","68,800","68,700","69,300","71,400","71,700","71,700","71,700","72,500","73,700","71,000","69,000","69,600","70,300","70,700","69,700","72,200","72,900","73,000","73,000","73,600","74,100","71,100","69,500","70,100","70,900","70,900","71,500","73,700","74,100","73,900","74,100","75,200","74,500","71,400","70,200","71,300","72,200","72,900","73,000","73,900","74,300","74,200","73,900","74,900","75,700","72,000","70,700","72,000","72,800","73,100","74,000","75,000","74,900","74,800","75,000","75,400","74,200","72,400","71,100","71,000","72,500","72,500","73,000","73,600","73,800","74,300","73,900","74,300","74,000","71,600","70,700","71,300","72,600","73,300","73,000","74,000","74,600","75,300","74,600","75,600","73,000","71,600","70,600","71,600","73,500","73,300","73,400","74,700","75,100","75,500","74,500","75,400","75,000","72,500","70,900","71,100","72,800","73,100","72,300","74,000","74,600","75,300","74,600","74,900","74,500","71,500","69,900","70,500","72,500","71,700","66,300","68,300","70,000","69,600","68,400","67,900","68,900","66,100","66,100","66,900","68,800","68,500","67,800","69,800","70,600","71,500","71,200","71,300","70,900","68,600"
2,2020,034900,,,1,00-000020,  Civilian Employment,"60,700","61,200","61,300","62,200","63,600","63,600","65,500","64,100","64,100","65,700","61,800","60,100","60,300","61,100","61,200","62,200","64,800","64,600","64,600","64,800","65,800","67,200","64,300","62,200","62,500","63,400","63,900","63,500","66,300","66,700","66,800","67,000","68,100","68,700","65,500","63,500","63,800","65,200","65,400","66,600","69,000","69,000","68,800","69,300","70,500","69,800","66,500","65,400","66,200","67,300","68,200","69,000","70,100","70,300","69,900","69,900","71,200","71,900","67,900","66,700","67,800","69,000","69,400","70,800","71,800","71,600","71,400","71,800","72,600","71,000","68,800","67,500","67,400","69,100","69,000","70,000","71,000","70,800","71,300","70,800","71,400","71,100","68,500","67,300","67,800","69,400","70,300","70,400","71,600","71,900","72,600","72,000","73,300","70,600","69,100","68,000","68,700","71,000","70,900","71,300","72,900","72,900","73,300","72,400","73,500","73,000","70,500","68,500","68,200","70,300","70,600","70,300","72,200","72,500","73,100","72,600","73,100","72,700","69,400","67,700","67,900","70,200","69,100","54,600","57,900","61,300","62,200","62,000","62,300","63,800","61,800","61,100","61,000","63,900","64,000","63,600","65,900","66,300","67,400","67,400","68,100","67,700","65,700"
3,2020,034900,,,1,00-000030,  Civilian Unemployment,"8,200","7,900","8,000","7,500","6,800","7,100","7,200","7,200","7,000","6,800","7,600","7,800","7,900","7,600","7,500","7,100","6,600","7,100","7,100","6,900","6,700","6,400","6,600","6,900","7,100","6,800","6,800","6,200","5,900","6,200","6,200","6,000","5,500","5,400","5,700","6,000","6,300","5,700","5,400","5,000","4,700","5,100","5,100","4,900","4,600","4,600","4,900","4,800","5,100","4,900","4,800","4,000","3,800","4,000","4,300","4,100","3,700","3,700","4,100","4,000","4,200","3,800","3,600","3,200","3,200","3,300","3,400","3,200","2,900","3,200","3,600","3,600","3,700","3,500","3,500","3,000","2,600","3,100","3,100","3,000","2,900","2,900","3,200","3,400","3,500","3,200","3,000","2,600","2,400","2,600","2,700","2,600","2,300","2,300","2,500","2,600","2,800","2,500","2,400","2,100","1,800","2,200","2,200","2,100","1,900","1,900","2,000","2,400","2,900","2,400","2,400","1,900","1,700","2,100","2,200","2,000","1,700","1,900","2,000","2,200","2,600","2,300","2,700","11,800","10,400","8,700","7,400","6,400","5,600","5,100","4,300","5,000","5,900","4,900","4,400","4,200","3,900","4,300","4,100","3,900","3,200","3,200","2,900"
4,2020,034900,,,1,00-000040,Civilian Unemployment Rate,11.9%,11.5%,11.5%,10.7%,9.7%,10.0%,9.9%,10.1%,9.8%,9.4%,10.9%,11.5%,11.6%,11.1%,10.9%,10.2%,9.2%,9.9%,9.9%,9.6%,9.3%,8.7%,9.3%,9.9%,10.2%,9.7%,9.6%,8.9%,8.2%,8.5%,8.6%,8.2%,7.5%,7.3%,8.0%,8.6%,9.0%,8.0%,7.7%,6.9%,6.4%,6.9%,6.9%,6.6%,6.1%,6.2%,6.8%,6.8%,7.2%,6.8%,6.5%,5.4%,5.2%,5.4%,5.8%,5.5%,5.0%,4.9%,5.8%,5.7%,5.9%,5.2%,5.0%,4.3%,4.2%,4.4%,4.5%,4.3%,3.8%,4.3%,4.9%,5.0%,5.1%,4.8%,4.8%,4.1%,3.6%,4.2%,4.1%,4.1%,3.9%,3.9%,4.4%,4.7%,4.9%,4.4%,4.0%,3.5%,3.2%,3.5%,3.6%,3.5%,3.0%,3.2%,3.4%,3.7%,4.0%,3.4%,3.3%,2.9%,2.4%,2.9%,2.9%,2.8%,2.5%,2.6%,2.7%,3.4%,4.1%,3.3%,3.3%,2.7%,2.3%,2.8%,2.9%,2.7%,2.3%,2.5%,2.8%,3.1%,3.7%,3.2%,3.7%,17.8%,15.2%,12.4%,10.7%,9.3%,8.3%,7.4%,6.4%,7.5%,8.8%,7.1%,6.5%,6.2%,5.6%,6.1%,5.7%,5.4%,4.5%,4.5%,4.2%
8,2020,034900,"110000-813000, 920000",,1,01-000000,"Total, All Industries","62,600","63,000","63,300","64,300","66,500","67,000","68,300","66,500","66,500","69,200","64,800","62,500","62,100","62,900","63,000","64,700","67,800","68,000","67,200","67,500","68,700","70,400","67,000","64,400","64,100","65,100","66,100","66,000","69,700","70,700","69,800","70,300","71,100","72,200","68,700","66,500","66,000","67,900","68,300","69,900","73,000","73,400","72,600","73,700","74,800","75,200","71,100","69,600","69,500","70,900","72,000","73,700","74,800","75,500","74,200","74,600","76,000","76,800","72,300","71,300","71,500","72,800","73,600","75,600","76,900","77,200","76,600","77,400","78,200","76,900","74,300","72,800","71,800","73,700","73,400","76,200","77,100","77,300","77,100","77,000","77,700","77,900","74,900","73,600","73,200","74,900","76,200","77,000","78,700","79,700","79,400","79,200","80,000","77,700","76,100","75,000","75,000","77,700","77,900","78,900","80,900","81,700","81,000","80,900","81,500","81,400","78,600","76,400","75,400","77,500","78,400","78,900","81,500","82,400","82,200","82,400","82,200","82,400","78,800","76,800","76,100","78,800","78,000","61,500","66,500","70,300","70,800","70,500","70,900","71,100","69,000","68,200","66,500","69,600","70,700","71,500","74,000","75,200","75,100","75,700","76,000","76,000","73,100"
9,2020,034900,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"3,500","4,100","4,100","4,000","5,800","5,800","6,200","5,200","5,300","6,200","3,200","2,600","3,700","4,200","4,000","4,100","5,900","5,800","6,100","5,300","5,400","6,300","4,000","2,800","3,800","4,400","4,300","3,800","5,800","6,100","6,000","5,400","5,700","6,000","3,600","2,800","3,800","4,500","4,600","4,700","6,100","6,100","6,100","5,500","6,200","5,900","3,200","2,700","3,700","4,400","4,800","5,600","6,000","6,100","6,000","5,600","6,100","5,600","2,800","2,600","4,000","4,600","4,900","6,000","6,400","6,400","6,100","5,700","6,100","4,500","2,900","2,500","3,600","4,500","4,700","5,700","6,100","6,300","6,200","5,600","5,500","5,400","3,100","2,900","3,800","4,500","4,900","5,500","6,200","6,400","6,300","5,700","5,600","4,900","3,400","3,100","4,000","5,000","4,900","5,200","6,400","6,500","6,400","5,600","5,700","5,500","3,700","2,800","3,700","4,600","4,800","4,800","6,400","6,800","6,900","6,000","5,800","5,700","3,400","3,000","4,000","5,000","5,100","4,400","6,800","6,600","6,200","5,300","5,200","5,000","3,400","3,000","4,000","4,900","5,000","5,200","6,900","7,200","7,000","6,100","5,900","5,700","3,700"
