"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Placer County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000061,,,1,00-000010,Civilian Labor Force,"174,300","174,200","174,700","174,000","173,300","173,300","174,400","173,400","173,000","172,200","172,700","171,800","173,400","173,500","173,800","172,500","172,600","173,300","173,400","173,600","173,900","174,000","174,100","173,600","173,600","174,700","174,900","173,900","174,300","175,600","175,300","174,400","174,400","174,700","174,500","174,100","176,600","176,400","175,800","174,400","174,800","175,600","176,000","174,800","175,300","173,900","174,800","173,800","174,200","174,900","175,400","173,200","174,400","175,700","175,900","175,200","175,400","176,100","176,300","174,500","175,600","175,600","176,000","175,200","176,200","176,700","177,400","176,400","176,000","176,700","177,100","177,100","178,600","179,700","180,100","178,300","178,700","179,800","180,900","180,400","180,400","179,900","179,700","179,300","180,600","181,000","181,300","180,100","180,300","181,300","182,600","181,600","182,500","181,800","181,700","181,500","183,900","184,900","185,000","184,000","184,700","185,600","187,100","185,800","186,500","186,500","186,800","186,700","188,800","189,400","189,400","186,800","187,200","187,500","189,400","188,800","189,200","189,400","188,900","188,000","188,700","189,500","188,900","182,100","181,300","184,100","184,400","182,500","182,100","186,300","184,100","184,700","184,500","186,700","185,300","183,100","183,900","185,700","187,300","186,800","186,800","187,500","188,100"
2,2020,000061,,,1,00-000020,  Civilian Employment,"152,600","152,800","153,100","153,600","153,500","152,800","153,400","152,900","153,100","152,500","152,100","152,000","152,700","153,200","153,700","153,600","153,800","153,300","153,600","154,300","155,300","155,700","156,300","156,200","155,500","156,600","157,100","157,500","157,800","158,200","157,800","157,800","159,000","159,200","159,400","159,000","160,700","161,300","161,400","161,200","161,600","161,300","161,700","161,300","162,300","160,900","162,300","162,000","161,700","162,300","162,900","162,700","163,700","164,500","164,100","164,000","165,000","165,800","166,100","165,200","165,300","165,800","166,400","166,400","167,300","167,400","167,900","167,600","167,900","168,300","168,800","169,200","170,100","171,200","171,400","170,400","171,500","171,400","172,300","172,100","172,400","171,900","172,200","171,900","172,300","172,900","173,600","173,200","173,800","173,800","174,900","174,200","176,000","175,600","175,600","175,600","177,200","178,500","178,700","178,400","179,700","179,300","180,900","179,700","181,000","180,800","181,000","180,700","181,700","182,900","182,700","181,400","182,000","181,400","183,000","182,700","183,900","183,800","183,300","182,600","182,400","183,500","182,000","158,000","158,800","164,800","167,100","167,600","168,900","174,600","174,500","173,600","173,400","176,100","175,300","173,600","174,900","175,500","177,300","177,200","178,800","179,900","181,500"
3,2020,000061,,,1,00-000030,  Civilian Unemployment,"21,700","21,400","21,600","20,400","19,800","20,600","21,000","20,500","19,900","19,700","20,600","19,900","20,700","20,300","20,100","18,900","18,800","20,000","19,800","19,300","18,600","18,300","17,800","17,400","18,100","18,000","17,900","16,400","16,500","17,400","17,500","16,600","15,400","15,500","15,100","15,000","16,000","15,000","14,400","13,200","13,200","14,300","14,300","13,500","13,000","13,000","12,600","11,800","12,500","12,600","12,500","10,600","10,700","11,200","11,800","11,300","10,400","10,300","10,200","9,300","10,300","9,800","9,600","8,900","8,800","9,300","9,500","8,800","8,200","8,400","8,300","7,900","8,500","8,500","8,700","7,800","7,200","8,400","8,600","8,300","8,000","8,000","7,500","7,400","8,300","8,000","7,700","6,800","6,500","7,400","7,700","7,400","6,500","6,200","6,200","5,900","6,600","6,400","6,300","5,600","5,000","6,300","6,300","6,100","5,500","5,800","5,800","5,900","7,100","6,500","6,700","5,500","5,200","6,100","6,400","6,100","5,300","5,600","5,600","5,400","6,300","6,000","6,900","24,100","22,500","19,300","17,300","14,900","13,200","11,700","9,600","11,100","11,000","10,600","10,000","9,500","9,000","10,200","10,000","9,600","7,900","7,600","6,600"
4,2020,000061,,,1,00-000040,Civilian Unemployment Rate,12.4%,12.3%,12.3%,11.7%,11.4%,11.9%,12.0%,11.8%,11.5%,11.5%,11.9%,11.6%,12.0%,11.7%,11.6%,10.9%,10.9%,11.5%,11.4%,11.1%,10.7%,10.5%,10.2%,10.0%,10.4%,10.3%,10.2%,9.4%,9.5%,9.9%,10.0%,9.5%,8.9%,8.9%,8.6%,8.6%,9.0%,8.5%,8.2%,7.6%,7.6%,8.2%,8.1%,7.7%,7.4%,7.5%,7.2%,6.8%,7.1%,7.2%,7.1%,6.1%,6.1%,6.4%,6.7%,6.4%,5.9%,5.9%,5.8%,5.3%,5.9%,5.6%,5.5%,5.1%,5.0%,5.2%,5.4%,5.0%,4.6%,4.7%,4.7%,4.5%,4.8%,4.7%,4.8%,4.4%,4.0%,4.7%,4.7%,4.6%,4.4%,4.4%,4.2%,4.1%,4.6%,4.4%,4.2%,3.8%,3.6%,4.1%,4.2%,4.1%,3.6%,3.4%,3.4%,3.3%,3.6%,3.5%,3.4%,3.0%,2.7%,3.4%,3.3%,3.3%,3.0%,3.1%,3.1%,3.2%,3.8%,3.4%,3.5%,2.9%,2.8%,3.3%,3.4%,3.2%,2.8%,3.0%,3.0%,2.9%,3.4%,3.1%,3.6%,13.2%,12.4%,10.5%,9.4%,8.2%,7.2%,6.3%,5.2%,6.0%,6.0%,5.7%,5.4%,5.2%,4.9%,5.5%,5.3%,5.1%,4.2%,4.1%,3.5%
8,2020,000061,"110000-813000, 920000",,1,01-000000,"Total, All Industries","126,000","125,600","125,700","127,000","127,000","128,500","129,700","128,100","126,400","127,000","127,400","129,800","126,800","128,100","127,900","127,200","127,200","128,800","127,400","128,400","129,000","129,700","131,100","129,800","130,600","131,300","131,900","132,200","132,700","134,600","133,300","135,600","134,300","135,400","136,500","135,700","138,200","139,200","139,100","140,200","140,600","142,500","144,100","142,700","142,300","141,900","143,500","143,000","143,500","143,600","144,000","144,800","145,400","147,900","146,700","148,700","147,300","147,400","148,900","148,600","148,700","148,400","149,200","149,100","150,200","152,700","154,000","154,100","153,200","154,300","155,500","157,800","156,000","157,000","156,500","159,300","159,400","160,800","160,600","161,700","161,700","161,600","162,800","162,400","160,100","160,900","162,300","163,600","163,600","166,400","165,400","165,900","165,300","166,700","167,900","170,100","168,100","169,000","169,300","170,600","170,600","172,700","172,600","173,500","172,700","172,700","174,200","175,400","173,700","174,200","173,900","173,500","174,500","176,500","176,900","177,500","176,000","176,400","178,100","178,600","177,000","177,500","176,600","147,100","151,500","159,800","161,800","162,400","164,400","166,400","166,800","166,100",,,,,,,,,,,
9,2020,000061,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,400,300,300,400,400,300,300,300,300,300,400,400,300,300,300,400,400,400,400,300,300,300,400,400,300,300,300,300,400,400,300,300,300,300,400,400,400,400,400,400,400,400,400,400,400,400,500,500,300,300,300,300,400,400,300,300,300,300,300,400,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,400,400,300,300,300,400,400,400,400,400,400,400,400,400,400,300,300,400,400,400,400,400,400,400,400,400,400,400,300,400,400,400,400,400,400,400,300,300,,,,,,,,,,,
