"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Sacramento--Roseville--Arden-Arcade MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,"(El Dorado, Placer, Sacramento, and Yolo Counties)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,040900,,,1,00-000010,Civilian Labor Force,"1,053,400","1,054,400","1,056,400","1,051,400","1,048,300","1,050,100","1,058,300","1,052,900","1,049,700","1,044,900","1,046,600","1,042,300","1,042,800","1,043,700","1,044,700","1,036,200","1,037,100","1,042,400","1,044,300","1,046,200","1,048,100","1,047,800","1,045,900","1,044,600","1,041,100","1,047,500","1,048,500","1,041,400","1,043,200","1,052,200","1,052,100","1,046,100","1,045,500","1,045,800","1,042,700","1,041,900","1,051,400","1,049,700","1,046,800","1,037,800","1,040,500","1,046,300","1,049,000","1,041,700","1,042,700","1,035,000","1,038,500","1,033,700","1,038,400","1,041,400","1,045,000","1,032,500","1,038,900","1,046,600","1,049,000","1,043,400","1,042,600","1,046,800","1,047,600","1,038,500","1,049,200","1,049,100","1,051,400","1,046,300","1,051,200","1,055,600","1,060,100","1,053,800","1,050,600","1,054,400","1,056,400","1,057,600","1,062,700","1,068,600","1,071,300","1,060,500","1,062,200","1,070,700","1,078,200","1,073,800","1,072,700","1,069,000","1,067,400","1,065,000","1,071,100","1,072,900","1,075,400","1,068,000","1,068,700","1,075,000","1,083,100","1,076,700","1,080,000","1,075,400","1,075,500","1,074,600","1,078,600","1,085,200","1,085,300","1,079,000","1,083,000","1,089,700","1,098,600","1,090,500","1,092,700","1,092,000","1,092,700","1,093,300","1,100,300","1,103,600","1,103,800","1,088,300","1,090,400","1,093,900","1,105,100","1,101,300","1,101,800","1,102,800","1,099,300","1,095,000","1,099,800","1,104,300","1,102,100","1,070,500","1,068,200","1,087,600","1,091,400","1,079,700","1,077,500","1,100,300","1,083,700","1,089,100","1,086,900","1,098,900","1,089,500","1,077,500","1,082,100","1,093,400","1,102,700","1,098,900","1,097,800","1,101,600","1,102,600"
2,2020,040900,,,1,00-000020,  Civilian Employment,"914,400","916,400","918,400","921,000","921,800","918,200","922,600","919,900","920,400","916,300","912,400","911,000","906,900","911,100","913,600","912,800","915,300","912,300","914,300","919,800","925,400","927,200","928,900","928,200","921,000","927,900","930,500","933,200","935,700","938,200","936,600","936,800","943,800","944,000","943,800","941,900","944,800","949,300","950,400","949,200","952,600","951,000","954,000","951,300","956,400","948,200","954,700","953,400","953,100","956,300","960,000","960,000","967,100","971,100","969,800","967,800","973,200","977,800","978,800","973,800","977,900","981,100","984,900","985,400","990,700","991,800","994,900","992,900","993,900","996,600","998,900","1,001,700","1,002,600","1,009,400","1,010,500","1,005,600","1,011,800","1,011,900","1,018,200","1,016,000","1,017,300","1,013,700","1,014,500","1,012,100","1,012,200","1,016,000","1,021,100","1,019,600","1,023,600","1,024,000","1,030,400","1,025,900","1,035,100","1,032,300","1,032,400","1,032,800","1,031,800","1,039,600","1,040,600","1,040,200","1,048,000","1,046,200","1,055,300","1,048,700","1,055,000","1,053,100","1,053,600","1,052,400","1,051,700","1,059,400","1,058,400","1,051,400","1,055,400","1,052,400","1,061,400","1,060,100","1,066,200","1,065,500","1,061,300","1,057,500","1,056,200","1,063,200","1,054,700","916,500","921,900","956,000","969,600","972,300","979,500","1,012,600","1,011,300","1,005,900","1,004,700","1,020,300","1,015,400","1,006,700","1,014,900","1,018,200","1,028,800","1,028,200","1,037,100","1,043,000","1,051,100"
3,2020,040900,,,1,00-000030,  Civilian Unemployment,"139,000","137,900","138,100","130,300","126,600","131,800","135,700","133,000","129,400","128,600","134,100","131,300","135,900","132,600","131,100","123,400","121,800","130,100","130,000","126,400","122,700","120,600","117,000","116,400","120,100","119,600","118,100","108,100","107,500","114,000","115,500","109,300","101,600","101,800","98,900","100,000","106,600","100,400","96,500","88,500","87,900","95,400","95,000","90,400","86,300","86,800","83,800","80,300","85,200","85,100","85,000","72,500","71,800","75,500","79,200","75,600","69,400","69,000","68,700","64,700","71,300","68,000","66,500","60,900","60,400","63,800","65,200","60,900","56,700","57,800","57,500","55,900","60,100","59,200","60,800","54,900","50,500","58,800","59,900","57,900","55,400","55,300","52,900","52,900","58,900","56,900","54,400","48,400","45,100","51,000","52,700","50,800","44,800","43,100","43,100","41,800","46,800","45,600","44,700","38,900","35,000","43,500","43,300","41,800","37,700","38,900","39,100","40,900","48,600","44,300","45,400","36,900","35,000","41,500","43,600","41,200","35,500","37,400","38,000","37,500","43,600","41,100","47,300","154,000","146,300","131,600","121,800","107,400","98,000","87,800","72,400","83,200","82,200","78,600","74,100","70,800","67,200","75,300","74,000","70,700","60,800","58,600","51,500"
4,2020,040900,,,1,00-000040,Civilian Unemployment Rate,13.2%,13.1%,13.1%,12.4%,12.1%,12.6%,12.8%,12.6%,12.3%,12.3%,12.8%,12.6%,13.0%,12.7%,12.5%,11.9%,11.7%,12.5%,12.4%,12.1%,11.7%,11.5%,11.2%,11.1%,11.5%,11.4%,11.3%,10.4%,10.3%,10.8%,11.0%,10.4%,9.7%,9.7%,9.5%,9.6%,10.1%,9.6%,9.2%,8.5%,8.4%,9.1%,9.1%,8.7%,8.3%,8.4%,8.1%,7.8%,8.2%,8.2%,8.1%,7.0%,6.9%,7.2%,7.6%,7.2%,6.7%,6.6%,6.6%,6.2%,6.8%,6.5%,6.3%,5.8%,5.7%,6.0%,6.1%,5.8%,5.4%,5.5%,5.4%,5.3%,5.7%,5.5%,5.7%,5.2%,4.8%,5.5%,5.6%,5.4%,5.2%,5.2%,5.0%,5.0%,5.5%,5.3%,5.1%,4.5%,4.2%,4.7%,4.9%,4.7%,4.2%,4.0%,4.0%,3.9%,4.3%,4.2%,4.1%,3.6%,3.2%,4.0%,3.9%,3.8%,3.4%,3.6%,3.6%,3.7%,4.4%,4.0%,4.1%,3.4%,3.2%,3.8%,3.9%,3.7%,3.2%,3.4%,3.5%,3.4%,4.0%,3.7%,4.3%,14.4%,13.7%,12.1%,11.2%,9.9%,9.1%,8.0%,6.7%,7.6%,7.6%,7.1%,6.8%,6.6%,6.2%,6.9%,6.7%,6.4%,5.5%,5.3%,4.7%
8,2020,040900,"110000-813000, 920000",,1,01-000000,"Total, All Industries","834,100","834,000","837,400","842,400","849,700","851,500","838,800","836,400","837,300","842,200","841,400","838,700","827,100","830,800","832,200","836,700","839,600","841,100","832,600","837,700","841,600","845,500","847,900","845,300","833,800","839,600","843,800","854,300","861,500","870,000","856,200","859,400","859,400","863,800","869,300","866,900","862,100","868,700","873,200","875,800","881,000","884,800","875,800","880,000","881,200","886,000","892,600","891,500","880,300","883,900","889,000","895,500","902,200","909,100","896,900","901,800","902,700","909,500","914,600","911,200","905,100","907,600","914,700","920,500","925,500","931,900","929,900","932,100","931,900","942,300","946,800","949,100","938,400","945,300","946,100","956,700","960,500","965,500","965,000","967,400","966,100","970,300","973,900","973,600","957,000","961,800","969,500","976,300","983,300","991,400","983,700","986,100","987,300","995,300","997,500","1,000,700","986,900","993,400","995,400","1,002,800","1,009,800","1,016,800","1,010,200","1,016,100","1,014,600","1,021,500","1,025,100","1,026,300","1,011,100","1,015,900","1,020,200","1,024,200","1,031,100","1,035,500","1,030,900","1,038,700","1,034,500","1,044,000","1,047,700","1,043,200","1,032,900","1,039,000","1,035,000","907,100","923,300","956,600","959,800","962,600","970,200","985,600","987,300","981,800","965,600","974,000","980,400","988,500","992,300","1,003,000","996,600","1,005,000","1,005,800","1,016,900","1,020,300"
9,2020,040900,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"6,100","6,600","6,900","7,500","9,300","9,500","9,700","9,800","9,300","8,600","6,900","6,400","6,200","7,400","7,200","7,900","9,100","9,200","9,300","9,800","9,500","8,800","7,100","6,900","6,800","7,100","7,400","7,600","9,600","10,200","10,300","10,200","10,000","8,800","7,700","7,700","6,700","7,300","8,100","8,600","10,000","10,500","11,200","10,400","9,500","9,100","7,700","7,700","7,300","7,500","8,100","9,400","10,500","10,700","11,400","10,400","9,800","9,600","8,000","7,600","7,700","8,000","9,000","9,700","10,000","10,400","10,800","10,600","9,800","9,400","8,400","8,500","7,700","8,300","8,400","9,900","10,100","11,300","12,800","11,800","11,000","9,900","8,200","7,000","6,900","7,300","8,600","9,700","10,400","11,600","12,300","12,200","11,400","10,400","8,300","8,200","6,900","7,800","7,900","9,200","10,000","10,300","10,800","11,300","10,200","9,500","7,900","7,700","6,800","7,100","7,400","8,700","9,500","10,000","10,600","10,900","10,000","9,400","7,400","7,100","6,500","6,900","7,600","7,800","9,000","8,900","9,900","9,900","9,300","9,000","7,400","7,100","6,500","6,800","7,500","8,800","9,600","9,900","10,500","10,500","10,100","9,700","7,700"
