"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,San Mateo County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000081,,,1,00-000010,Civilian Labor Force,"390,300","391,100","392,500","393,900","391,600","391,200","397,100","395,400","394,900","392,900","391,700","391,800","392,300","393,600","394,200","394,300","395,500","395,400","400,900","401,600","404,300","404,700","404,700","405,300","402,000","406,100","407,200","406,800","408,400","409,400","415,000","413,300","415,600","415,800","415,000","416,200","413,000","414,600","414,300","412,800","414,600","415,400","420,100","418,100","419,200","416,100","419,300","419,400","418,100","422,100","423,500","419,300","422,100","422,900","429,600","428,500","429,800","431,900","431,500","431,000","428,600","430,500","431,700","429,500","432,300","432,000","437,800","437,400","437,000","437,600","437,800","438,500","437,100","440,600","442,300","437,700","438,200","439,900","445,700","444,600","445,100","444,000","443,700","442,600","443,100","445,900","445,900","441,900","441,600","442,700","449,100","446,700","448,800","445,500","446,300","445,100","441,700","445,900","446,900","444,100","445,300","447,200","453,100","450,400","452,100","453,100","453,900","453,900","452,300","456,000","456,100","451,700","451,900","453,300","460,600","458,800","460,100","459,100","458,200","457,700","457,000","459,400","455,100","427,500","425,100","430,000","428,600","424,600","421,200","429,600","424,000","424,400","420,900","426,900","426,100","423,400","426,900","432,000","440,700","437,800","439,600","442,300","445,000"
2,2020,000081,,,1,00-000020,  Civilian Employment,"354,700","356,500","357,000","360,300","359,300","357,300","362,400","361,300","361,900","360,600","358,800","361,000","360,200","362,400","363,000","364,600","366,100","363,500","368,900","370,300","373,700","374,600","375,700","377,400","373,300","377,200","378,600","380,700","381,900","381,000","386,200","385,900","390,500","390,700","390,700","392,500","387,800","390,900","391,400","391,800","393,500","391,800","396,300","395,700","397,600","394,600","398,800","400,500","398,100","401,800","403,300","402,500","404,900","404,500","409,800","409,500","412,500","414,800","414,800","416,000","411,800","414,600","416,000","415,000","417,900","416,500","421,700","422,500","423,100","423,400","424,000","425,400","423,200","426,800","428,200","424,700","426,400","425,700","431,000","430,300","431,500","430,300","431,000","430,400","429,200","432,600","433,200","430,400","430,400","429,500","435,300","433,400","437,200","434,400","435,600","434,900","430,400","435,000","436,400","434,800","436,700","436,200","442,300","439,800","442,400","443,300","444,300","444,200","441,000","446,000","445,700","443,400","443,700","443,300","450,000","448,800","451,500","450,000","449,000","449,000","446,900","449,800","443,700","377,200","377,300","385,000","388,300","389,400","389,100","401,400","401,600","399,700","397,000","404,500","405,100","403,000","407,400","410,200","419,500","417,600","422,800","426,400","431,300"
3,2020,000081,,,1,00-000030,  Civilian Unemployment,"35,600","34,700","35,500","33,600","32,300","33,900","34,700","34,100","33,000","32,300","32,900","30,800","32,100","31,100","31,200","29,700","29,400","31,900","32,000","31,400","30,600","30,000","29,000","27,900","28,700","28,800","28,600","26,100","26,400","28,400","28,800","27,400","25,100","25,100","24,300","23,700","25,100","23,700","22,900","21,000","21,200","23,700","23,800","22,500","21,500","21,500","20,400","18,900","20,000","20,400","20,300","16,900","17,200","18,400","19,900","18,900","17,400","17,100","16,800","15,000","16,800","15,900","15,700","14,500","14,500","15,500","16,100","14,900","13,900","14,200","13,900","13,100","13,800","13,800","14,100","13,000","11,900","14,200","14,700","14,300","13,600","13,700","12,700","12,200","13,900","13,200","12,700","11,500","11,200","13,100","13,800","13,300","11,600","11,100","10,800","10,100","11,300","10,900","10,500","9,300","8,600","11,000","10,900","10,600","9,600","9,800","9,600","9,700","11,300","10,000","10,400","8,400","8,200","10,000","10,600","10,000","8,600","9,100","9,200","8,700","10,000","9,600","11,500","50,200","47,800","45,000","40,200","35,200","32,100","28,200","22,400","24,700","23,900","22,300","21,000","20,500","19,400","21,800","21,200","20,200","16,800","15,900","13,600"
4,2020,000081,,,1,00-000040,Civilian Unemployment Rate,9.1%,8.9%,9.1%,8.5%,8.3%,8.7%,8.7%,8.6%,8.3%,8.2%,8.4%,7.9%,8.2%,7.9%,7.9%,7.5%,7.4%,8.1%,8.0%,7.8%,7.6%,7.4%,7.2%,6.9%,7.1%,7.1%,7.0%,6.4%,6.5%,6.9%,6.9%,6.6%,6.0%,6.0%,5.8%,5.7%,6.1%,5.7%,5.5%,5.1%,5.1%,5.7%,5.7%,5.4%,5.1%,5.2%,4.9%,4.5%,4.8%,4.8%,4.8%,4.0%,4.1%,4.4%,4.6%,4.4%,4.0%,4.0%,3.9%,3.5%,3.9%,3.7%,3.6%,3.4%,3.4%,3.6%,3.7%,3.4%,3.2%,3.3%,3.2%,3.0%,3.2%,3.1%,3.2%,3.0%,2.7%,3.2%,3.3%,3.2%,3.1%,3.1%,2.9%,2.8%,3.1%,3.0%,2.8%,2.6%,2.5%,3.0%,3.1%,3.0%,2.6%,2.5%,2.4%,2.3%,2.6%,2.4%,2.3%,2.1%,1.9%,2.5%,2.4%,2.4%,2.1%,2.2%,2.1%,2.1%,2.5%,2.2%,2.3%,1.9%,1.8%,2.2%,2.3%,2.2%,1.9%,2.0%,2.0%,1.9%,2.2%,2.1%,2.5%,11.8%,11.3%,10.5%,9.4%,8.3%,7.6%,6.6%,5.3%,5.8%,5.7%,5.2%,4.9%,4.8%,4.6%,5.0%,4.8%,4.6%,3.8%,3.6%,3.1%
8,2020,000081,"110000-813000, 920000",,1,01-000000,"Total, All Industries","313,400","313,400","314,000","317,900","318,900","320,900","317,700","317,200","317,200","319,000","320,600","321,900","319,700","321,900","321,200","323,600","324,600","325,200","326,600","325,600","327,400","330,000","331,900","333,400","330,500","332,200","332,900","334,000","337,300","340,400","340,500","340,400","341,400","343,900","346,800","347,900","343,600","346,300","347,600","348,700","350,800","353,300","354,100","355,900","356,400","358,400","363,100","363,900","359,500","360,900","362,700","364,400","366,800","369,400","370,400","373,400","373,000","375,300","379,100","382,400","370,100","371,300","371,700","372,400","373,800","376,200","378,400","379,400","378,900","381,400","383,800","385,100","382,900","384,800","384,200","387,900","388,000","391,300","394,400","396,500","396,400","399,100","400,500","401,800","387,200","388,400","390,500","391,100","391,000","394,500","394,400","394,200","393,300","397,200","399,300","400,500","395,000","396,500","398,300","399,600","400,300","405,100","405,400","407,700","404,900","408,900","411,900","412,000","405,400","407,900","409,000","412,100","413,200","418,100","420,100","421,800","420,400","421,800","424,600","424,500","418,600","421,300","417,300","356,700","362,700","372,800","371,600","372,400","372,300","376,800","374,900","370,400",,,,,,,,,,,
9,2020,000081,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"1,700","1,700","1,700","1,800","1,800","1,800","1,800","1,800","1,600","1,700","1,700","1,700","1,500","1,500","1,500","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,400","1,500","1,500","1,600","1,600","1,600","1,700","1,600","1,700","1,700","1,700","1,700","1,600","1,600","1,600","1,600","1,700","1,600","1,700","1,700","1,700","1,700","1,700","1,800","1,600","1,600","1,600","1,700","1,700","1,700","1,800","1,800","1,800","1,900","2,100","2,000","1,700","1,700","1,700","1,700","1,700","1,700","1,800","1,800","1,800","1,800","1,900","1,900","1,700","1,800","1,800","1,700","1,700","1,800","1,800","1,800","1,800","1,900","1,800","1,800","1,700","1,700","1,700","1,600","1,700","1,600","1,600","1,700","1,600","1,700","1,800","1,700","1,500","1,500","1,500","1,400","1,400","1,400","1,400","1,300","1,400","1,500","1,500","1,500","1,400","1,400","1,300","1,300","1,400","1,400","1,400","1,400","1,300","1,400","1,300","1,200","1,400","1,300","1,300","1,200","1,300","1,400","1,400","1,400","1,400","1,500","1,500","1,300",,,,,,,,,,,
