"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Santa Clara County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000085,,,1,00-000010,Civilian Labor Force,"922,200","923,300","926,000","925,900","922,100","922,900","929,900","930,000","929,600","929,500","931,900","929,100","927,100","930,100","933,400","927,100","928,800","936,100","938,100","940,400","946,300","949,600","948,000","949,700","944,100","950,300","953,600","946,800","948,200","955,500","959,500","957,600","962,100","966,600","962,800","964,600","963,700","965,700","964,500","960,000","963,300","969,600","971,700","970,300","975,000","968,500","973,200","972,200","974,100","980,800","984,200","974,200","980,600","986,200","992,300","991,600","994,300","999,900","998,400","994,800","1,002,100","1,005,500","1,005,100","1,004,100","1,010,300","1,014,700","1,018,500","1,016,200","1,014,800","1,019,500","1,018,100","1,017,600","1,020,200","1,025,600","1,027,400","1,020,200","1,023,400","1,031,000","1,035,700","1,032,300","1,031,700","1,030,200","1,030,000","1,027,300","1,033,600","1,036,900","1,038,300","1,030,900","1,031,900","1,038,500","1,050,600","1,043,000","1,043,000","1,036,700","1,038,000","1,034,800","1,030,500","1,039,000","1,039,400","1,033,300","1,037,600","1,045,700","1,054,500","1,043,600","1,044,600","1,046,600","1,048,300","1,046,400","1,045,900","1,051,800","1,051,600","1,036,400","1,038,100","1,042,700","1,055,300","1,050,400","1,050,200","1,052,500","1,052,000","1,051,700","1,050,100","1,055,200","1,046,300","1,007,200","1,006,200","1,017,300","1,017,500","1,009,000","1,000,200","1,019,000","1,009,900","1,010,500","1,004,000","1,019,200","1,011,200","1,002,900","1,008,200","1,014,100","1,028,300","1,024,200","1,027,100","1,034,600","1,037,100"
2,2020,000085,,,1,00-000020,  Civilian Employment,"816,500","819,500","821,500","826,100","826,000","823,800","829,300","830,500","833,600","835,400","835,900","837,900","832,700","837,900","842,000","840,100","842,700","844,000","846,200","850,200","857,700","862,800","864,200","868,500","861,300","868,100","872,200","872,200","872,800","874,900","877,900","879,600","890,200","894,600","893,300","896,300","891,000","896,800","897,800","898,700","902,300","902,500","904,900","906,500","914,000","908,000","915,700","918,400","917,500","923,700","927,100","925,700","931,100","933,600","936,500","938,200","945,200","951,600","951,000","952,000","954,300","960,300","960,700","963,000","969,200","971,100","973,600","973,900","975,500","979,200","978,500","980,100","980,700","985,800","986,700","982,300","988,700","990,200","993,800","991,300","992,400","991,100","993,500","992,200","994,600","999,500","1,002,500","998,600","1,000,700","1,002,800","1,013,600","1,007,200","1,011,600","1,006,600","1,008,200","1,006,700","999,400","1,008,900","1,010,300","1,007,500","1,014,100","1,015,900","1,025,200","1,015,100","1,018,600","1,020,000","1,022,300","1,020,100","1,015,100","1,024,100","1,022,700","1,012,900","1,015,200","1,014,800","1,026,100","1,022,300","1,025,700","1,026,800","1,026,100","1,027,200","1,022,000","1,028,300","1,014,900","884,600","892,600","912,500","922,700","927,000","926,100","953,500","957,200","950,900","947,000","965,100","960,100","953,500","961,200","961,700","977,500","975,500","986,900","996,400","1,004,200"
3,2020,000085,,,1,00-000030,  Civilian Unemployment,"105,600","103,800","104,500","99,800","96,100","99,100","100,600","99,500","96,000","94,100","96,000","91,300","94,400","92,200","91,400","86,900","86,100","92,100","91,900","90,200","88,600","86,800","83,800","81,200","82,800","82,200","81,400","74,600","75,300","80,600","81,700","77,900","71,900","72,000","69,500","68,300","72,600","69,000","66,700","61,300","61,100","67,100","66,800","63,800","61,000","60,500","57,600","53,800","56,500","57,100","57,100","48,600","49,500","52,600","55,800","53,400","49,100","48,300","47,400","42,800","47,800","45,200","44,500","41,100","41,100","43,600","45,000","42,300","39,300","40,300","39,500","37,500","39,500","39,800","40,700","37,900","34,700","40,900","41,900","41,100","39,300","39,200","36,500","35,000","39,100","37,400","35,800","32,300","31,100","35,800","37,000","35,800","31,500","30,100","29,800","28,100","31,000","30,200","29,100","25,800","23,500","29,900","29,300","28,500","26,000","26,600","26,000","26,300","30,800","27,700","28,900","23,400","22,900","28,000","29,200","28,000","24,500","25,700","25,900","24,600","28,100","26,800","31,400","122,500","113,600","104,800","94,800","82,000","74,100","65,500","52,700","59,600","57,000","54,200","51,100","49,400","47,000","52,400","50,800","48,600","40,200","38,200","32,900"
4,2020,000085,,,1,00-000040,Civilian Unemployment Rate,11.5%,11.2%,11.3%,10.8%,10.4%,10.7%,10.8%,10.7%,10.3%,10.1%,10.3%,9.8%,10.2%,9.9%,9.8%,9.4%,9.3%,9.8%,9.8%,9.6%,9.4%,9.1%,8.8%,8.6%,8.8%,8.6%,8.5%,7.9%,7.9%,8.4%,8.5%,8.1%,7.5%,7.4%,7.2%,7.1%,7.5%,7.1%,6.9%,6.4%,6.3%,6.9%,6.9%,6.6%,6.3%,6.2%,5.9%,5.5%,5.8%,5.8%,5.8%,5.0%,5.0%,5.3%,5.6%,5.4%,4.9%,4.8%,4.7%,4.3%,4.8%,4.5%,4.4%,4.1%,4.1%,4.3%,4.4%,4.2%,3.9%,4.0%,3.9%,3.7%,3.9%,3.9%,4.0%,3.7%,3.4%,4.0%,4.0%,4.0%,3.8%,3.8%,3.5%,3.4%,3.8%,3.6%,3.5%,3.1%,3.0%,3.4%,3.5%,3.4%,3.0%,2.9%,2.9%,2.7%,3.0%,2.9%,2.8%,2.5%,2.3%,2.9%,2.8%,2.7%,2.5%,2.5%,2.5%,2.5%,2.9%,2.6%,2.7%,2.3%,2.2%,2.7%,2.8%,2.7%,2.3%,2.4%,2.5%,2.3%,2.7%,2.5%,3.0%,12.2%,11.3%,10.3%,9.3%,8.1%,7.4%,6.4%,5.2%,5.9%,5.7%,5.3%,5.1%,4.9%,4.7%,5.2%,4.9%,4.7%,3.9%,3.7%,3.2%
8,2020,000085,,,1,01-000000,"Total, All Industries","845,000","846,300","850,200","857,200","864,100","866,100","855,100","855,000","859,400","870,900","875,800","878,000","864,400","869,400","872,900","875,500","878,800","884,200","875,400","878,100","883,800","893,200","897,200","900,200","887,500","893,800","899,600","908,400","913,700","921,900","911,000","916,300","920,000","930,400","935,700","939,100","924,800","933,600","938,000","942,800","948,600","954,100","943,100","951,800","955,400","964,700","974,000","977,300","965,800","973,400","978,500","983,700","988,900","994,700","985,300","993,500","996,900","1,006,600","1,011,200","1,013,300","1,002,100","1,007,000","1,011,400","1,018,700","1,025,800","1,033,100","1,030,200","1,035,600","1,035,300","1,048,300","1,049,400","1,049,400","1,037,200","1,043,300","1,044,100","1,053,900","1,058,600","1,063,100","1,063,900","1,066,700","1,064,200","1,072,200","1,079,700","1,080,600","1,070,000","1,076,800","1,082,800","1,086,500","1,091,900","1,101,300","1,097,300","1,098,200","1,094,300","1,104,100","1,110,100","1,110,800","1,090,900","1,100,000","1,103,000","1,106,300","1,112,500","1,123,100","1,117,000","1,119,200","1,114,600","1,127,400","1,134,200","1,134,100","1,117,500","1,123,600","1,128,500","1,126,900","1,132,500","1,140,100","1,138,500","1,143,500","1,136,200","1,150,300","1,158,400","1,159,000","1,143,500","1,149,500","1,138,200","999,800","1,020,600","1,040,900","1,041,300","1,046,600","1,045,600","1,058,000","1,065,400","1,058,100",,,,,,,,,,,
9,2020,000085,,,1,11-000000,  Total Farm,"3,000","3,000","3,000","3,100","3,200","3,500","4,000","4,000","4,200","4,400","3,700","3,200","3,200","3,200","3,100","3,100","3,200","3,300","3,900","3,800","3,800","3,800","3,500","3,100","2,900","3,000","3,000","3,100","3,200","3,400","3,600","3,800","3,800","3,800","3,200","3,000","2,900","2,900","3,100","3,200","3,300","3,400","3,600","3,700","3,800","3,700","3,400","3,100","3,000","3,200","3,300","3,300","3,400","3,700","3,800","4,000","3,800","3,900","3,700","3,200","3,200","3,200","3,400","3,600","3,800","3,900","4,100","4,200","4,200","4,100","3,400","3,100","3,000","3,200","3,400","4,000","4,200","4,500","4,400","4,400","4,400","4,400","3,800","3,400","3,100","3,200","3,400","3,500","3,600","3,700","3,800","3,800","3,800","3,900","3,800","3,400","3,200","3,300","3,300","3,500","3,500","3,800","3,700","3,500","3,600","3,800","3,600","3,400","2,900","2,900","3,000","3,100","3,200","3,300","3,400","3,400","3,500","3,700","3,500","3,300","3,000","3,100","3,000","2,700","3,000","2,900","3,100","3,100","3,000","3,100","2,700","2,200",,,,,,,,,,,
