"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,San Jose Sunnyvale Santa Clara MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(San Benito and  Santa Clara Counties),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,041940,,,1,00-000010,Civilian Labor Force,"949,900","951,300","954,200","953,700","949,900","950,700","958,200","958,200","957,500","957,400","959,900","957,100","955,000","958,200","961,700","955,200","956,900","964,400","966,500","968,800","974,700","978,100","976,100","978,000","972,500","978,900","982,200","975,600","976,800","984,200","988,300","986,200","990,800","995,600","991,100","993,200","992,400","994,600","993,400","988,800","991,900","998,300","1,001,000","999,400","1,004,000","997,300","1,001,700","1,000,700","1,002,900","1,009,800","1,013,500","1,003,400","1,009,800","1,015,300","1,021,600","1,020,700","1,023,300","1,029,200","1,027,500","1,023,800","1,031,700","1,035,200","1,034,900","1,033,800","1,040,200","1,044,600","1,048,500","1,046,000","1,044,500","1,049,400","1,047,800","1,047,300","1,050,500","1,056,000","1,058,100","1,050,600","1,053,800","1,061,700","1,066,300","1,062,800","1,062,100","1,060,700","1,060,300","1,057,400","1,063,800","1,067,300","1,068,900","1,061,500","1,062,500","1,069,400","1,081,800","1,073,900","1,073,700","1,067,300","1,068,500","1,065,200","1,061,300","1,070,300","1,070,700","1,064,400","1,068,700","1,077,100","1,086,200","1,074,700","1,075,700","1,077,800","1,079,500","1,077,600","1,078,100","1,084,300","1,084,100","1,068,400","1,070,000","1,074,800","1,087,900","1,082,500","1,082,300","1,085,000","1,084,400","1,084,000","1,082,400","1,087,700","1,078,800","1,039,800","1,037,700","1,048,700","1,048,800","1,039,800","1,030,700","1,050,200","1,040,600","1,041,200","1,034,900","1,050,700","1,042,400","1,033,900","1,039,300","1,045,500","1,060,100","1,055,700","1,058,500","1,066,300","1,068,700"
2,2020,041940,,,1,00-000020,  Civilian Employment,"839,500","842,500","844,700","849,400","849,500","847,400","853,500","854,700","857,700","859,600","859,700","861,400","855,900","861,300","865,600","864,000","866,700","868,000","870,500","874,700","882,400","887,600","888,500","892,700","885,300","892,200","896,500","897,000","897,600","899,700","902,900","904,700","915,600","920,300","918,300","921,300","915,800","921,900","923,000","924,100","927,600","928,000","931,000","932,600","940,200","934,100","941,300","944,000","943,000","949,300","953,000","952,000","957,600","960,000","963,100","964,800","972,000","978,500","977,700","978,500","981,100","987,300","987,800","990,200","996,800","998,700","1,001,400","1,001,800","1,003,300","1,007,200","1,006,200","1,007,700","1,008,500","1,013,800","1,014,900","1,010,500","1,017,200","1,018,800","1,022,500","1,019,900","1,021,000","1,019,800","1,022,000","1,020,400","1,022,500","1,027,600","1,030,800","1,027,300","1,029,600","1,031,800","1,043,100","1,036,400","1,040,900","1,035,800","1,037,200","1,035,400","1,028,400","1,038,200","1,039,600","1,037,000","1,043,800","1,045,600","1,055,300","1,044,800","1,048,500","1,049,900","1,052,100","1,049,600","1,045,300","1,054,500","1,053,100","1,043,400","1,045,700","1,045,300","1,057,000","1,053,100","1,056,500","1,057,900","1,057,100","1,057,700","1,052,300","1,059,000","1,045,100","911,200","919,400","939,900","950,500","954,900","953,900","982,300","985,800","979,000","975,100","993,800","988,800","982,100","990,100","990,700","1,007,000","1,004,900","1,016,500","1,026,300","1,034,200"
3,2020,041940,,,1,00-000030,  Civilian Unemployment,"110,400","108,800","109,400","104,200","100,400","103,300","104,800","103,500","99,800","97,800","100,100","95,700","99,100","97,000","96,100","91,200","90,200","96,400","96,000","94,100","92,300","90,400","87,600","85,300","87,200","86,700","85,700","78,600","79,200","84,500","85,400","81,400","75,100","75,300","72,900","71,900","76,600","72,800","70,400","64,700","64,300","70,400","70,000","66,800","63,800","63,300","60,500","56,700","59,800","60,400","60,500","51,500","52,200","55,200","58,500","55,900","51,400","50,600","49,900","45,300","50,600","47,900","47,100","43,500","43,400","45,800","47,100","44,300","41,100","42,200","41,600","39,600","42,000","42,200","43,200","40,100","36,600","42,900","43,800","42,900","41,000","40,900","38,300","37,000","41,300","39,700","38,100","34,200","32,800","37,500","38,700","37,400","32,900","31,500","31,300","29,800","32,900","32,100","31,100","27,500","25,000","31,500","30,900","29,900","27,200","27,900","27,400","27,900","32,900","29,700","31,000","25,100","24,300","29,500","30,800","29,500","25,700","27,100","27,400","26,200","30,100","28,800","33,700","128,700","118,300","108,800","98,300","85,000","76,800","68,000","54,900","62,200","59,800","56,900","53,700","51,800","49,200","54,800","53,000","50,800","42,000","40,000","34,600"
4,2020,041940,,,1,00-000040,Civilian Unemployment Rate,11.6%,11.4%,11.5%,10.9%,10.6%,10.9%,10.9%,10.8%,10.4%,10.2%,10.4%,10.0%,10.4%,10.1%,10.0%,9.5%,9.4%,10.0%,9.9%,9.7%,9.5%,9.2%,9.0%,8.7%,9.0%,8.9%,8.7%,8.1%,8.1%,8.6%,8.6%,8.3%,7.6%,7.6%,7.4%,7.2%,7.7%,7.3%,7.1%,6.5%,6.5%,7.0%,7.0%,6.7%,6.4%,6.3%,6.0%,5.7%,6.0%,6.0%,6.0%,5.1%,5.2%,5.4%,5.7%,5.5%,5.0%,4.9%,4.9%,4.4%,4.9%,4.6%,4.6%,4.2%,4.2%,4.4%,4.5%,4.2%,3.9%,4.0%,4.0%,3.8%,4.0%,4.0%,4.1%,3.8%,3.5%,4.0%,4.1%,4.0%,3.9%,3.9%,3.6%,3.5%,3.9%,3.7%,3.6%,3.2%,3.1%,3.5%,3.6%,3.5%,3.1%,3.0%,2.9%,2.8%,3.1%,3.0%,2.9%,2.6%,2.3%,2.9%,2.8%,2.8%,2.5%,2.6%,2.5%,2.6%,3.0%,2.7%,2.9%,2.3%,2.3%,2.7%,2.8%,2.7%,2.4%,2.5%,2.5%,2.4%,2.8%,2.6%,3.1%,12.4%,11.4%,10.4%,9.4%,8.2%,7.5%,6.5%,5.3%,6.0%,5.8%,5.4%,5.1%,5.0%,4.7%,5.2%,5.0%,4.8%,4.0%,3.8%,3.2%
8,2020,041940,,,1,01-000000,"Total, All Industries","863,600","865,100","869,500","877,000","884,000","886,600","876,000","876,900","880,800","892,300","895,400","896,600","882,500","888,000","891,600","895,800","899,200","905,200","896,400","900,300","906,500","915,300","917,000","919,500","906,400","912,700","919,600","928,900","935,000","943,600","933,500","939,300","943,200","953,300","957,600","960,000","945,800","954,300","959,500","964,900","971,000","977,000","967,300","976,800","980,800","988,000","996,700","999,700","987,900","995,700","1,001,100","1,007,200","1,013,100","1,019,300","1,010,200","1,019,700","1,023,000","1,030,700","1,034,800","1,036,700","1,025,600","1,030,700","1,035,500","1,043,500","1,050,900","1,058,600","1,055,600","1,061,400","1,061,300","1,074,900","1,075,800","1,076,100","1,065,500","1,071,800","1,072,800","1,084,800","1,089,600","1,096,300","1,092,100","1,095,000","1,092,600","1,101,200","1,106,200","1,106,600","1,088,800","1,095,800","1,102,400","1,106,500","1,112,600","1,122,100","1,118,200","1,119,200","1,115,500","1,124,900","1,130,600","1,130,800","1,108,500","1,118,300","1,121,400","1,125,600","1,132,000","1,142,700","1,136,600","1,139,000","1,134,700","1,147,500","1,152,800","1,152,300","1,133,700","1,140,000","1,144,900","1,144,500","1,150,300","1,158,000","1,156,700","1,162,100","1,154,900","1,168,400","1,176,600","1,175,900","1,159,700","1,166,000","1,154,700","1,014,800","1,036,200","1,057,700","1,058,300","1,063,800","1,062,700","1,075,300","1,082,300","1,074,600","1,053,900","1,067,200","1,074,200","1,084,800","1,089,100","1,097,400","1,097,800","1,104,900","1,109,900","1,127,200","1,130,300"
9,2020,041940,,,1,11-000000,  Total Farm,"4,100","4,100","4,300","4,400","4,700","5,300","6,200","6,300","6,200","6,600","5,300","4,400","4,200","4,300","4,300","4,700","4,800","5,000","5,900","5,800","5,900","5,900","5,000","4,300","4,000","4,000","4,100","4,800","4,800","5,100","5,500","5,700","5,800","5,900","4,500","4,100","4,000","4,200","4,500","4,800","4,800","5,000","5,900","6,000","6,000","5,900","4,800","4,300","4,300","4,500","4,800","5,300","5,400","5,700","6,000","6,200","6,000","5,900","5,200","4,400","4,400","4,500","4,900","5,300","5,600","6,000","6,300","6,500","6,400","6,300","5,300","4,800","4,600","4,900","5,300","6,100","6,300","6,900","6,700","6,800","6,800","7,100","6,200","5,000","4,500","4,700","5,100","5,800","6,100","6,400","6,700","6,600","6,500","6,700","5,900","4,800","4,600","5,100","5,000","6,000","6,100","6,400","6,500","6,200","6,300","6,600","5,800","4,900","4,400","4,500","4,700","5,600","5,700","6,000","6,300","6,200","6,200","6,600","6,300","5,000","4,500","4,800","4,900","4,900","5,200","5,400","5,800","5,700","5,600","5,800","5,000","4,100","4,100","4,400","4,800","5,400","5,600","5,900","6,100","5,800","5,600","5,600","5,000"
