"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Stockton Lodi MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(San Joaquin County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,044700,,,1,00-000010,Civilian Labor Force,"311,400","312,400","312,700","309,900","316,000","320,300","311,100","311,400","311,900","310,800","310,100","307,400","307,900","308,300","308,600","306,100","313,500","316,700","310,900","312,200","314,000","314,200","310,600","311,000","309,100","311,200","311,600","306,700","312,800","319,300","310,200","311,000","311,700","314,700","308,900","309,400","310,200","310,200","310,400","309,300","319,000","315,000","314,300","314,700","313,900","311,700","309,100","308,000","309,700","311,700","313,100","308,900","313,200","311,400","312,700","313,600","313,000","312,800","310,100","308,400","311,200","312,600","312,800","312,300","318,700","315,100","315,400","315,500","316,500","315,000","313,900","313,600","314,600","317,300","319,500","314,800","319,300","315,900","318,400","319,000","320,800","321,000","319,200","319,800","319,800","321,900","322,600","321,300","326,600","321,700","324,100","326,000","326,600","322,600","322,500","322,400","321,700","325,200","324,500","321,200","325,400","323,500","324,500","324,500","326,400","325,200","323,800","324,300","326,700","327,100","326,900","322,200","327,000","325,900","326,000","326,800","326,600","328,400","327,500","327,100","329,400","330,900","330,500","329,500","334,800","333,900","331,600","331,300","331,000","335,500","330,700","332,700","329,800","334,200","333,400","328,200","333,900","332,600","332,400","334,200","333,600","332,300","330,100"
2,2020,044700,,,1,00-000020,  Civilian Employment,"256,300","256,200","257,000","256,600","266,100","268,700","257,900","260,300","262,300","260,800","256,700","253,100","251,600","252,800","253,800","254,800","264,500","264,900","258,700","262,400","265,700","266,200","262,800","261,500","258,100","260,300","261,500","260,600","268,200","272,900","263,600","267,300","271,200","273,900","268,000","266,400","264,300","266,600","268,500","270,300","282,100","275,200","275,400","277,400","278,600","276,000","272,900","272,000","271,100","273,100","274,400","275,400","281,100","278,400","279,100","282,100","283,900","283,800","279,500","278,200","278,300","280,600","281,400","284,000","291,500","286,500","287,200","289,500","292,100","289,800","287,300","287,000","285,500","288,600","290,000","288,600","295,900","289,600","292,400","294,500","297,100","297,100","294,700","294,400","292,100","294,500","295,900","298,000","305,800","299,100","301,200","304,300","307,100","303,600","302,100","301,300","298,300","301,900","301,400","301,400","308,000","303,300","304,500","305,900","309,700","307,800","305,300","303,700","303,000","304,800","304,200","303,300","309,900","306,600","305,800","308,000","310,100","310,900","308,900","307,400","307,100","309,500","305,700","270,700","281,900","285,400","285,700","290,900","293,600","301,500","302,000","299,400","296,800","302,300","303,000","299,000","306,300","302,100","302,400","305,800","308,700","308,100","308,500"
3,2020,044700,,,1,00-000030,  Civilian Unemployment,"55,000","56,200","55,700","53,300","49,900","51,600","53,100","51,100","49,600","50,000","53,400","54,300","56,300","55,500","54,900","51,300","49,000","51,800","52,100","49,800","48,300","48,100","47,900","49,500","51,000","50,900","50,100","46,100","44,600","46,400","46,700","43,700","40,500","40,800","41,000","43,000","45,900","43,600","42,000","39,000","36,900","39,800","38,900","37,300","35,300","35,700","36,200","36,000","38,600","38,500","38,700","33,500","32,000","33,100","33,500","31,500","29,100","29,100","30,600","30,200","33,000","32,000","31,400","28,300","27,200","28,500","28,200","26,000","24,400","25,200","26,600","26,600","29,100","28,700","29,500","26,300","23,300","26,300","26,000","24,500","23,800","23,900","24,500","25,400","27,700","27,500","26,800","23,300","20,800","22,600","22,900","21,700","19,500","19,100","20,300","21,000","23,300","23,300","23,100","19,800","17,400","20,200","20,000","18,600","16,800","17,400","18,600","20,600","23,700","22,400","22,700","18,900","17,100","19,300","20,200","18,800","16,500","17,500","18,600","19,600","22,300","21,400","24,700","58,800","52,900","48,500","45,900","40,400","37,400","34,100","28,700","33,400","33,000","31,900","30,400","29,200","27,600","30,500","30,000","28,400","24,900","24,200","21,700"
4,2020,044700,,,1,00-000040,Civilian Unemployment Rate,17.7%,18.0%,17.8%,17.2%,15.8%,16.1%,17.1%,16.4%,15.9%,16.1%,17.2%,17.7%,18.3%,18.0%,17.8%,16.7%,15.6%,16.4%,16.8%,16.0%,15.4%,15.3%,15.4%,15.9%,16.5%,16.4%,16.1%,15.0%,14.3%,14.5%,15.0%,14.1%,13.0%,13.0%,13.3%,13.9%,14.8%,14.1%,13.5%,12.6%,11.6%,12.6%,12.4%,11.8%,11.3%,11.5%,11.7%,11.7%,12.4%,12.4%,12.3%,10.8%,10.2%,10.6%,10.7%,10.0%,9.3%,9.3%,9.9%,9.8%,10.6%,10.2%,10.0%,9.1%,8.5%,9.1%,8.9%,8.2%,7.7%,8.0%,8.5%,8.5%,9.2%,9.1%,9.2%,8.3%,7.3%,8.3%,8.2%,7.7%,7.4%,7.4%,7.7%,7.9%,8.7%,8.5%,8.3%,7.2%,6.4%,7.0%,7.1%,6.7%,6.0%,5.9%,6.3%,6.5%,7.2%,7.2%,7.1%,6.2%,5.3%,6.2%,6.2%,5.7%,5.1%,5.3%,5.7%,6.3%,7.3%,6.8%,6.9%,5.9%,5.2%,5.9%,6.2%,5.8%,5.0%,5.3%,5.7%,6.0%,6.8%,6.5%,7.5%,17.9%,15.8%,14.5%,13.8%,12.2%,11.3%,10.2%,8.7%,10.0%,10.0%,9.5%,9.1%,8.9%,8.3%,9.2%,9.0%,8.5%,7.5%,7.3%,6.6%
8,2020,044700,"110000-813000, 920000",,1,01-000000,"Total, All Industries","203,400","203,200","204,400","204,600","217,800","222,500","205,400","207,800","209,700","210,400","206,400","202,200","199,100","200,000","200,700","203,200","214,600","216,600","206,100","209,700","212,400","213,000","209,200","206,800","202,400","204,400","206,200","207,300","217,300","224,800","210,100","215,000","216,700","220,400","215,200","212,900","209,200","211,800","214,600","217,500","231,800","225,400","222,100","226,000","226,100","226,400","222,600","221,300","217,800","220,300","221,900","224,900","231,100","228,400","226,300","231,400","232,400","231,800","227,600","226,400","224,000","226,100","227,800","232,000","240,700","236,500","235,500","239,200","241,400","240,500","237,500","236,400","231,800","234,800","236,400","239,100","246,900","240,700","241,800","245,500","247,100","248,700","245,700","245,800","238,900","241,600","244,000","248,500","258,500","252,500","250,600","256,000","256,900","256,500","254,900","254,400","248,600","251,600","251,600","253,500","260,600","257,900","255,300","260,500","262,300","262,700","260,000","258,700","254,200","255,100","256,200","258,200","267,000","265,600","260,500","265,400","264,900","268,500","267,700","265,500","262,900","264,900","262,700","236,600","252,700","253,600","250,900","256,100","259,000","260,700","261,100","258,400","251,400","254,600","259,200","259,800","266,800","264,300","259,900","265,800","266,700","266,900","264,400"
9,2020,044700,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"11,500","11,600","12,500","12,400","23,500","29,100","15,100","15,500","16,700","17,400","13,200","11,400","12,200","12,000","12,200","12,900","22,900","24,800","15,000","16,700","16,900","17,000","13,000","11,800","11,700","11,800","12,500","12,200","20,900","27,700","15,600","16,100","17,000","18,600","13,300","12,000","11,900","12,800","13,900","14,300","26,700","18,300","17,300","17,300","17,600","17,700","13,400","12,800","12,300","13,300","13,800","16,000","20,600","17,400","17,000","18,000","18,600","17,400","12,800","11,700","13,000","13,400","14,400","17,400","24,600","18,900","17,800","17,900","18,100","17,700","13,500","13,700","12,800","14,000","15,000","16,800","23,500","17,400","17,700","18,100","18,800","18,500","13,700","13,800","12,700","13,500","15,100","16,400","23,900","18,300","17,000","17,900","18,800","16,600","12,800","13,300","12,900","13,800","13,800","14,700","20,400","18,800","16,700","17,200","17,300","16,700","12,600","12,800","12,700","13,200","13,800","13,600","21,400","20,500","16,300","16,000","15,600","16,500","12,600","13,000","13,100","13,300","13,100","12,300","23,100","17,000","14,600","14,800","15,200","14,100","10,300","10,700","10,200","12,000","13,000","13,300","18,300","17,000","15,000","15,000","15,500","15,000","11,000"
