"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Oxnard Thousand Oaks Ventura MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Ventura County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,037100,,,1,00-000010,Civilian Labor Force,"426,900","429,200","431,200","435,400","434,000","429,300","430,400","427,900","427,700","430,100","431,000","429,600","426,000","430,000","431,600","430,600","431,200","432,300","430,000","428,000","429,700","433,900","434,700","432,900","431,300","436,300","438,400","433,700","434,200","433,400","431,600","428,400","430,200","435,200","435,500","435,900","434,600","436,800","436,200","433,600","433,400","431,700","430,300","428,000","429,500","430,600","432,700","430,800","430,600","433,300","435,600","429,500","428,800","427,000","426,500","424,700","424,700","430,200","431,000","428,200","429,400","431,200","431,800","429,100","428,800","426,200","423,400","421,000","422,800","427,000","428,100","428,000","424,400","427,600","430,600","426,600","426,400","426,000","424,200","421,300","423,500","425,000","424,300","424,100","423,400","425,600","426,800","425,200","424,200","423,400","422,800","420,200","424,500","423,400","424,600","423,000","421,100","425,500","425,200","424,400","424,700","422,200","422,300","418,400","421,400","423,800","424,200","423,800","421,800","424,600","424,400","421,100","421,100","419,500","421,500","417,900","420,200","421,600","421,300","421,300","419,800","423,500","421,400","404,700","403,900","410,500","405,600","401,500","399,900","407,700","403,600","404,500","402,600","408,700","406,400","405,600","406,900","409,200","412,300","409,300","411,100","411,200","412,300"
2,2020,037100,,,1,00-000020,  Civilian Employment,"376,900","380,400","382,500","389,300","389,100","382,600","380,800","378,400","380,100","383,500","382,800","383,000","377,700","383,600","386,100","388,000","389,000","386,700","383,600","381,400","384,100","389,600","391,600","390,100","387,500","393,500","396,600","395,600","396,000","392,400","389,100","387,000","391,800","397,000","398,100","398,300","395,100","400,200","401,100","401,600","401,300","396,200","394,000","392,600","395,500","397,000","400,200","399,600","398,200","401,500","404,300","402,900","402,200","398,800","396,000","394,500","396,600","402,900","403,500","402,500","401,900","405,400","406,900","406,400","405,900","402,000","397,800","396,100","399,300","403,900","404,800","405,300","401,000","404,900","407,900","405,900","407,100","403,500","400,700","397,400","400,400","402,500","402,700","403,000","400,500","404,300","406,500","407,300","407,400","404,300","402,600","399,900","405,900","405,800","406,600","405,800","402,400","408,100","408,600","409,900","411,400","405,700","405,600","401,500","405,700","407,900","407,900","407,100","403,100","408,100","408,000","407,800","408,300","404,100","405,200","401,600","405,800","406,700","405,800","406,200","403,100","407,900","403,500","346,100","348,900","361,500","360,000","362,100","364,700","376,500","377,900","374,600","372,600","381,000","380,600","380,800","383,300","382,800","386,000","384,000","389,400","390,400","394,000"
3,2020,037100,,,1,00-000030,  Civilian Unemployment,"50,000","48,800","48,800","46,000","44,900","46,700","49,600","49,500","47,700","46,600","48,200","46,600","48,300","46,400","45,500","42,600","42,200","45,600","46,400","46,600","45,600","44,400","43,100","42,700","43,800","42,800","41,800","38,100","38,200","41,000","42,500","41,400","38,500","38,200","37,400","37,500","39,500","36,600","35,000","32,100","32,100","35,500","36,200","35,400","34,000","33,600","32,500","31,100","32,400","31,700","31,300","26,600","26,700","28,300","30,500","30,200","28,200","27,300","27,500","25,700","27,500","25,700","25,000","22,700","22,900","24,200","25,600","24,900","23,500","23,100","23,300","22,700","23,400","22,800","22,600","20,700","19,300","22,500","23,500","23,900","23,100","22,600","21,700","21,100","22,900","21,400","20,200","17,900","16,800","19,100","20,200","20,300","18,500","17,600","18,000","17,200","18,700","17,400","16,600","14,500","13,300","16,400","16,700","16,900","15,700","15,900","16,300","16,800","18,800","16,500","16,500","13,300","12,800","15,300","16,400","16,300","14,400","14,900","15,500","15,200","16,700","15,500","17,900","58,700","54,900","49,000","45,600","39,300","35,100","31,200","25,700","29,900","30,000","27,700","25,800","24,800","23,600","26,500","26,300","25,300","21,600","20,700","18,300"
4,2020,037100,,,1,00-000040,Civilian Unemployment Rate,11.7%,11.4%,11.3%,10.6%,10.3%,10.9%,11.5%,11.6%,11.1%,10.8%,11.2%,10.9%,11.3%,10.8%,10.5%,9.9%,9.8%,10.6%,10.8%,10.9%,10.6%,10.2%,9.9%,9.9%,10.1%,9.8%,9.5%,8.8%,8.8%,9.5%,9.8%,9.7%,8.9%,8.8%,8.6%,8.6%,9.1%,8.4%,8.0%,7.4%,7.4%,8.2%,8.4%,8.3%,7.9%,7.8%,7.5%,7.2%,7.5%,7.3%,7.2%,6.2%,6.2%,6.6%,7.2%,7.1%,6.6%,6.4%,6.4%,6.0%,6.4%,6.0%,5.8%,5.3%,5.3%,5.7%,6.0%,5.9%,5.6%,5.4%,5.4%,5.3%,5.5%,5.3%,5.3%,4.9%,4.5%,5.3%,5.5%,5.7%,5.4%,5.3%,5.1%,5.0%,5.4%,5.0%,4.7%,4.2%,4.0%,4.5%,4.8%,4.8%,4.4%,4.2%,4.2%,4.1%,4.4%,4.1%,3.9%,3.4%,3.1%,3.9%,4.0%,4.0%,3.7%,3.8%,3.8%,4.0%,4.4%,3.9%,3.9%,3.2%,3.0%,3.7%,3.9%,3.9%,3.4%,3.5%,3.7%,3.6%,4.0%,3.7%,4.2%,14.5%,13.6%,11.9%,11.2%,9.8%,8.8%,7.6%,6.4%,7.4%,7.4%,6.8%,6.4%,6.1%,5.8%,6.5%,6.4%,6.2%,5.3%,5.0%,4.4%
8,2020,037100,"110000-813000, 920000",,1,01-000000,"Total, All Industries","292,700","295,500","298,400","307,000","309,900","304,900","297,000","295,000","296,500","303,400","303,700","302,400","293,900","299,800","302,000","307,000","308,400","308,200","300,900","298,400","300,300","306,500","308,400","305,200","300,700","306,500","310,400","312,500","315,100","313,700","305,600","304,900","306,600","313,600","316,000","315,100","309,400","315,500","318,400","320,500","320,800","317,500","310,900","312,100","313,500","320,500","322,800","321,600","315,800","319,200","323,100","324,700","323,800","321,300","314,500","315,300","315,000","322,200","324,000","323,500","317,500","321,300","324,000","326,100","325,000","323,800","317,400","316,600","319,400","326,500","327,800","327,700","318,500","322,600","326,000","330,100","330,200","329,100","323,100","320,800","322,900","327,600","328,300","328,900","320,500","324,300","328,100","332,500","333,800","333,600","325,900","325,200","327,700","331,800","333,700","333,500","325,800","331,200","332,300","337,200","338,500","336,300","330,100","330,200","331,200","335,700","336,300","336,200","328,500","332,500","335,000","340,000","341,800","340,500","336,600","335,800","336,000","340,200","341,400","341,200","334,500","339,500","337,800","294,300","301,400","312,200","306,200","308,100","310,300","314,300","316,500","313,200","305,700","311,200","314,200","321,700","322,400","324,100","320,600","321,000","323,400","325,000","326,300"
9,2020,037100,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"21,400","23,300","25,700","29,500","29,700","27,700","23,600","20,700","21,400","25,700","23,400","21,100","18,700","23,900","25,900","29,100","30,200","29,900","25,900","22,400","22,700","26,600","25,100","22,500","22,100","26,300","29,400","30,800","31,400","29,300","26,400","24,700","24,900","28,000","26,800","25,000","24,200","28,200","30,600","32,900","31,200","28,700","25,400","24,700","24,800","28,100","26,600","23,900","25,100","27,700","30,300","31,000","29,200","26,700","24,500","23,700","22,700","26,000","25,700","24,900","25,300","27,000","29,500","30,700","29,000","28,200","25,100","23,000","23,800","25,600","24,800","24,000","22,700","24,500","27,700","30,100","29,100","28,000","25,200","22,400","22,900","23,800","23,200","23,100","21,700","23,300","26,000","28,100","27,400","26,300","23,500","21,700","21,800","22,300","21,900","21,700","21,400","24,000","24,600","28,200","28,400","27,400","24,300","22,600","23,000","23,500","22,600","21,700","21,500","23,100","25,100","28,100","28,400","27,600","26,000","23,900","23,800","24,000","23,000","21,700","22,000","24,100","25,700","27,700","30,000","29,100","24,600","24,000","24,100","24,400","23,400","22,600","22,300","24,000","25,800","28,800","29,000","28,100","26,100","23,900","24,100","24,400","23,400"
