"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Yolo County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000113,,,1,00-000010,Civilian Labor Force,"102,100","102,300","102,700","102,400","102,400","102,500","103,300","102,700","102,300","101,800","101,600","101,100","101,000","101,700","101,500","101,000","101,100","101,700","102,200","101,900","102,100","102,100","101,600","101,600","101,500","102,400","102,600","101,900","102,500","103,700","103,500","102,600","102,300","102,300","101,700","101,700","101,800","102,100","102,200","101,100","101,600","102,300","102,400","101,500","101,100","100,600","100,700","100,300","101,200","101,500","102,100","101,300","102,100","102,800","103,500","102,300","101,800","102,100","102,000","101,600","103,900","104,000","104,300","103,600","103,900","104,500","105,000","104,200","103,500","104,000","104,200","104,800","105,700","106,500","106,500","105,400","105,300","106,700","107,900","106,800","106,200","105,700","105,300","105,000","106,200","106,500","107,000","106,300","106,300","107,100","107,900","107,000","106,700","106,100","106,200","106,300","106,400","107,500","107,400","106,900","107,200","108,000","109,000","108,100","107,700","107,400","107,200","107,700","108,000","108,500","108,500","107,000","107,200","107,800","109,100","108,500","108,100","108,000","107,200","107,200","107,900","108,500","108,600","101,800","101,400","104,100","105,100","103,900","103,500","106,000","104,500","105,000","105,000","106,500","105,700","105,000","105,600","106,700","107,600","107,100","106,800","107,100","106,800"
2,2020,000113,,,1,00-000020,  Civilian Employment,"88,100","88,500","89,000","89,900","90,600","90,300","90,800","90,600","90,600","90,000","88,800","88,100","87,200","88,300","88,300","89,000","89,600","89,400","90,000","90,200","90,800","90,900","90,100","89,700","88,900","89,700","90,200","90,800","91,900","92,300","92,100","92,000","92,700","92,400","91,800","91,200","90,400","91,300","92,100","92,100","93,000","92,900","93,200","92,800","92,900","92,100","92,100","91,800","91,900","92,200","92,900","93,700","95,000","95,300","95,700","94,900","95,100","95,300","94,800","94,400","95,600","96,100","96,700","97,100","97,600","97,900","98,300","97,900","97,700","97,800","97,700","98,200","98,300","99,200","99,300","99,300","99,900","100,400","101,600","100,900","100,700","99,900","99,400","98,700","99,100","99,500","100,500","100,800","101,500","101,600","102,400","101,800","102,200","101,700","101,400","101,400","100,700","101,800","101,900","102,400","103,400","103,400","104,400","103,800","103,900","103,400","102,900","102,800","102,100","102,900","102,900","102,800","103,500","103,400","104,400","104,300","104,500","104,200","103,000","102,600","102,400","103,300","102,700","89,800","90,800","93,800","95,500","95,700","96,000","99,100","98,400","97,800","97,600","99,200","98,900","98,700","99,800","100,100","101,300","101,200","101,800","102,200","102,200"
3,2020,000113,,,1,00-000030,  Civilian Unemployment,"14,000","13,800","13,700","12,400","11,800","12,300","12,600","12,100","11,700","11,800","12,700","13,000","13,700","13,300","13,200","12,000","11,600","12,300","12,300","11,700","11,300","11,200","11,500","11,900","12,600","12,700","12,400","11,200","10,600","11,300","11,400","10,600","9,700","9,900","10,000","10,500","11,300","10,800","10,200","9,100","8,600","9,400","9,300","8,700","8,200","8,500","8,600","8,500","9,300","9,300","9,200","7,600","7,100","7,500","7,800","7,400","6,700","6,800","7,300","7,300","8,200","7,900","7,600","6,500","6,300","6,700","6,700","6,300","5,700","6,100","6,500","6,600","7,300","7,200","7,300","6,100","5,300","6,300","6,300","5,900","5,500","5,800","5,900","6,300","7,200","7,000","6,500","5,600","4,700","5,400","5,500","5,200","4,500","4,400","4,800","4,900","5,700","5,700","5,500","4,500","3,800","4,700","4,600","4,300","3,800","4,000","4,300","4,900","6,000","5,600","5,500","4,200","3,700","4,400","4,600","4,200","3,600","3,800","4,200","4,500","5,500","5,200","5,800","12,000","10,700","10,200","9,600","8,300","7,500","6,900","6,000","7,200","7,400","7,300","6,800","6,300","5,800","6,600","6,300","6,000","5,000","4,900","4,500"
4,2020,000113,,,1,00-000040,Civilian Unemployment Rate,13.7%,13.5%,13.3%,12.2%,11.5%,12.0%,12.2%,11.8%,11.4%,11.6%,12.6%,12.8%,13.6%,13.1%,13.0%,11.9%,11.4%,12.1%,12.0%,11.5%,11.1%,11.0%,11.3%,11.7%,12.4%,12.4%,12.1%,10.9%,10.4%,10.9%,11.0%,10.3%,9.4%,9.7%,9.8%,10.3%,11.1%,10.5%,9.9%,9.0%,8.5%,9.2%,9.0%,8.6%,8.1%,8.4%,8.6%,8.5%,9.2%,9.2%,9.0%,7.5%,7.0%,7.3%,7.5%,7.2%,6.6%,6.7%,7.1%,7.1%,7.9%,7.6%,7.3%,6.3%,6.1%,6.4%,6.4%,6.0%,5.5%,5.9%,6.2%,6.3%,6.9%,6.8%,6.8%,5.8%,5.1%,5.9%,5.8%,5.5%,5.2%,5.5%,5.6%,6.0%,6.7%,6.6%,6.1%,5.2%,4.5%,5.1%,5.1%,4.9%,4.2%,4.2%,4.5%,4.6%,5.3%,5.3%,5.1%,4.2%,3.6%,4.3%,4.2%,4.0%,3.5%,3.7%,4.0%,4.6%,5.5%,5.1%,5.1%,3.9%,3.5%,4.1%,4.3%,3.9%,3.3%,3.5%,3.9%,4.2%,5.1%,4.8%,5.4%,11.8%,10.5%,9.8%,9.1%,7.9%,7.3%,6.5%,5.8%,6.8%,7.0%,6.9%,6.4%,6.0%,5.5%,6.1%,5.9%,5.6%,4.7%,4.6%,4.3%
8,2020,000113,"110000-813000, 920000",,1,01-000000,"Total, All Industries","93,800","94,100","94,800","96,300","98,100","97,900","96,100","96,700","96,400","97,900","95,800","93,800","92,100","94,000","94,100","95,900","96,600","96,900","95,400","96,500","95,500","98,200","95,600","94,200","93,100","94,300","95,600","96,300","98,400","100,100","97,300","97,300","98,400","97,900","97,100","96,500","94,300","95,600","97,400","98,400","100,100","101,000","98,800","100,700","100,300","100,400","99,800","99,800","97,400","98,700","99,800","101,900","103,900","104,300","101,600","103,000","102,300","102,800","102,500","101,800","101,500","102,000","103,500","105,100","105,800","106,900","103,700","105,600","105,700","105,900","105,400","105,000","102,700","104,200","104,500","106,900","108,200","110,100","110,400","109,700","109,800","109,600","109,700","109,400","104,600","105,700","107,300","109,400","110,400","111,400","110,200","110,700","109,300","110,900","108,900","109,700","106,900","108,800","109,400","111,700","113,100","114,800","111,600","112,200","112,100","113,400","111,800","112,400","111,000","112,100","113,400","114,900","116,100","116,300","116,900","117,500","115,600","116,700","114,100","111,300","111,200","112,100","110,000","104,100","104,700","107,300","107,600","105,900","107,600","108,800","108,500","108,300",,,,,,,,,,,
9,2020,000113,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"3,100","3,500","3,900","4,800","5,800","5,900","5,900","5,900","5,900","5,600","4,300","3,600","3,400","4,300","4,100","5,100","5,700","5,900","6,300","6,000","6,000","5,800","4,500","4,000","3,700","3,900","4,300","4,800","6,200","6,600","6,500","6,300","6,300","5,700","4,900","4,400","3,600","4,200","5,000","5,300","6,300","6,500","6,500","6,300","5,800","5,600","4,700","4,400","4,200","4,400","4,900","6,000","6,900","7,000","6,900","6,600","6,100","6,100","5,100","4,400","4,600","4,800","5,800","6,400","6,400","6,700","6,400","6,600","6,300","6,000","5,100","4,900","4,200","4,700","4,800","6,000","6,300","7,500","8,600","7,800","7,300","7,000","6,200","6,300","4,000","4,200","5,000","5,600","6,200","6,400","7,700","7,700","7,300","6,800","5,100","4,900","4,000","4,700","4,800","6,200","6,500","6,800","7,300","7,000","6,600","6,200","4,900","4,600","3,800","4,100","4,500","5,700","6,200","6,600","7,300","7,000","6,800","6,400","4,700","4,100","3,700","4,000","4,900","5,300","5,900","6,000","6,700","6,700","6,300","6,100","5,000","4,800",,,,,,,,,,,
