"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Yuba County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000115,,,1,00-000010,Civilian Labor Force,"29,100","29,500","29,300","29,100","29,200","29,300","28,900","29,300","29,000","29,000","29,100","28,800","29,100","29,100","29,000","28,600","28,700","29,200","28,500","29,200","29,200","29,000","28,800","28,800","29,000","28,900","29,200","28,700","28,700","29,500","28,700","28,600","28,600","28,800","28,400","28,400","28,700","28,600","28,600","28,100","28,000","28,300","28,000","28,100","28,000","28,000","27,900","27,700","28,000","28,200","28,400","27,900","27,900","28,000","27,700","28,000","27,700","27,600","27,500","27,300","27,500","27,500","27,700","27,500","27,800","27,800","27,900","28,100","27,800","27,800","27,700","27,700","27,900","28,100","28,300","27,800","27,900","28,400","28,300","28,400","28,500","28,200","28,000","28,000","28,800","28,700","29,000","28,700","28,700","28,900","28,600","28,800","28,900","28,600","28,600","28,500","28,900","29,100","29,300","29,000","29,200","29,500","29,300","29,600","29,400","29,400","29,100","29,000","29,500","29,600","29,800","29,300","29,400","29,600","29,600","29,900","29,800","30,200","30,000","30,000","30,200","30,400","30,600","30,100","29,900","30,400","30,200","29,900","29,800","30,100","29,400","29,500","29,000","29,500","29,200","29,300","29,700","30,500","30,400","30,400","30,600","30,500","30,400"
2,2020,000115,,,1,00-000020,  Civilian Employment,"23,500","23,700","23,600","23,800","24,000","24,100","23,600","24,200","24,100","24,100","23,900","23,400","23,400","23,600","23,600","23,500","23,900","24,100","23,500","24,400","24,600","24,500","24,200","24,000","23,900","23,800","24,100","24,000","24,300","24,900","24,100","24,300","24,700","24,800","24,500","24,200","24,100","24,200","24,400","24,300","24,400","24,500","24,300","24,600","24,600","24,600","24,500","24,300","24,300","24,400","24,600","24,600","24,900","24,900","24,500","25,100","25,000","25,000","24,700","24,500","24,300","24,400","24,800","24,900","25,200","25,200","25,300","25,800","25,600","25,600","25,300","25,200","25,100","25,300","25,500","25,400","25,700","25,900","25,900","26,200","26,300","26,000","25,800","25,500","26,100","26,000","26,400","26,400","26,700","26,800","26,500","26,800","27,100","26,900","26,800","26,500","26,700","26,900","27,000","27,100","27,600","27,600","27,400","27,800","27,800","27,700","27,400","27,100","27,200","27,400","27,500","27,500","27,800","27,900","27,800","28,200","28,300","28,600","28,400","28,200","28,000","28,300","28,200","25,200","25,600","26,500","26,500","26,700","26,700","27,300","27,000","26,600","26,100","26,600","26,300","26,700","27,200","27,800","27,700","27,900","28,400","28,400","28,500"
3,2020,000115,,,1,00-000030,  Civilian Unemployment,"5,600","5,800","5,800","5,300","5,100","5,200","5,300","5,100","4,900","4,900","5,200","5,400","5,600","5,500","5,500","5,100","4,800","5,000","5,000","4,800","4,600","4,500","4,600","4,800","5,100","5,100","5,100","4,700","4,500","4,700","4,600","4,300","4,000","4,000","3,900","4,200","4,500","4,300","4,200","3,800","3,600","3,900","3,700","3,500","3,400","3,300","3,400","3,400","3,700","3,800","3,800","3,300","3,000","3,100","3,200","3,000","2,700","2,700","2,800","2,800","3,100","3,000","3,000","2,600","2,500","2,600","2,600","2,300","2,200","2,200","2,400","2,500","2,800","2,800","2,900","2,500","2,200","2,400","2,400","2,300","2,200","2,200","2,200","2,500","2,700","2,800","2,600","2,300","2,000","2,100","2,100","2,000","1,800","1,700","1,800","1,900","2,200","2,200","2,300","1,900","1,600","1,900","1,900","1,800","1,600","1,600","1,700","1,900","2,400","2,200","2,200","1,800","1,600","1,800","1,800","1,700","1,500","1,600","1,700","1,800","2,200","2,100","2,400","4,900","4,400","3,800","3,700","3,200","3,000","2,800","2,400","2,900","2,900","2,900","2,800","2,600","2,400","2,700","2,700","2,500","2,200","2,100","1,900"
4,2020,000115,,,1,00-000040,Civilian Unemployment Rate,19.3%,19.7%,19.6%,18.2%,17.6%,17.8%,18.3%,17.3%,16.8%,16.8%,17.9%,18.7%,19.4%,18.9%,18.8%,17.8%,16.8%,17.3%,17.6%,16.5%,15.9%,15.7%,15.8%,16.5%,17.5%,17.6%,17.3%,16.3%,15.6%,15.8%,16.2%,15.0%,13.8%,13.8%,13.7%,14.9%,15.8%,15.1%,14.6%,13.5%,12.9%,13.6%,13.3%,12.4%,12.0%,11.9%,12.1%,12.2%,13.3%,13.5%,13.5%,11.9%,10.8%,11.2%,11.4%,10.6%,9.7%,9.6%,10.1%,10.4%,11.5%,11.1%,10.7%,9.6%,9.1%,9.4%,9.2%,8.3%,7.8%,7.9%,8.7%,9.0%,10.1%,9.8%,10.1%,8.8%,7.8%,8.6%,8.5%,7.9%,7.6%,7.7%,7.9%,8.9%,9.4%,9.6%,8.8%,7.9%,6.9%,7.3%,7.4%,7.0%,6.2%,6.0%,6.4%,6.8%,7.7%,7.6%,7.7%,6.5%,5.6%,6.5%,6.5%,5.9%,5.4%,5.6%,5.9%,6.7%,8.0%,7.5%,7.5%,6.2%,5.5%,6.0%,6.2%,5.8%,5.1%,5.2%,5.6%,6.1%,7.3%,7.0%,7.9%,16.4%,14.6%,12.7%,12.2%,10.8%,10.1%,9.3%,8.3%,9.8%,10.1%,9.9%,9.7%,8.8%,8.2%,8.9%,8.8%,8.3%,7.2%,7.0%,6.4%
8,2020,000115,"110000-813000, 920000",,1,01-000000,"Total, All Industries","14,300","14,700","14,500","14,900","15,400","15,900","15,200","15,800","15,700","15,700","15,600","15,100","15,000","15,200","15,300","15,000","15,400","16,000","15,100","16,100","16,600","16,400","15,800","15,700","15,400","15,300","15,600","16,000","16,300","16,800","15,800","16,000","16,200","16,600","16,100","15,900","15,300","15,600","15,600","15,700","15,900","15,900","15,500","16,000","15,700","16,700","16,000","15,800","15,700","15,900","15,900","16,000","16,300","16,100","15,700","15,900","16,300","16,600","16,000","15,900","15,300","15,600","15,800","16,200","16,500","16,600","16,600","16,600","17,000","17,200","16,400","16,700","15,900","16,500","16,400","16,600","16,800","16,700","16,500","16,900","17,000","16,800","16,700","16,700","16,800","16,800","17,200","17,500","17,800","18,100","17,700","17,800","18,300","18,700","18,100","18,100","17,600","17,700","17,700","17,900","18,500","18,500","17,700","18,200","18,500","19,300","18,200","18,100","18,200","18,400","18,500","18,500","18,400","18,900","18,400","18,700","19,000","19,900","19,800","19,800","19,500","19,600","19,600","18,800","19,300","19,500","18,900","19,200","19,100","19,100","18,700","18,500",,,,,,,,,,,
9,2020,000115,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,700,900,700,700,"1,000","1,000","1,000","1,300",900,"1,100","1,000",600,800,900,700,700,800,"1,100",900,"1,200","1,300","1,300","1,000",800,800,600,700,700,900,"1,400","1,000",900,"1,100","1,300","1,100",800,700,800,800,800,700,900,"1,000","1,200","1,000","1,100",900,700,600,700,700,800,800,700,800,800,900,"1,000",800,600,600,600,600,800,700,800,900,800,"1,000","1,000",800,700,600,600,600,600,500,500,600,600,500,400,300,300,600,600,700,600,600,700,900,900,900,"1,100",900,800,600,700,600,700,900,800,800,800,800,"1,000",700,600,600,600,700,700,800,800,800,800,700,800,700,500,600,600,700,700,700,700,800,800,700,700,500,400,,,,,,,,,,,
