,County,Year,Employment,Labor Force,Unemployment,Unemployment Rate,Opioid Death Rate,Opioid Death
0,Alameda,2015,779891.6666666666,819016.6666666666,39108.333333333336,4.7749999999999995,2.73,50.0
1,Alameda,2016,796025.0,831816.6666666666,35791.666666666664,4.324999999999999,2.18,39.0
2,Alameda,2017,807658.3333333334,838700.0,31041.666666666668,3.6999999999999993,1.36,25.0
3,Alameda,2018,815691.6666666666,841483.3333333334,25783.333333333332,3.0666666666666664,2.28,42.0
4,Alameda,2019,815883.3333333334,841083.3333333334,25191.666666666668,3.0,4.33,78.0
5,Alameda,2020,742416.6666666666,813800.0,71383.33333333333,8.825000000000001,7.74,138.0
6,Alpine,2015,508.3333333333333,550.0,40.833333333333336,7.416666666666665,0.0,0.0
7,Alpine,2016,519.1666666666666,553.3333333333334,38.333333333333336,6.566666666666666,0.0,0.0
8,Alpine,2017,515.8333333333334,549.1666666666666,35.833333333333336,6.308333333333334,0.0,0.0
9,Alpine,2018,524.1666666666666,546.6666666666666,24.166666666666668,4.675,0.0,0.0
10,Alpine,2019,512.5,540.0,30.0,5.383333333333334,0.0,0.0
11,Alpine,2020,460.0,518.3333333333334,59.166666666666664,11.924999999999997,0.0,0.0
12,Amador,2015,13365.0,14316.666666666666,950.8333333333334,6.641666666666668,3.75,2.0
13,Amador,2016,13658.333333333334,14525.0,867.5,5.966666666666668,12.23,4.0
14,Amador,2017,13969.166666666666,14702.5,735.8333333333334,5.008333333333332,2.71,2.0
15,Amador,2018,14068.333333333334,14670.0,601.6666666666666,4.091666666666668,2.9,1.0
16,Amador,2019,14217.5,14801.666666666666,584.1666666666666,3.941666666666667,7.81,5.0
17,Amador,2020,13105.833333333334,14425.0,1317.5,9.166666666666666,13.07,4.0
18,Orange,2015,1513066.6666666667,1584300.0,71233.33333333333,4.516666666666667,5.41,186.0
19,Orange,2016,1532708.3333333333,1597425.0,64725.0,4.041666666666667,6.06,210.0
20,Orange,2017,1550058.3333333333,1606783.3333333333,56708.333333333336,3.516666666666667,5.28,180.0
21,Orange,2018,1567975.0,1616050.0,48066.666666666664,2.9666666666666663,5.43,185.0
22,Orange,2019,1567225.0,1613116.6666666667,45866.666666666664,2.8333333333333335,6.28,212.0
23,Orange,2020,1416741.6666666667,1553308.3333333333,136575.0,8.866666666666665,14.13,459.0
24,Kern,2015,350050.0,390158.3333333333,40091.666666666664,10.283333333333335,6.12,53.0
25,Kern,2016,347708.3333333333,388108.3333333333,40416.666666666664,10.425,4.51,41.0
26,Kern,2017,348725.0,384341.6666666667,35600.0,9.283333333333331,5.98,52.0
27,Kern,2018,354516.6666666667,385825.0,31333.333333333332,8.133333333333333,8.75,77.0
28,Kern,2019,357450.0,388141.6666666667,30675.0,7.908333333333334,9.95,91.0
29,Kern,2020,335708.3333333333,383775.0,48066.666666666664,12.550000000000002,21.0,193.0
30,Calaveras,2015,19231.666666666668,20550.0,1318.3333333333333,6.441666666666667,14.25,7.0
31,Calaveras,2016,19615.0,20797.5,1182.5,5.691666666666666,13.17,5.0
32,Calaveras,2017,20028.333333333332,21029.166666666668,1000.8333333333334,4.75,0.86,1.0
33,Calaveras,2018,20305.0,21165.0,858.3333333333334,4.066666666666666,6.43,2.0
34,Calaveras,2019,20485.0,21310.0,825.8333333333334,3.883333333333334,4.74,3.0
35,Calaveras,2020,19588.333333333332,21208.333333333332,1620.0,7.658333333333332,7.0,2.0
36,Butte,2015,93766.66666666667,101058.33333333333,7300.0,7.2250000000000005,6.51,16.0
37,Butte,2016,94925.0,101650.0,6750.0,6.641666666666668,4.96,13.0
38,Butte,2017,96125.0,102066.66666666667,5950.0,5.841666666666668,6.26,13.0
39,Butte,2018,96633.33333333333,101825.0,5191.666666666667,5.075,5.34,15.0
40,Butte,2019,92858.33333333333,97916.66666666667,5050.0,5.166666666666667,3.98,8.0
41,Butte,2020,84083.33333333333,92608.33333333333,8508.333333333334,9.233333333333333,5.19,13.0
42,Colusa,2015,9342.5,11052.5,1709.1666666666667,15.583333333333336,0.0,0.0
43,Colusa,2016,9206.666666666666,10908.333333333334,1702.5,15.633333333333335,6.8,2.0
44,Colusa,2017,9275.0,10825.0,1551.6666666666667,14.4,0.0,0.0
45,Colusa,2018,9410.833333333334,10852.5,1441.6666666666667,13.283333333333331,0.0,0.0
46,Colusa,2019,9549.166666666666,10975.0,1426.6666666666667,13.024999999999999,15.66,3.0
47,Colusa,2020,8825.0,10500.833333333334,1675.8333333333333,15.866666666666662,14.72,3.0
48,Contra Costa,2015,517066.6666666667,544625.0,27575.0,5.066666666666667,3.21,38.0
49,Contra Costa,2016,528408.3333333334,553225.0,24808.333333333332,4.483333333333333,3.14,39.0
50,Contra Costa,2017,536666.6666666666,558233.3333333334,21583.333333333332,3.858333333333334,3.32,40.0
51,Contra Costa,2018,542200.0,560291.6666666666,18075.0,3.233333333333334,5.55,67.0
52,Contra Costa,2019,542125.0,559700.0,17583.333333333332,3.1333333333333333,6.61,76.0
53,Contra Costa,2020,493241.6666666667,541241.6666666666,48033.333333333336,8.916666666666668,11.45,130.0
54,Del Norte,2015,9010.833333333334,9856.666666666666,846.6666666666666,8.599999999999998,4.41,1.0
55,Del Norte,2016,9019.166666666666,9756.666666666666,736.6666666666666,7.550000000000001,11.01,3.0
56,Del Norte,2017,9074.166666666666,9703.333333333334,629.1666666666666,6.474999999999999,8.46,3.0
57,Del Norte,2018,9154.166666666666,9713.333333333334,560.0,5.766666666666666,0.0,0.0
58,Del Norte,2019,9055.0,9617.5,565.0,5.875,4.67,1.0
