,County,Rates_opioid,Counts_opioid,Year,Rates_pres,Counts_pres,Rates_heroin,Counts_heroin,Rates_fentanyl,Counts_fentanyl
0,Alameda,3.82,68.0,2015,2.73,50.0,0.66,11.0,0.24,4.0
1,Alpine,0.0,0.0,2015,0.0,0.0,0.0,0.0,0.0,0.0
2,Amador,3.75,2.0,2015,3.75,2.0,0.0,0.0,0.0,0.0
3,Butte,7.48,18.0,2015,6.51,16.0,0.44,1.0,0.33,1.0
4,Calaveras,17.97,9.0,2015,14.25,7.0,3.28,1.0,2.81,1.0
5,Colusa,0.0,0.0,2015,0.0,0.0,0.0,0.0,0.0,0.0
6,Contra Costa,4.19,49.0,2015,3.21,38.0,1.15,13.0,0.34,4.0
7,Del Norte,10.21,3.0,2015,4.41,1.0,0.0,0.0,0.0,0.0
8,El Dorado,4.04,8.0,2015,2.7,5.0,1.05,2.0,0.0,0.0
9,Fresno,6.8,62.0,2015,6.01,55.0,0.26,2.0,0.11,1.0
10,Glenn,2.59,1.0,2015,2.59,1.0,0.0,0.0,0.0,0.0
11,Humboldt,18.05,26.0,2015,12.59,18.0,3.68,6.0,2.49,3.0
12,Imperial,12.66,20.0,2015,2.64,4.0,0.59,1.0,0.0,0.0
13,Inyo,0.0,0.0,2015,0.0,0.0,0.0,0.0,0.0,0.0
14,Kern,8.6,75.0,2015,6.12,53.0,2.66,24.0,0.83,8.0
15,Kings,3.42,5.0,2015,3.42,5.0,0.0,0.0,0.0,0.0
16,Lake,26.92,19.0,2015,26.92,19.0,0.0,0.0,0.88,1.0
17,Lassen,10.51,4.0,2015,10.51,4.0,0.0,0.0,3.31,1.0
18,Los Angeles,2.65,283.0,2015,1.91,205.0,1.16,123.0,0.12,12.0
19,Madera,5.71,10.0,2015,5.71,10.0,0.0,0.0,0.0,0.0
20,Marin,1.5,3.0,2015,1.5,3.0,0.0,0.0,0.0,0.0
21,Mariposa,4.56,1.0,2015,4.56,1.0,0.0,0.0,0.0,0.0
22,Mendocino,15.05,12.0,2015,8.38,7.0,8.6,7.0,2.99,2.0
23,Merced,8.35,20.0,2015,8.02,19.0,0.74,2.0,0.91,2.0
24,Modoc,7.16,1.0,2015,7.16,1.0,0.0,0.0,0.0,0.0
25,Mono,0.0,0.0,2015,0.0,0.0,0.0,0.0,0.0,0.0
26,Monterey,3.23,14.0,2015,1.34,6.0,0.63,3.0,0.0,0.0
27,Napa,5.87,8.0,2015,3.95,5.0,0.0,0.0,0.0,0.0
28,Nevada,4.06,4.0,2015,1.3,2.0,2.77,2.0,0.41,1.0
29,Orange,7.39,251.0,2015,5.41,186.0,2.18,73.0,0.52,18.0
30,Placer,3.94,15.0,2015,3.08,12.0,1.21,4.0,0.0,0.0
31,Plumas,31.3,4.0,2015,31.3,4.0,0.0,0.0,7.71,1.0
32,Riverside,5.55,135.0,2015,2.82,70.0,2.43,58.0,0.22,5.0
33,Sacramento,2.44,40.0,2015,1.74,28.0,0.44,8.0,0.0,0.0
34,San Benito,5.23,3.0,2015,3.43,2.0,1.8,1.0,0.0,0.0
35,San Bernardino,1.74,38.0,2015,1.0,21.0,0.76,17.0,0.14,3.0
36,San Diego,6.94,248.0,2015,4.93,179.0,2.02,71.0,0.67,23.0
37,San Francisco,9.56,95.0,2015,7.55,74.0,2.29,24.0,0.94,11.0
38,San Joaquin,6.12,46.0,2015,4.61,35.0,1.2,9.0,0.14,1.0
39,San Luis Obispo,9.85,28.0,2015,7.49,22.0,1.4,3.0,0.93,2.0
40,San Mateo,2.97,25.0,2015,2.1,18.0,0.34,3.0,0.14,1.0
41,Santa Barbara,7.7,34.0,2015,4.66,21.0,3.74,16.0,0.6,3.0
42,Santa Clara,3.17,66.0,2015,2.31,48.0,0.85,18.0,0.34,7.0
43,Santa Cruz,10.68,29.0,2015,5.65,16.0,4.91,12.0,1.32,3.0
44,Shasta,8.97,15.0,2015,4.86,9.0,1.96,3.0,0.0,0.0
45,Sierra,0.0,0.0,2015,0.0,0.0,0.0,0.0,0.0,0.0
46,Siskiyou,17.31,8.0,2015,16.32,7.0,0.0,0.0,0.0,0.0
47,Solano,4.68,20.0,2015,2.94,13.0,0.99,4.0,0.4,2.0
48,Sonoma,6.79,37.0,2015,3.72,21.0,2.94,16.0,0.95,4.0
49,Stanislaus,5.37,29.0,2015,3.45,18.0,1.9,11.0,0.0,0.0
50,Sutter,0.0,0.0,2015,0.0,0.0,0.0,0.0,0.0,0.0
