COUNTY,PRECOVID_RATES,PRECOVID_COUNTS,COVID_RATES,COVID_COUNTS,TOTAL_FAC,TOTAL_NUMBER_BEDS,COUNT_NOER_FAC,COUNT_ER_FAC,ER_BEDS,TOTALFAC_PER_POP,TOTALBEDS_PER_POP,ERFAC_PER_POP,ERBEDS_PER_POP,ERFAC_PER_AREA
Alameda,3.502,63.0,8.09,144.0,340.0,9074.0,327.0,13.0,2894.0,20.232314576787584,539.9647719699133,0.7735884985242312,172.2127011330096,0.0175891358421403
Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,6.556,3.0,13.07,4.0,5.0,251.0,4.0,1.0,52.0,12.362161894872177,620.5805271225831,2.472432378974435,128.56648370667062,0.0016818671809326
Butte,6.9,16.2,11.54,26.0,44.0,1387.0,41.0,3.0,467.0,22.348638764729785,704.4900446972775,1.5237708248679398,237.2003250711093,0.0018332212515237
Calaveras,10.565999999999999,4.6,7.0,2.0,5.0,124.0,4.0,1.0,25.0,10.794706276042229,267.7087156458473,2.158941255208445,53.97353138021114,0.0009803795418726
Colusa,4.492,1.0,14.72,3.0,6.0,147.0,5.0,1.0,48.0,27.51662462737904,674.1573033707865,4.586104104563174,220.13299701903236,0.0008690162806695
Contra Costa,5.5200000000000005,65.4,12.61,144.0,140.0,4674.0,132.0,8.0,1666.0,12.073753384963002,403.0908808665505,0.6899287648550287,143.67766528105977,0.0110689445814719
Del Norte,7.69,2.2,9.01,3.0,8.0,148.0,7.0,1.0,49.0,28.61639719559308,529.4033481184719,3.5770496494491346,175.27543282300758,0.0009937473172127
El Dorado,4.502,7.8,11.72,22.0,17.0,518.0,15.0,2.0,236.0,8.627821170643077,262.89478625841843,1.0150377847815384,119.77445860422154,0.0011710277765089
Fresno,5.406000000000001,52.4,7.01,71.0,182.0,6579.0,175.0,7.0,1732.0,17.959344779948687,649.2007104795738,0.6907440299980264,170.90980856522597,0.0011747290309848
Glenn,2.8,0.8,14.87,3.0,5.0,123.0,4.0,1.0,47.0,17.096939647803044,420.58471533595485,3.419387929560609,160.7112326893486,0.000761066849034
Humboldt,18.330000000000002,25.4,18.34,24.0,35.0,760.0,31.0,4.0,268.0,26.08319794911541,566.3780126093632,2.9809369084703325,199.72277286751228,0.001121085657222
Imperial,8.331999999999999,13.6,19.07,32.0,24.0,521.0,22.0,2.0,268.0,13.289110127963056,288.484432361198,1.1074258439969211,148.39506309558746,0.0004788564720734
