County,Rates,Counts,Year
Alameda,2.73,50.0,2015
Alpine,0.0,0.0,2015
Amador,3.75,2.0,2015
Butte,6.51,16.0,2015
Calaveras,14.25,7.0,2015
Colusa,0.0,0.0,2015
Contra Costa,3.21,38.0,2015
Del Norte,4.41,1.0,2015
El Dorado,2.7,5.0,2015
Fresno,6.01,55.0,2015
Glenn,2.59,1.0,2015
Humboldt,12.59,18.0,2015
Imperial,2.64,4.0,2015
Inyo,0.0,0.0,2015
Kern,6.12,53.0,2015
Kings,3.42,5.0,2015
Lake,26.92,19.0,2015
Lassen,10.51,4.0,2015
Los Angeles,1.91,205.0,2015
Madera,5.71,10.0,2015
Marin,1.5,3.0,2015
Mariposa,4.56,1.0,2015
Mendocino,8.38,7.0,2015
Merced,8.02,19.0,2015
Modoc,7.16,1.0,2015
Mono,0.0,0.0,2015
Monterey,1.34,6.0,2015
Napa,3.95,5.0,2015
Nevada,1.3,2.0,2015
Orange,5.41,186.0,2015
Placer,3.08,12.0,2015
Plumas,31.3,4.0,2015
Riverside,2.82,70.0,2015
Sacramento,1.74,28.0,2015
San Benito,3.43,2.0,2015
San Bernardino,1.0,21.0,2015
San Diego,4.93,179.0,2015
San Francisco,7.55,74.0,2015
San Joaquin,4.61,35.0,2015
San Luis Obispo,7.49,22.0,2015
San Mateo,2.1,18.0,2015
Santa Barbara,4.66,21.0,2015
Santa Clara,2.31,48.0,2015
Santa Cruz,5.65,16.0,2015
Shasta,4.86,9.0,2015
Sierra,0.0,0.0,2015
Siskiyou,16.32,7.0,2015
Solano,2.94,13.0,2015
Sonoma,3.72,21.0,2015
Stanislaus,3.45,18.0,2015
Sutter,0.0,0.0,2015
Tehama,2.87,3.0,2015
Trinity,6.95,2.0,2015
Tulare,0.7,3.0,2015
Tuolumne,20.21,11.0,2015
Unknown,,0.0,2015
Ventura,2.88,29.0,2015
Alameda,2.18,39.0,2016
Alpine,0.0,0.0,2016
Amador,12.23,4.0,2016
Butte,4.96,13.0,2016
Calaveras,13.17,5.0,2016
Colusa,6.8,2.0,2016
Contra Costa,3.14,39.0,2016
Del Norte,11.01,3.0,2016
El Dorado,4.7,7.0,2016
Fresno,6.37,62.0,2016
Glenn,3.39,1.0,2016
Humboldt,16.4,25.0,2016
Imperial,1.87,3.0,2016
Inyo,14.93,2.0,2016
Kern,4.51,41.0,2016
Kings,2.75,4.0,2016
Lake,11.52,9.0,2016
Lassen,19.86,7.0,2016
Los Angeles,2.44,266.0,2016
Madera,5.94,10.0,2016
Marin,4.05,9.0,2016
Mariposa,2.22,1.0,2016
Mendocino,11.13,13.0,2016
Merced,9.34,22.0,2016
Modoc,0.0,0.0,2016
Mono,0.0,0.0,2016
Monterey,0.85,4.0,2016
Napa,0.0,0.0,2016
Nevada,5.88,5.0,2016
Orange,6.06,210.0,2016
Placer,2.71,10.0,2016
Plumas,0.0,0.0,2016
Riverside,2.41,61.0,2016
Sacramento,2.44,40.0,2016
San Benito,1.64,1.0,2016
San Bernardino,0.96,21.0,2016
San Diego,4.92,175.0,2016
San Francisco,6.87,70.0,2016
San Joaquin,6.04,47.0,2016
San Luis Obispo,2.08,7.0,2016
San Mateo,2.15,18.0,2016
Santa Barbara,3.92,16.0,2016
Santa Clara,2.22,48.0,2016
Santa Cruz,6.12,18.0,2016
Shasta,3.91,9.0,2016
Sierra,0.0,0.0,2016
Siskiyou,15.13,7.0,2016
Solano,2.93,13.0,2016
Sonoma,3.58,19.0,2016
Stanislaus,1.78,10.0,2016
Sutter,4.36,4.0,2016
Tehama,1.04,1.0,2016
Trinity,6.7,1.0,2016
Tulare,2.15,10.0,2016
Tuolumne,7.45,5.0,2016
Unknown,,0.0,2016
Ventura,3.0,27.0,2016
Yolo,3.67,8.0,2016
Yuba,3.72,2.0,2016
Alameda,1.36,25.0,2017
Alpine,0.0,0.0,2017
Amador,2.71,2.0,2017
Butte,6.26,13.0,2017
Calaveras,0.86,1.0,2017
Colusa,0.0,0.0,2017
Contra Costa,3.32,40.0,2017
Del Norte,8.46,3.0,2017
El Dorado,1.85,3.0,2017
Fresno,3.79,39.0,2017
Glenn,0.0,0.0,2017
Humboldt,15.49,21.0,2017
Imperial,0.48,1.0,2017
Inyo,3.19,1.0,2017
Kern,5.98,52.0,2017
Kings,4.52,6.0,2017
Lake,14.11,11.0,2017
Lassen,13.91,5.0,2017
Los Angeles,3.0,331.0,2017
Madera,3.75,6.0,2017
Marin,4.08,9.0,2017
Mariposa,5.51,1.0,2017
Mendocino,14.46,13.0,2017
Merced,4.29,12.0,2017
Modoc,23.58,3.0,2017
Mono,0.0,0.0,2017
Monterey,0.66,3.0,2017
Napa,0.0,0.0,2017
Nevada,3.73,4.0,2017
Orange,5.28,180.0,2017
Placer,3.15,12.0,2017
Plumas,2.0,1.0,2017
Riverside,2.94,72.0,2017
Sacramento,2.38,39.0,2017
San Benito,4.88,3.0,2017
San Bernardino,1.56,34.0,2017
San Diego,6.02,220.0,2017
San Francisco,6.78,70.0,2017
San Joaquin,7.08,53.0,2017
San Luis Obispo,2.36,7.0,2017
San Mateo,4.36,37.0,2017
Santa Barbara,4.31,20.0,2017
Santa Clara,2.36,49.0,2017
Santa Cruz,3.6,11.0,2017
Shasta,8.96,15.0,2017
Sierra,0.0,0.0,2017
Siskiyou,9.97,4.0,2017
Solano,1.69,7.0,2017
Sonoma,3.1,16.0,2017
Stanislaus,2.45,13.0,2017
Sutter,1.26,1.0,2017
Tehama,0.0,0.0,2017
Trinity,4.34,1.0,2017
Tulare,1.04,4.0,2017
Tuolumne,8.71,4.0,2017
Unknown,,0.0,2017
Ventura,7.34,64.0,2017
Yolo,3.19,7.0,2017
Yuba,7.63,5.0,2017
Alameda,2.28,42.0,2018
Alpine,0.0,0.0,2018
Amador,2.9,1.0,2018
Butte,5.34,15.0,2018
Calaveras,6.43,2.0,2018
Colusa,0.0,0.0,2018
Contra Costa,5.55,67.0,2018
Del Norte,0.0,0.0,2018
El Dorado,2.73,5.0,2018
Fresno,3.43,34.0,2018
Glenn,0.0,0.0,2018
Humboldt,9.36,13.0,2018
Imperial,3.08,5.0,2018
Inyo,17.77,3.0,2018
Kern,8.75,77.0,2018
Kings,2.08,3.0,2018
Lake,18.52,18.0,2018
Lassen,9.28,3.0,2018
Los Angeles,3.54,385.0,2018
Madera,2.43,4.0,2018
Marin,2.15,5.0,2018
Mariposa,0.0,0.0,2018
Mendocino,12.39,13.0,2018
Merced,6.21,17.0,2018
Modoc,0.0,0.0,2018
Mono,0.0,0.0,2018
Monterey,0.86,4.0,2018
Napa,1.34,3.0,2018
Nevada,2.43,3.0,2018
Orange,5.43,185.0,2018
Placer,1.37,6.0,2018
Plumas,18.11,2.0,2018
Riverside,3.08,76.0,2018
Sacramento,3.45,52.0,2018
San Benito,3.22,2.0,2018
San Bernardino,2.46,52.0,2018
San Diego,5.45,196.0,2018
San Francisco,11.77,116.0,2018
San Joaquin,2.08,16.0,2018
San Luis Obispo,2.7,8.0,2018
San Mateo,4.49,36.0,2018
Santa Barbara,2.78,14.0,2018
Santa Clara,2.12,45.0,2018
Santa Cruz,4.24,11.0,2018
Shasta,2.65,4.0,2018
Sierra,0.0,0.0,2018
Siskiyou,3.62,2.0,2018
Solano,3.49,17.0,2018
Sonoma,6.41,31.0,2018
Stanislaus,4.63,28.0,2018
Sutter,5.26,5.0,2018
Tehama,3.52,2.0,2018
Trinity,7.47,2.0,2018
Tulare,1.5,6.0,2018
Tuolumne,0.0,0.0,2018
Unknown,,60.0,2018
Ventura,8.52,73.0,2018
Yolo,0.89,2.0,2018
Yuba,4.45,3.0,2018
Alameda,4.33,78.0,2019
Alpine,0.0,0.0,2019
Amador,7.81,5.0,2019
Butte,3.98,8.0,2019
Calaveras,4.74,3.0,2019
Colusa,15.66,3.0,2019
Contra Costa,6.61,76.0,2019
Del Norte,4.67,1.0,2019
El Dorado,3.4,6.0,2019
Fresno,3.95,39.0,2019
Glenn,0.0,0.0,2019
Humboldt,13.96,18.0,2019
Imperial,5.23,9.0,2019
Inyo,14.47,2.0,2019
Kern,9.95,91.0,2019
Kings,1.06,2.0,2019
Lake,21.86,15.0,2019
Lassen,16.33,5.0,2019
Los Angeles,5.28,554.0,2019
Madera,7.79,12.0,2019
Marin,6.41,15.0,2019
Mariposa,23.4,4.0,2019
Mendocino,16.82,15.0,2019
Merced,6.75,17.0,2019
Modoc,0.0,0.0,2019
Mono,0.0,0.0,2019
Monterey,2.7,12.0,2019
Napa,2.29,3.0,2019
Nevada,7.69,7.0,2019
Orange,6.28,212.0,2019
Placer,5.04,21.0,2019
Plumas,11.77,2.0,2019
Riverside,6.88,172.0,2019
Sacramento,5.95,95.0,2019
San Benito,7.98,5.0,2019
San Bernardino,4.58,99.0,2019
San Diego,6.46,227.0,2019
San Francisco,23.15,240.0,2019
San Joaquin,4.01,30.0,2019
San Luis Obispo,4.09,11.0,2019
San Mateo,7.26,60.0,2019
Santa Barbara,3.79,18.0,2019
Santa Clara,2.62,57.0,2019
Santa Cruz,6.61,19.0,2019
Shasta,7.98,13.0,2019
Sierra,0.0,0.0,2019
Siskiyou,5.98,2.0,2019
Solano,6.21,28.0,2019
Sonoma,12.14,61.0,2019
Stanislaus,6.34,34.0,2019
Sutter,1.71,2.0,2019
Tehama,1.02,1.0,2019
Trinity,19.65,2.0,2019
Tulare,2.52,12.0,2019
Tuolumne,1.6,2.0,2019
Unknown,,4.0,2019
Ventura,7.5,68.0,2019
Yolo,2.49,6.0,2019
Yuba,7.95,6.0,2019
Alameda,7.74,138.0,2020
Alpine,0.0,0.0,2020
Amador,13.07,4.0,2020
Butte,5.19,13.0,2020
Calaveras,7.0,2.0,2020
Colusa,14.72,3.0,2020
Contra Costa,11.45,130.0,2020
Del Norte,9.01,3.0,2020
El Dorado,11.72,22.0,2020
Fresno,6.14,62.0,2020
Glenn,10.47,2.0,2020
Humboldt,15.88,21.0,2020
Imperial,12.43,21.0,2020
Inyo,22.03,3.0,2020
Kern,21.0,193.0,2020
Kings,6.6,9.0,2020
Lake,16.18,11.0,2020
Lassen,13.49,5.0,2020
Los Angeles,10.56,1099.0,2020
Madera,4.31,6.0,2020
Marin,12.8,29.0,2020
Mariposa,3.87,1.0,2020
Mendocino,23.45,18.0,2020
Merced,9.34,27.0,2020
Modoc,0.0,0.0,2020
Mono,0.0,0.0,2020
Monterey,5.34,23.0,2020
Napa,3.96,6.0,2020
Nevada,28.21,26.0,2020
Orange,14.13,459.0,2020
Placer,10.59,38.0,2020
Plumas,6.28,1.0,2020
Riverside,12.89,323.0,2020
Sacramento,5.27,82.0,2020
San Benito,5.19,3.0,2020
San Bernardino,10.97,242.0,2020
San Diego,13.69,477.0,2020
San Francisco,41.94,419.0,2020
San Joaquin,10.36,79.0,2020
San Luis Obispo,16.3,45.0,2020
San Mateo,9.53,77.0,2020
Santa Barbara,3.0,14.0,2020
Santa Clara,6.07,121.0,2020
Santa Cruz,6.75,17.0,2020
Shasta,10.01,17.0,2020
Sierra,0.0,0.0,2020
Siskiyou,19.37,7.0,2020
Solano,8.06,35.0,2020
Sonoma,23.42,110.0,2020
Stanislaus,12.45,68.0,2020
Sutter,7.75,8.0,2020
Tehama,1.04,1.0,2020
Trinity,0.0,0.0,2020
Tulare,8.04,38.0,2020
Tuolumne,2.64,1.0,2020
Unknown,,99.0,2020
Ventura,14.6,120.0,2020
Yolo,2.96,8.0,2020
Yuba,7.35,6.0,2020
