SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,2020,000000,,,1,00-000010,Civilian Labor Force,"15,141,700","15,130,500","15,303,900","15,262,300","15,266,400","15,272,600","15,399,700","15,806,300","16,174,100","16,444,100","16,837,500","17,096,400","17,246,500","17,271,900","17,374,500","17,537,900","17,661,200","17,910,700","18,179,900","18,306,000","18,370,500","18,406,800","18,484,900","18,565,400","18,676,700","18,824,100","19,012,000","19,173,800","19,263,900","19,353,700","18,821,200",
2,2020,000000,,,1,00-000020,  Civilian Employment,"14,267,900","13,949,700","13,871,400","13,809,100","13,943,500","14,068,300","14,268,100","14,795,200","15,213,300","15,576,800","16,011,600","16,160,500","16,081,500","16,081,500","16,293,600","16,593,600","16,797,800","16,955,400","16,856,100","16,193,100","16,078,500","16,220,600","16,541,000","16,887,900","17,264,500","17,647,400","17,965,400","18,246,800","18,442,400","18,550,500","16,913,100",
3,2020,000000,,,1,00-000030,  Civilian Unemployment,"873,800","1,180,800","1,432,500","1,453,200","1,322,800","1,204,300","1,131,600","1,011,100","960,700","867,300","825,900","935,900","1,165,100","1,190,400","1,081,000","944,300","863,300","955,300","1,323,800","2,112,800","2,292,100","2,186,200","1,943,800","1,677,500","1,412,200","1,176,700","1,046,600","927,000","821,500","803,200","1,908,100",
4,2020,000000,,,1,00-000040,Civilian Unemployment Rate,5.8%,7.8%,9.4%,9.5%,8.7%,7.9%,7.3%,6.4%,5.9%,5.3%,4.9%,5.5%,6.8%,6.9%,6.2%,5.4%,4.9%,5.3%,7.3%,11.5%,12.5%,11.9%,10.5%,9.0%,7.6%,6.3%,5.5%,4.8%,4.3%,4.2%,10.1%,
8,2020,000000,"110000-813000, 920000",,2,01-000000,"Total, All Industries","12,903,500","12,749,200","12,559,800","12,457,900","12,592,300","12,851,500","13,214,100","13,615,500","14,095,000","14,498,600","14,995,500","15,099,900","14,973,600","14,951,000","15,135,300","15,424,000","15,701,700","15,845,500","15,689,400","14,810,900","14,666,200","14,824,200","15,161,400","15,563,600","15,992,500","16,474,600","16,906,000","17,249,700","17,594,400","17,853,100","16,547,900",
9,2020,000000,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"363,600","342,000","351,600","362,300","379,700","373,700","408,400","413,100","406,300","404,100","408,600","379,600","372,800","375,200","386,500","378,300","375,300","383,800","389,500","371,900","382,900","389,600","399,600","412,500","416,500","422,400","425,500","422,600","421,800","422,700","407,300",
10,2020,000000,"113000, 210000-813000, 92000",,1,00-000000,  Total Nonfarm,"12,539,900","12,407,200","12,208,100","12,095,600","12,212,600","12,477,800","12,805,700","13,202,400","13,688,700","14,094,400","14,587,000","14,720,200","14,600,800","14,575,700","14,748,800","15,045,700","15,326,400","15,461,700","15,300,000","14,439,000","14,283,300","14,434,700","14,761,700","15,151,100","15,576,000","16,052,200","16,480,600","16,827,000","17,172,600","17,430,400","16,140,500",
11,2020,000000,"113000, 210000-813000",,1,05-000000,    Total Private,"10,465,100","10,316,600","10,112,500","10,015,000","10,119,400","10,370,800","10,692,400","11,061,700","11,522,700","11,855,100","12,268,900","12,338,200","12,153,700","12,149,700","12,351,100","12,625,600","12,874,200","12,967,100","12,781,100","11,959,400","11,834,900","12,029,800","12,385,500","12,776,800","13,162,000","13,589,200","13,964,800","14,272,800","14,591,000","14,833,000","13,653,400",
12,2020,000000,,,1,06-000000,    Goods Producing,"2,648,500","2,489,500","2,319,800","2,188,100","2,189,900","2,244,800","2,318,400","2,406,100","2,497,800","2,539,500","2,614,500","2,586,500","2,430,800","2,362,400","2,394,900","2,432,800","2,448,200","2,383,500","2,243,500","1,933,200","1,832,400","1,842,600","1,878,800","1,928,400","1,983,800","2,061,700","2,107,900","2,144,800","2,206,600","2,234,500","2,136,700",
13,2020,000000,"10000000, 20000000",,1,15-000000,"     Mining, Logging and Construction","678,400","594,100","524,300","486,400","500,500","524,100","540,600","579,700","640,900","709,300","758,200","804,700","796,400","817,800","871,600","927,300","957,100","917,400","814,500","647,200","584,600","588,100","618,500","666,000","703,700","758,500","798,000","832,200","882,500","907,700","874,900",
