County,County_group,CPM_rate,CPM_rate_margin_ error,CPM_number,CPM_number_margin_error ,official_rate,official_rate_margin_error,CPM_child_rate,CPM_child_rate_margin_error,CPM_threshold,increase_no_safety,increase_no_safety_margin_error,increase_no_CalFresh ,increase_no_CalFresh_margin_error,increase_no_CalWorks_GA,increase_no_CalWorks_GA_margin_error,increase_no_EITC,increase_no_EITC_margin_error,increase_no_CTC,increase_no_CTC_margin_error,increase_no_CALEITC_YCTC,increase_no_CALEITC_YCTC_margin_error
Alameda,Alameda,14.1%,0.7," 229,400 "," 11,200 ",8.2%,0.6,14.5%,1.5,"$38,233",4.1,0.6,0.8,0.2,0.6,0.2,0.8,0.3,0.3,0.2,0.1,0.1
Alpine,Alpine/Amador/Calaveras/Inyo/Mariposa/Mono/Tuolumne,13.2%,2.7," 23,700 "," 4,800 ",10.9%,2.2,13.6%,5.9,"$29,198",5.0,1.3,1.0,0.7,0.4,0.4,0.9,0.7,0.4,0.5,0.1,0.3
Amador,Alpine/Amador/Calaveras/Inyo/Mariposa/Mono/Tuolumne,13.2%,2.7," 23,700 "," 4,800 ",10.9%,2.2,13.6%,5.9,"$29,198",5.0,1.3,1.0,0.7,0.4,0.4,0.9,0.7,0.4,0.5,0.1,0.3
Butte,Butte,17.9%,2.0," 39,000 "," 4,200 ",16.7%,2.0,11.6%,3.3,"$28,322",9.6,2.2,2.7,1.4,0.6,0.6,2.0,1.2,0.7,0.6,0.1,0.1
Calaveras,Alpine/Amador/Calaveras/Inyo/Mariposa/Mono/Tuolumne,13.2%,2.7," 23,700 "," 4,800 ",10.9%,2.2,13.6%,5.9,"$29,198",5.0,1.3,1.0,0.7,0.4,0.4,0.9,0.7,0.4,0.5,0.1,0.3
Colusa,Colusa/Glenn/Tehama/Trinity,14.3%,3.5," 17,800 "," 4,400 ",16.4%,3.6,14.7%,7.3,"$26,121",9.9,3.4,1.8,1.5,0.6,0.8,1.3,1.1,0.9,1.1,0.0,0.1
Contra Costa,Contra Costa,13.8%,1.2," 156,900 "," 13,300 ",8.2%,0.8,15.5%,2.2,"$37,303",4.1,0.8,1.0,0.4,0.5,0.3,1.0,0.4,0.8,0.4,0.0,0.1
Del Norte,Del Norte/Lassen/Modoc/Plumas/Siskiyou,12.8%,2.4," 14,900 "," 2,800 ",15.0%,2.5,11.2%,5.4,"$26,638",9.9,2.4,2.4,1.5,1.0,0.9,1.3,0.9,0.5,0.5,0.2,0.5
El Dorado,El Dorado,10.4%,2.0," 19,700 "," 3,800 ",8.3%,1.8,6.2%,3.1,"$30,986",3.3,1.3,1.3,1.2,0.4,0.6,0.7,0.7,0.4,0.5,0.0,0.1
Fresno,Fresno,17.2%,1.4," 167,600 "," 13,500 ",20.5%,1.4,17.8%,2.3,"$27,405",13.3,1.5,2.8,0.6,1.7,0.5,3.0,0.8,1.4,0.5,0.2,0.2
Glenn,Colusa/Glenn/Tehama/Trinity,14.3%,3.5," 17,800 "," 4,400 ",16.4%,3.6,14.7%,7.3,"$26,121",9.9,3.4,1.8,1.5,0.6,0.8,1.3,1.1,0.9,1.1,0.0,0.1
Humboldt,Humboldt,19.5%,3.1," 25,600 "," 4,100 ",20.5%,3.8,17.0%,7.0,"$28,701",8.3,3.1,1.3,0.7,0.5,0.5,1.6,1.0,0.7,1.0,0.0,0.1
Imperial,Imperial,19.5%,4.6," 33,400 "," 7,800 ",23.6%,5.0,22.9%,8.8,"$25,637",12.1,3.4,3.3,1.6,2.2,1.9,2.8,1.6,0.4,0.5,0.0,0.1
Inyo,Alpine/Amador/Calaveras/Inyo/Mariposa/Mono/Tuolumne,13.2%,2.7," 23,700 "," 4,800 ",10.9%,2.2,13.6%,5.9,"$29,198",5.0,1.3,1.0,0.7,0.4,0.4,0.9,0.7,0.4,0.5,0.1,0.3
Kern,Kern,16.7%,1.8," 145,000 "," 15,500 ",19.3%,1.7,18.3%,2.7,"$27,347",14.2,1.7,2.8,0.7,1.5,0.6,3.1,0.9,1.9,0.7,0.2,0.2
Kings,Kings,14.3%,2.9," 19,700 "," 4,000 ",18.2%,3.6,16.3%,5.4,"$26,626",10.5,3.4,2.7,1.7,0.7,0.8,3.5,2.1,1.4,1.1,0.4,0.7
