"GEO_ID","NAME","POP_BASE2020","POP_2020","POP_2021"
"id","Geographic Area Name","Estimates Base Population, April 1, 2020","Population Estimate, July 1, 2020","Population Estimate, July 1, 2021"
"0100000US","United States","331449281","331501080","331893745"
"0200000US1","Northeast Region","57609148","57525633","57159838"
"0200000US2","Midwest Region","68985454","68935174","68841444"
"0200000US3","South Region","126266107","126409007","127225329"
"0200000US4","West Region","78588572","78631266","78667134"
"0400000US40","Oklahoma","3959353","3962031","3986639"
"0400000US31","Nebraska","1961504","1961455","1963692"
"0400000US15","Hawaii","1455271","1451911","1441553"
"0400000US46","South Dakota","886667","887099","895376"
"0400000US47","Tennessee","6910840","6920119","6975218"
"0400000US32","Nevada","3104614","3114071","3143991"
"0400000US35","New Mexico","2117522","2117566","2115877"
"0400000US19","Iowa","3190369","3188669","3193079"
"0400000US20","Kansas","2937880","2935880","2934582"
"0400000US11","District of Columbia","689545","690093","670050"
"0400000US48","Texas","29145505","29217653","29527941"
"0400000US29","Missouri","6154913","6154481","6168187"
"0400000US05","Arkansas","3011524","3012232","3025891"
"0400000US26","Michigan","10077331","10067664","10050811"
"0400000US33","New Hampshire","1377529","1377848","1388992"
"0400000US37","North Carolina","10439388","10457177","10551162"
"0400000US39","Ohio","11799448","11790587","11780017"
"0400000US45","South Carolina","5118425","5130729","5190705"
"0400000US56","Wyoming","576851","577267","578803"
"0400000US06","California","39538223","39499738","39237836"
"0400000US38","North Dakota","779094","778962","774948"
"0400000US22","Louisiana","4657757","4651203","4624047"
"0400000US24","Maryland","6177224","6172679","6165129"
"0400000US10","Delaware","989948","991886","1003384"
"0400000US42","Pennsylvania","13002700","12989625","12964056"
"0400000US13","Georgia","10711908","10725800","10799566"
"0400000US41","Oregon","4237256","4241544","4246155"
"0400000US27","Minnesota","5706494","5707165","5707390"
"0400000US08","Colorado","5773714","5784308","5812069"
"0400000US34","New Jersey","9288994","9279743","9267130"
"0400000US21","Kentucky","4505836","4503958","4509394"
"0400000US53","Washington","7705281","7718785","7738692"
"0400000US23","Maine","1362359","1362280","1372247"
"0400000US50","Vermont","643077","642495","645570"
"0400000US16","Idaho","1839106","1847772","1900923"
"0400000US18","Indiana","6785528","6785644","6805985"
"0400000US30","Montana","1084225","1086193","1104271"
"0400000US36","New York","20201249","20154933","19835913"
"0400000US72","Puerto Rico","3285874","3281538","3263584"
"0400000US09","Connecticut","3605944","3600260","3605597"
"0400000US12","Florida","21538187","21569932","21781128"
"0400000US51","Virginia","8631393","8632044","8642274"
"0400000US25","Massachusetts","7029917","7022220","6984723"
"0400000US17","Illinois","12812508","12785245","12671469"
"0400000US28","Mississippi","2961279","2956870","2949965"
"0400000US04","Arizona","7151502","7177986","7276316"
"0400000US49","Utah","3271616","3281684","3337975"
"0400000US55","Wisconsin","5893718","5892323","5895908"
"0400000US01","Alabama","5024279","5024803","5039877"
"0400000US54","West Virginia","1793716","1789798","1782959"
"0400000US44","Rhode Island","1097379","1096229","1095610"
"0400000US02","Alaska","733391","732441","732673"
