"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Oakland Hayward Berkeley MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Alameda and  Contra Costa Counties),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,036084,,,1,00-000010,Civilian Labor Force,"1,307,600","1,308,900","1,314,100","1,309,800","1,303,700","1,305,300","1,313,000","1,306,800","1,313,800","1,306,000","1,308,300","1,303,900","1,300,000","1,300,700","1,306,500","1,301,500","1,304,400","1,311,800","1,322,600","1,321,700","1,323,500","1,325,000","1,322,600","1,323,400","1,316,500","1,322,700","1,326,500","1,318,900","1,323,100","1,329,700","1,341,900","1,334,800","1,337,400","1,340,900","1,338,300","1,341,000","1,336,300","1,334,900","1,333,700","1,328,400","1,332,900","1,335,600","1,348,800","1,339,000","1,341,100","1,333,900","1,336,400","1,329,600","1,329,700","1,337,200","1,341,400","1,329,200","1,338,300","1,344,200","1,356,400","1,348,900","1,349,500","1,354,900","1,357,600","1,350,100","1,351,900","1,354,500","1,358,100","1,354,900","1,363,100","1,363,400","1,373,200","1,368,500","1,365,200","1,368,400","1,370,900","1,371,500","1,370,800","1,379,400","1,384,700","1,374,600","1,376,500","1,382,500","1,394,800","1,389,100","1,393,900","1,394,200","1,392,200","1,387,700","1,391,800","1,396,600","1,401,200","1,387,100","1,389,400","1,393,800","1,407,000","1,399,300","1,405,800","1,398,700","1,398,100","1,394,500","1,390,600","1,400,900","1,403,400","1,393,400","1,397,700","1,401,000","1,412,300","1,400,000","1,406,000","1,405,100","1,405,700","1,405,200","1,400,600","1,408,200","1,408,200","1,389,700","1,391,700","1,395,000","1,409,300","1,401,300","1,405,100","1,400,600","1,400,500","1,399,300","1,395,500","1,402,200","1,393,200","1,332,200","1,333,000","1,353,900","1,350,800","1,337,900","1,330,500","1,353,300","1,334,200","1,344,100","1,336,900","1,351,800","1,343,100","1,323,300","1,332,600","1,339,500","1,353,000","1,344,400","1,345,700","1,352,200","1,355,900"
2,2020,036084,,,1,00-000020,  Civilian Employment,"1,155,400","1,159,300","1,163,100","1,164,500","1,162,800","1,158,600","1,161,600","1,157,100","1,169,800","1,163,900","1,163,400","1,165,500","1,155,900","1,160,300","1,166,500","1,169,000","1,173,000","1,170,000","1,180,000","1,181,800","1,188,100","1,192,700","1,195,700","1,199,700","1,189,400","1,196,200","1,200,700","1,202,900","1,206,300","1,204,600","1,214,300","1,212,600","1,225,100","1,228,500","1,230,200","1,233,900","1,222,300","1,227,500","1,229,900","1,232,900","1,237,400","1,230,700","1,243,200","1,238,400","1,245,700","1,238,800","1,246,200","1,245,200","1,240,100","1,247,400","1,251,700","1,252,700","1,260,800","1,261,600","1,268,300","1,264,100","1,272,300","1,279,000","1,283,400","1,282,200","1,276,800","1,283,000","1,287,900","1,290,100","1,298,100","1,294,200","1,301,500","1,300,900","1,303,400","1,305,500","1,309,300","1,312,700","1,308,200","1,317,300","1,321,000","1,315,700","1,322,200","1,318,300","1,328,900","1,324,900","1,333,400","1,334,000","1,336,000","1,333,300","1,331,000","1,338,700","1,345,300","1,336,700","1,340,900","1,337,900","1,348,700","1,342,600","1,356,500","1,351,400","1,351,700","1,350,600","1,341,700","1,353,900","1,357,900","1,353,000","1,360,300","1,354,100","1,365,500","1,354,500","1,364,700","1,362,600","1,363,800","1,362,700","1,350,400","1,363,400","1,362,000","1,351,700","1,354,500","1,350,200","1,361,900","1,356,200","1,366,200","1,359,700","1,359,600","1,360,400","1,350,900","1,360,100","1,343,600","1,134,800","1,147,600","1,178,700","1,189,300","1,196,800","1,201,800","1,239,300","1,242,700","1,242,200","1,238,800","1,259,100","1,255,700","1,238,600","1,251,800","1,248,900","1,264,100","1,259,200","1,273,600","1,283,200","1,296,500"
3,2020,036084,,,1,00-000030,  Civilian Unemployment,"152,200","149,600","151,000","145,400","140,900","146,700","151,400","149,800","144,000","142,100","144,800","138,400","144,100","140,400","140,000","132,500","131,500","141,700","142,500","139,800","135,400","132,300","126,800","123,700","127,100","126,500","125,800","115,900","116,800","125,200","127,700","122,200","112,200","112,400","108,000","107,100","113,900","107,400","103,800","95,500","95,600","104,900","105,600","100,600","95,400","95,100","90,200","84,500","89,600","89,800","89,700","76,500","77,500","82,500","88,000","84,700","77,200","75,900","74,300","68,000","75,100","71,500","70,200","64,700","65,100","69,200","71,700","67,500","61,800","62,900","61,500","58,800","62,700","62,100","63,600","58,900","54,300","64,200","65,900","64,200","60,500","60,200","56,200","54,400","60,900","57,900","55,900","50,400","48,500","56,000","58,300","56,700","49,300","47,300","46,300","43,900","48,900","46,900","45,500","40,500","37,300","46,900","46,800","45,500","41,200","42,600","42,000","42,500","50,100","44,800","46,300","37,900","37,200","44,700","47,400","45,100","38,900","40,900","40,900","38,900","44,600","42,100","49,600","197,500","185,300","175,100","161,500","141,100","128,700","114,100","91,500","101,900","98,100","92,700","87,400","84,700","80,800","90,600","89,000","85,200","72,100","68,900","59,400"
4,2020,036084,,,1,00-000040,Civilian Unemployment Rate,11.6%,11.4%,11.5%,11.1%,10.8%,11.2%,11.5%,11.5%,11.0%,10.9%,11.1%,10.6%,11.1%,10.8%,10.7%,10.2%,10.1%,10.8%,10.8%,10.6%,10.2%,10.0%,9.6%,9.3%,9.7%,9.6%,9.5%,8.8%,8.8%,9.4%,9.5%,9.2%,8.4%,8.4%,8.1%,8.0%,8.5%,8.0%,7.8%,7.2%,7.2%,7.9%,7.8%,7.5%,7.1%,7.1%,6.7%,6.4%,6.7%,6.7%,6.7%,5.8%,5.8%,6.1%,6.5%,6.3%,5.7%,5.6%,5.5%,5.0%,5.6%,5.3%,5.2%,4.8%,4.8%,5.1%,5.2%,4.9%,4.5%,4.6%,4.5%,4.3%,4.6%,4.5%,4.6%,4.3%,3.9%,4.6%,4.7%,4.6%,4.3%,4.3%,4.0%,3.9%,4.4%,4.1%,4.0%,3.6%,3.5%,4.0%,4.1%,4.1%,3.5%,3.4%,3.3%,3.1%,3.5%,3.4%,3.2%,2.9%,2.7%,3.4%,3.3%,3.2%,2.9%,3.0%,3.0%,3.0%,3.6%,3.2%,3.3%,2.7%,2.7%,3.2%,3.4%,3.2%,2.8%,2.9%,2.9%,2.8%,3.2%,3.0%,3.6%,14.8%,13.9%,12.9%,12.0%,10.5%,9.7%,8.4%,6.9%,7.6%,7.3%,6.9%,6.5%,6.4%,6.1%,6.8%,6.6%,6.3%,5.4%,5.1%,4.4%
8,2020,036084,"110000-813000, 920000",,1,01-000000,"Total, All Industries","965,300","966,200","971,900","973,200","979,900","982,100","963,500","959,600","973,400","978,500","982,900","982,900","963,600","966,400","971,700","979,800","983,500","987,200","982,900","983,300","986,300","993,600","997,400","999,200","984,300","988,100","994,200","1,004,400","1,012,000","1,017,200","1,010,100","1,012,800","1,014,900","1,024,300","1,032,600","1,034,700","1,015,400","1,021,900","1,027,500","1,034,500","1,040,100","1,039,500","1,035,700","1,039,300","1,041,700","1,052,300","1,058,200","1,056,000","1,038,300","1,044,700","1,049,500","1,058,600","1,065,500","1,069,500","1,060,700","1,064,300","1,065,900","1,074,500","1,084,900","1,085,500","1,069,100","1,073,600","1,082,000","1,090,900","1,096,600","1,100,000","1,099,000","1,102,300","1,103,800","1,115,600","1,122,400","1,124,900","1,106,800","1,114,700","1,117,300","1,131,000","1,134,400","1,135,800","1,134,800","1,136,700","1,142,100","1,153,400","1,158,900","1,158,800","1,137,000","1,143,800","1,153,600","1,154,900","1,163,000","1,168,000","1,159,300","1,161,200","1,164,800","1,175,100","1,179,100","1,182,000","1,160,500","1,169,600","1,174,900","1,177,900","1,183,900","1,187,600","1,177,700","1,181,700","1,181,900","1,189,300","1,194,300","1,196,600","1,170,800","1,178,200","1,183,400","1,185,300","1,191,500","1,195,400","1,187,800","1,192,400","1,190,200","1,196,200","1,206,100","1,207,100","1,187,400","1,195,100","1,185,300","1,005,200","1,032,100","1,059,400","1,056,100","1,064,200","1,069,900","1,084,300","1,092,100","1,093,300","1,074,600","1,084,500","1,091,700","1,093,100","1,100,500","1,102,200","1,094,100","1,099,500","1,103,600","1,117,200","1,124,900"
9,2020,036084,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"1,200","1,200","1,400","1,500","1,600","1,700","1,700","1,600","1,500","1,400","1,300","1,200","1,100","1,200","1,300","1,700","1,800","1,800","1,900","1,800","1,600","1,500","1,400","1,200","1,200","1,100","1,300","1,400","1,600","1,700","1,800","1,600","1,600","1,500","1,400","1,200","1,000","1,100","1,200","1,500","1,600","1,800","1,700","1,600","1,400","1,400","1,200","1,000","1,000","1,000","1,200","1,400","1,400","1,600","1,600","1,500","1,400","1,200","1,100","1,000",900,900,"1,100","1,200","1,200","1,300","1,500","1,400","1,200","1,200","1,100","1,000",900,"1,000","1,000","1,300","1,500","1,700","1,800","1,500","1,500","1,400","1,200","1,000",900,"1,000","1,100","1,300","1,500","1,800","1,800","1,700","1,500","1,500","1,300","1,200","1,000","1,100","1,100","1,200","1,500","1,600","1,600","1,500","1,500","1,500","1,200","1,100","1,000","1,100","1,200","1,300","1,500","1,700","1,700","1,700","1,600","1,600","1,400","1,200","1,200","1,300","1,400","1,300","1,600","1,700","1,700","1,700","1,600","1,500","1,400","1,300","1,200","1,300","1,400","1,500","1,700","1,800","1,900","1,900","1,800","1,700","1,600"
