"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Riverside County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000065,,,1,00-000010,Civilian Labor Force,"977,200","977,900","983,300","979,000","972,700","977,400","978,500","978,200","974,400","974,800","980,700","979,200","976,800","975,800","979,700","970,600","968,800","975,800","975,400","975,800","978,200","981,600","983,900","985,200","985,400","986,200","988,100","978,400","979,500","986,100","985,300","980,900","982,300","990,100","990,700","989,900","997,700","993,300","992,500","985,400","987,900","994,200","992,300","989,000","993,900","992,500","999,800","997,800","1,001,600","1,004,900","1,009,400","995,400","999,500","1,002,800","1,006,800","1,006,400","1,009,900","1,019,400","1,029,200","1,024,600","1,030,000","1,029,100","1,030,300","1,024,100","1,029,000","1,028,900","1,030,700","1,029,200","1,029,300","1,038,800","1,049,700","1,052,400","1,049,300","1,048,500","1,053,800","1,043,300","1,042,700","1,047,100","1,050,700","1,049,100","1,054,500","1,058,700","1,062,200","1,059,400","1,069,800","1,067,500","1,071,900","1,060,300","1,060,500","1,064,700","1,071,000","1,069,200","1,078,700","1,077,000","1,087,100","1,081,400","1,085,800","1,088,500","1,089,800","1,080,400","1,081,300","1,086,100","1,091,600","1,081,300","1,090,800","1,097,000","1,105,100","1,103,900","1,107,400","1,105,800","1,106,400","1,092,800","1,091,700","1,096,400","1,104,400","1,099,100","1,104,300","1,114,200","1,124,000","1,121,900","1,119,600","1,121,100","1,115,800","1,088,600","1,090,100","1,111,800","1,106,800","1,098,700","1,096,200","1,121,000","1,106,600","1,116,200","1,106,000","1,121,000","1,112,300","1,098,000","1,105,000","1,116,000","1,123,600","1,113,200","1,116,900","1,125,600","1,131,100"
2,2020,000065,,,1,00-000020,  Civilian Employment,"835,800","836,700","841,900","845,200","841,400","839,800","833,700","834,500","835,500","836,700","842,200","846,300","840,400","842,400","848,000","845,000","844,300","840,300","836,000","839,100","844,900","851,200","860,300","863,700","861,900","863,100","867,100","867,000","866,800","863,500","858,600","859,300","870,100","878,000","884,300","885,200","887,200","888,000","890,800","890,900","893,900","889,700","885,600","885,600","895,800","895,000","908,400","910,600","910,700","914,000","918,400","916,700","920,500","917,900","915,100","916,900","928,600","940,100","952,600","954,100","953,500","955,800","958,300","957,400","962,400","957,000","954,000","956,400","962,200","972,200","985,500","991,200","985,300","984,500","988,600","982,400","985,600","978,800","978,600","978,100","987,000","993,400","1,002,000","1,001,900","1,005,900","1,006,300","1,012,600","1,007,200","1,009,900","1,005,800","1,008,800","1,006,900","1,022,800","1,024,100","1,035,700","1,033,100","1,033,200","1,037,900","1,040,400","1,036,600","1,040,800","1,034,900","1,039,000","1,028,500","1,042,800","1,048,500","1,058,300","1,056,900","1,054,200","1,057,900","1,057,300","1,051,900","1,051,800","1,048,000","1,052,200","1,047,700","1,059,000","1,067,500","1,078,400","1,078,700","1,071,900","1,075,900","1,062,900","914,300","919,000","959,700","961,100","970,800","979,500","1,016,400","1,021,500","1,019,600","1,011,200","1,031,300","1,028,000","1,015,800","1,026,500","1,027,400","1,035,100","1,028,200","1,043,300","1,055,000","1,070,000"
3,2020,000065,,,1,00-000030,  Civilian Unemployment,"141,400","141,200","141,400","133,800","131,300","137,600","144,700","143,700","138,900","138,100","138,600","132,900","136,400","133,400","131,700","125,600","124,500","135,500","139,400","136,700","133,300","130,500","123,600","121,500","123,500","123,100","121,000","111,400","112,700","122,600","126,700","121,600","112,200","112,100","106,400","104,700","110,500","105,300","101,700","94,400","94,000","104,500","106,700","103,300","98,100","97,500","91,500","87,200","90,900","91,000","91,000","78,700","79,000","84,900","91,700","89,500","81,300","79,300","76,600","70,500","76,500","73,200","72,000","66,700","66,700","71,900","76,800","72,800","67,100","66,600","64,200","61,200","64,000","64,100","65,100","60,900","57,100","68,300","72,100","71,000","67,500","65,300","60,200","57,500","63,900","61,200","59,300","53,100","50,600","58,900","62,200","62,300","55,900","53,000","51,400","48,200","52,500","50,700","49,500","43,700","40,500","51,200","52,600","52,800","47,900","48,500","46,800","47,000","53,300","48,000","49,100","40,900","39,900","48,400","52,100","51,400","45,300","46,800","45,500","43,300","47,700","45,200","52,900","174,300","171,100","152,100","145,800","127,900","116,600","104,600","85,100","96,600","94,800","89,700","84,300","82,200","78,500","88,600","88,500","85,000","73,600","70,600","61,100"
4,2020,000065,,,1,00-000040,Civilian Unemployment Rate,14.5%,14.4%,14.4%,13.7%,13.5%,14.1%,14.8%,14.7%,14.3%,14.2%,14.1%,13.6%,14.0%,13.7%,13.4%,12.9%,12.8%,13.9%,14.3%,14.0%,13.6%,13.3%,12.6%,12.3%,12.5%,12.5%,12.2%,11.4%,11.5%,12.4%,12.9%,12.4%,11.4%,11.3%,10.7%,10.6%,11.1%,10.6%,10.2%,9.6%,9.5%,10.5%,10.8%,10.4%,9.9%,9.8%,9.1%,8.7%,9.1%,9.1%,9.0%,7.9%,7.9%,8.5%,9.1%,8.9%,8.0%,7.8%,7.4%,6.9%,7.4%,7.1%,7.0%,6.5%,6.5%,7.0%,7.4%,7.1%,6.5%,6.4%,6.1%,5.8%,6.1%,6.1%,6.2%,5.8%,5.5%,6.5%,6.9%,6.8%,6.4%,6.2%,5.7%,5.4%,6.0%,5.7%,5.5%,5.0%,4.8%,5.5%,5.8%,5.8%,5.2%,4.9%,4.7%,4.5%,4.8%,4.7%,4.5%,4.0%,3.7%,4.7%,4.8%,4.9%,4.4%,4.4%,4.2%,4.3%,4.8%,4.3%,4.4%,3.7%,3.7%,4.4%,4.7%,4.7%,4.1%,4.2%,4.1%,3.9%,4.3%,4.0%,4.7%,16.0%,15.7%,13.7%,13.2%,11.6%,10.6%,9.3%,7.7%,8.7%,8.6%,8.0%,7.6%,7.5%,7.1%,7.9%,7.9%,7.6%,6.6%,6.3%,5.4%
8,2020,000065,"110000-813000, 920000",,1,01-000000,"Total, All Industries","545,800","545,100","549,800","554,400","556,900","559,300","537,800","538,800","542,300","548,300","555,900","556,100","559,600","561,300","565,300","567,200","566,300","565,700","546,200","551,500","556,200","562,400","570,800","569,400","565,700","566,700","571,300","574,900","577,300","577,100","561,400","567,300","572,300","576,700","586,200","586,100","587,000","589,900","596,600","598,900","601,400","601,400","583,700","591,400","598,900","607,000","619,100","618,600","618,000","620,900","625,400","628,600","632,300","630,300","612,500","620,600","627,200","633,700","643,600","643,700","643,100","646,900","651,800","655,100","659,200","654,700","643,300","653,400","658,400","670,100","679,200","679,200","676,200","678,200","685,000","690,000","690,800","686,300","676,700","681,000","686,000","695,000","706,100","708,900","699,300","700,200","708,900","717,200","718,600","718,900","708,500","712,000","720,600","730,300","744,300","742,200","735,900","739,800","742,100","747,600","750,100","751,300","739,000","737,100","744,800","757,400","768,700","768,400","759,000","759,400","765,500","760,700","763,200","765,200","755,300","758,100","759,800","775,300","789,600","787,100","780,100","783,400","775,100","657,400","669,900","708,000","698,400","702,500","710,800","726,700","733,200","731,100",,,,,,,,,,,
9,2020,000065,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"12,000","10,100","12,800","13,000","12,600","18,500","13,400","10,300","10,500","11,300","11,400","13,000","13,000","11,500","12,900","13,000","12,500","16,500","12,600","10,400","10,500","11,300","11,900","13,100","12,400","10,500","12,100","12,900","14,500","17,700","13,000","10,200","11,000","11,400","11,700","13,100","12,300","10,300","12,400","12,400","14,600","16,100","12,200","9,400","10,400","10,600","11,300","12,600","12,400","12,100","12,900","12,000","14,400","15,000","11,400","9,000","10,300","10,500","10,500","12,000","12,400","11,800","13,400","13,200","15,100","16,200","12,000","9,900","11,200","11,200","12,000","12,600","12,600","11,300","13,100","14,000","15,000","16,800","12,600","10,500","11,700","12,100","11,400","12,600","11,900","10,700","12,300","13,100","13,800","16,700","13,700","9,700","10,800","11,100","11,700","12,000","12,300","11,300","11,600","12,200","13,700","15,800","14,400","9,200","10,600","11,500","12,300","12,500","12,300","12,000","12,900","12,500","14,100","17,100","14,800","10,200","10,700","12,300","13,200","13,000","12,700","11,900","11,800","10,600","13,000","14,700","13,200","10,500","10,600","11,200","11,700","11,500",,,,,,,,,,,
