"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,San Bernardino County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000071,,,1,00-000010,Civilian Labor Force,"890,800","892,000","895,500","892,500","887,300","887,400","891,200","892,000","888,900","889,300","896,400","893,700","886,700","886,200","888,900","881,000","880,700","883,800","884,700","886,100","888,700","891,800","894,500","894,900","890,400","892,300","893,500","884,500","884,600","888,400","889,400","886,700","888,100","896,000","896,800","895,500","897,500","895,000","893,400","887,000","888,100","892,800","892,300","889,900","894,200","893,900","900,800","898,500","897,500","900,200","903,900","892,900","895,100","897,400","901,000","899,900","903,000","912,300","922,200","918,300","916,100","916,000","916,200","911,900","914,900","914,600","915,800","914,300","914,900","924,600","934,800","937,700","928,700","928,400","932,200","923,100","922,500","925,100","928,500","926,900","932,000","936,300","940,600","938,600","941,700","940,400","943,800","933,400","933,500","935,500","941,800","940,100","947,700","946,500","956,400","951,500","950,900","954,400","955,300","947,700","948,300","951,900","956,400","946,800","954,700","959,700","967,600","966,900","966,100","965,500","965,600","954,900","953,600","956,300","963,300","958,700","963,400","971,700","981,100","980,000","978,100","980,400","975,700","935,000","937,200","965,300","964,000","960,700","959,900","984,400","972,600","981,200","969,800","984,800","976,800","964,600","970,200","978,600","985,300","977,400","980,500","988,100","993,200"
2,2020,000071,,,1,00-000020,  Civilian Employment,"764,400","766,600","769,000","772,300","769,200","763,400","762,100","766,000","766,800","767,400","772,900","775,100","764,400","767,600","771,600","768,900","768,600","762,300","761,400","766,500","772,300","777,300","785,200","787,300","780,700","783,400","785,900","785,200","783,500","778,100","777,500","780,700","790,200","797,400","802,400","802,100","798,300","801,100","802,400","802,400","803,200","798,400","797,700","800,000","809,000","808,700","820,200","821,300","816,600","819,700","823,300","822,800","824,700","821,700","821,100","824,200","834,000","844,400","855,900","857,100","849,600","852,600","853,700","853,500","856,400","851,700","851,200","854,200","859,400","868,500","880,500","885,700","874,300","874,300","877,000","871,200","873,600","866,700","868,900","869,600","877,400","882,600","890,600","890,400","888,300","889,200","893,900","888,800","890,800","885,500","889,700","890,200","903,400","904,000","914,600","912,200","907,700","912,500","914,700","911,500","914,500","909,100","913,200","905,900","917,600","921,700","930,300","929,300","922,700","926,600","925,700","921,700","920,900","916,400","920,700","919,000","928,700","935,500","945,000","945,600","939,400","943,800","932,500","802,200","805,300","840,300","841,800","851,900","859,400","891,500","896,200","894,700","886,400","905,000","901,100","891,100","899,900","899,500","907,000","902,900","915,600","925,400","938,800"
3,2020,000071,,,1,00-000030,  Civilian Unemployment,"126,500","125,400","126,500","120,200","118,000","124,000","129,100","125,900","122,100","121,900","123,600","118,600","122,300","118,600","117,300","112,100","112,100","121,500","123,300","119,700","116,500","114,500","109,300","107,600","109,700","108,900","107,600","99,300","101,100","110,300","111,900","106,100","97,900","98,600","94,400","93,400","99,200","93,800","91,000","84,600","84,900","94,500","94,700","89,900","85,200","85,200","80,600","77,100","80,900","80,500","80,500","70,000","70,400","75,700","79,900","75,700","69,000","67,900","66,400","61,200","66,600","63,400","62,500","58,400","58,500","62,900","64,600","60,000","55,500","56,100","54,300","51,900","54,400","54,100","55,300","51,900","48,900","58,400","59,700","57,200","54,600","53,700","50,000","48,200","53,400","51,200","49,900","44,600","42,700","50,000","52,100","50,000","44,300","42,500","41,700","39,300","43,200","41,900","40,600","36,200","33,700","42,700","43,300","40,900","37,100","38,000","37,300","37,600","43,300","38,900","39,900","33,200","32,700","39,900","42,600","39,700","34,700","36,200","36,100","34,400","38,600","36,600","43,100","132,800","131,900","125,100","122,300","108,800","100,500","92,900","76,400","86,600","83,400","79,800","75,700","73,400","70,300","79,000","78,300","74,600","64,900","62,600","54,400"
4,2020,000071,,,1,00-000040,Civilian Unemployment Rate,14.2%,14.1%,14.1%,13.5%,13.3%,14.0%,14.5%,14.1%,13.7%,13.7%,13.8%,13.3%,13.8%,13.4%,13.2%,12.7%,12.7%,13.7%,13.9%,13.5%,13.1%,12.8%,12.2%,12.0%,12.3%,12.2%,12.0%,11.2%,11.4%,12.4%,12.6%,12.0%,11.0%,11.0%,10.5%,10.4%,11.1%,10.5%,10.2%,9.5%,9.6%,10.6%,10.6%,10.1%,9.5%,9.5%,8.9%,8.6%,9.0%,8.9%,8.9%,7.8%,7.9%,8.4%,8.9%,8.4%,7.6%,7.4%,7.2%,6.7%,7.3%,6.9%,6.8%,6.4%,6.4%,6.9%,7.1%,6.6%,6.1%,6.1%,5.8%,5.5%,5.9%,5.8%,5.9%,5.6%,5.3%,6.3%,6.4%,6.2%,5.9%,5.7%,5.3%,5.1%,5.7%,5.4%,5.3%,4.8%,4.6%,5.3%,5.5%,5.3%,4.7%,4.5%,4.4%,4.1%,4.5%,4.4%,4.2%,3.8%,3.6%,4.5%,4.5%,4.3%,3.9%,4.0%,3.9%,3.9%,4.5%,4.0%,4.1%,3.5%,3.4%,4.2%,4.4%,4.1%,3.6%,3.7%,3.7%,3.5%,3.9%,3.7%,4.4%,14.2%,14.1%,13.0%,12.7%,11.3%,10.5%,9.4%,7.9%,8.8%,8.6%,8.1%,7.7%,7.6%,7.2%,8.1%,7.9%,7.6%,6.6%,6.3%,5.5%
8,2020,000071,"110000-813000, 920000",,1,01-000000,"Total, All Industries","610,500","610,300","614,900","618,500","619,500","619,900","609,300","612,400","610,200","618,800","625,000","628,500","600,300","601,300","603,700","605,600","605,800","604,700","604,200","604,400","606,000","612,300","619,700","622,500","614,100","613,600","616,400","623,600","626,400","628,700","620,500","622,200","623,200","638,200","646,700","645,700","635,500","637,400","639,100","642,200","645,800","646,700","641,100","645,500","647,800","658,500","668,300","671,400","653,800","657,000","661,100","665,600","666,900","668,400","667,100","672,200","678,000","692,200","709,900","715,400","694,200","692,000","695,900","699,000","701,600","705,800","705,200","706,000","707,400","724,000","740,900","748,600","720,300","716,100","714,900","723,400","724,700","721,700","715,600","722,700","728,200","736,700","749,300","751,200","739,000","739,000","744,500","738,900","746,200","748,900","742,000","747,000","751,100","763,500","775,000","776,200","761,400","762,300","766,000","765,600","768,000","770,200","765,200","769,500","772,600","783,100","793,300","795,200","780,400","778,900","781,200","795,600","796,600","799,500","795,600","800,100","799,800","815,500","833,400","834,900","816,700","817,700","813,300","723,300","734,600","760,800","755,200","768,800","774,500","788,800","795,700","795,400",,,,,,,,,,,
9,2020,000071,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"2,100","2,300","2,200","2,400","2,500","2,600","2,700","2,700","2,800","2,900","3,000","3,000","2,300","2,300","2,300","2,500","2,500","2,600","2,500","2,400","2,500","2,600","2,500","2,400","2,300","2,300","2,400","2,500","2,600","2,600","2,500","2,500","2,500","2,500","2,200","2,200","2,300","2,400","2,400","2,400","2,500","2,600","2,500","2,300","2,300","2,400","2,500","2,400","2,200","2,300","2,400","2,300","2,700","2,500","2,600","2,500","2,800","2,800","2,800","2,700","2,000","2,200","2,100","2,000","2,100","2,200","2,400","2,500","2,500","2,300","2,100","2,000","2,000","2,100","2,000","2,200","2,400","2,200","1,700","1,400","1,500","1,600","1,500","1,600","2,000","2,100","2,100","2,100","2,100","2,200","2,100","2,100","2,300","2,300","2,300","2,300","2,300","2,200","2,200","2,100","2,100","2,100","1,600","2,400","2,500","2,400","2,400","2,300","2,300","2,300","2,400","2,600","2,500","2,500","2,500","2,500","2,400","2,500","2,500","2,400","2,100","2,100","2,000","2,200","2,400","2,300","2,100","1,700","1,700","1,700","1,800","1,800",,,,,,,,,,,
