"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Santa Maria Santa Barbara MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Santa Barbara County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,042200,,,1,00-000010,Civilian Labor Force,"207,000","208,200","210,200","214,700","215,300","215,500","216,100","214,600","211,400","212,200","213,200","208,900","206,900","208,300","209,700","212,500","215,400","216,000","216,400","215,200","213,400","213,000","213,900","210,000","208,500","211,500","214,000","215,300","218,200","219,100","217,900","216,600","215,800","217,700","216,600","214,500","213,600","214,000","216,800","218,200","219,800","220,100","218,000","216,100","215,700","216,300","216,700","213,100","212,500","215,700","220,200","218,200","219,200","219,100","218,300","217,400","216,200","218,100","218,300","214,800","214,400","217,000","218,600","218,900","220,300","219,200","218,800","217,300","216,500","216,000","215,200","213,700","213,000","214,800","217,500","216,200","216,300","217,100","217,100","215,500","214,800","214,700","214,700","211,300","211,500","212,900","214,700","216,800","216,600","217,400","217,400","215,500","216,700","215,800","215,500","210,500","209,600","214,700","215,000","215,300","217,200","218,200","217,100","215,100","215,500","217,000","215,400","212,800","218,200","220,100","222,200","223,100","222,700","224,400","224,000","221,400","222,000","224,400","223,300","221,500","219,200","222,000","222,700","214,300","215,600","216,800","219,400","216,300","215,700","219,300","215,800","213,100","210,900","213,600","214,400","216,200","219,400","221,600","221,900","220,700","221,500","221,200","220,600"
2,2020,042200,,,1,00-000020,  Civilian Employment,"183,900","185,800","187,500","194,500","196,300","195,200","195,000","194,000","191,200","191,800","191,800","187,300","184,400","186,600","188,100","193,100","196,800","195,400","195,800","195,100","193,700","193,400","194,700","190,000","187,800","191,000","193,900","197,500","200,800","200,300","199,000","198,700","199,200","200,800","199,800","196,800","194,300","196,000","199,700","203,500","205,500","203,900","201,800","200,800","201,200","201,600","201,900","198,500","196,400","199,800","204,900","206,000","207,300","206,300","204,500","204,200","204,000","205,800","205,400","201,900","200,000","203,500","206,100","208,100","209,800","208,000","207,300","206,500","206,700","205,400","203,900","201,800","200,100","202,200","205,200","206,000","207,300","206,400","206,300","205,100","204,800","204,700","204,400","199,500","198,400","200,300","203,000","207,500","208,400","207,900","207,600","206,300","208,400","207,600","206,800","201,200","198,400","203,900","204,800","207,200","210,400","209,900","208,800","207,100","208,300","209,600","207,800","203,800","206,900","209,800","212,000","215,600","216,200","216,700","216,000","214,000","215,400","217,400","216,000","213,300","209,100","212,200","211,700","184,300","188,900","193,600","198,400","198,400","199,500","204,800","203,500","197,600","194,600","198,300","200,300","203,400","207,700","208,500","209,200","208,600","211,400","211,400","212,000"
3,2020,042200,,,1,00-000030,  Civilian Unemployment,"23,100","22,500","22,700","20,100","19,000","20,300","21,100","20,600","20,200","20,300","21,500","21,600","22,600","21,700","21,500","19,400","18,700","20,600","20,600","20,100","19,700","19,600","19,200","19,900","20,700","20,500","20,100","17,800","17,400","18,800","18,900","18,000","16,600","17,000","16,800","17,800","19,300","18,000","17,100","14,800","14,300","16,200","16,200","15,300","14,500","14,800","14,700","14,600","16,100","15,900","15,300","12,200","11,900","12,900","13,800","13,200","12,200","12,300","12,900","12,900","14,400","13,500","12,600","10,800","10,500","11,100","11,500","10,800","9,900","10,600","11,400","11,900","12,900","12,700","12,300","10,200","9,000","10,700","10,800","10,400","9,900","10,100","10,300","11,800","13,100","12,600","11,700","9,300","8,200","9,400","9,700","9,300","8,300","8,200","8,700","9,200","11,200","10,700","10,200","8,100","6,800","8,400","8,300","7,900","7,100","7,400","7,600","9,000","11,300","10,300","10,200","7,500","6,500","7,600","8,000","7,400","6,600","7,100","7,400","8,200","10,200","9,800","11,000","29,900","26,700","23,200","21,000","17,900","16,100","14,500","12,300","15,500","16,400","15,300","14,100","12,800","11,800","13,100","12,700","12,000","10,100","9,800","8,600"
4,2020,042200,,,1,00-000040,Civilian Unemployment Rate,11.1%,10.8%,10.8%,9.4%,8.8%,9.4%,9.8%,9.6%,9.6%,9.6%,10.1%,10.3%,10.9%,10.4%,10.3%,9.1%,8.7%,9.5%,9.5%,9.3%,9.2%,9.2%,9.0%,9.5%,9.9%,9.7%,9.4%,8.3%,8.0%,8.6%,8.7%,8.3%,7.7%,7.8%,7.8%,8.3%,9.0%,8.4%,7.9%,6.8%,6.5%,7.3%,7.4%,7.1%,6.7%,6.8%,6.8%,6.9%,7.6%,7.4%,6.9%,5.6%,5.4%,5.9%,6.3%,6.1%,5.6%,5.6%,5.9%,6.0%,6.7%,6.2%,5.7%,4.9%,4.8%,5.1%,5.2%,5.0%,4.6%,4.9%,5.3%,5.6%,6.1%,5.9%,5.7%,4.7%,4.1%,4.9%,5.0%,4.8%,4.6%,4.7%,4.8%,5.6%,6.2%,5.9%,5.5%,4.3%,3.8%,4.3%,4.5%,4.3%,3.8%,3.8%,4.0%,4.4%,5.3%,5.0%,4.7%,3.8%,3.1%,3.8%,3.8%,3.7%,3.3%,3.4%,3.5%,4.2%,5.2%,4.7%,4.6%,3.3%,2.9%,3.4%,3.6%,3.3%,3.0%,3.1%,3.3%,3.7%,4.6%,4.4%,4.9%,14.0%,12.4%,10.7%,9.6%,8.3%,7.5%,6.6%,5.7%,7.3%,7.8%,7.2%,6.6%,5.9%,5.4%,5.9%,5.7%,5.5%,4.6%,4.4%,3.9%
8,2020,042200,"110000-813000, 920000",,1,01-000000,"Total, All Industries","173,100","174,900","177,200","185,800","189,800","189,600","186,000","185,100","182,300","184,600","185,100","179,400","174,200","176,500","177,900","185,000","189,500","189,500","187,700","187,000","185,300","185,200","186,200","180,400","176,300","179,600","182,900","189,400","194,200","195,300","191,200","191,900","190,900","193,100","192,700","189,200","184,000","186,600","191,600","197,000","199,600","199,500","194,800","195,400","194,900","198,100","198,400","193,800","188,700","192,600","199,000","201,900","203,500","203,100","199,100","200,300","199,400","201,300","201,200","197,800","192,900","197,100","200,900","204,500","206,400","205,900","204,300","204,300","204,600","204,900","203,100","200,000","195,400","197,500","201,100","205,600","206,900","207,100","205,900","205,500","204,800","205,900","205,700","200,200","194,900","197,400","201,300","208,500","210,600","211,800","208,400","208,400","209,100","209,400","209,700","203,900","198,600","205,000","206,600","212,500","216,400","217,400","214,300","214,600","214,500","218,600","216,500","212,100","205,800","208,500","212,500","219,500","221,100","223,800","220,400","220,300","219,500","223,500","223,100","218,900","211,800","215,100","216,000","190,700","198,600","203,700","206,600","206,600","208,300","209,100","207,800","200,500","193,300","195,700","201,000","208,600","212,900","215,700","213,000","214,500","216,100","215,800","215,200"
9,2020,042200,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"12,300","12,800","14,100","21,500","23,100","23,300","22,500","21,600","20,100","19,300","19,000","14,000","13,100","12,800","13,700","19,600","22,600","22,100","22,900","21,400","20,500","18,500","18,400","13,100","12,400","12,700","15,000","19,800","22,600","23,400","22,300","22,100","21,600","19,800","18,600","15,200","13,700","13,500","16,900","21,400","23,300","22,800","21,700","21,300","20,900","20,600","19,800","16,000","14,700","16,300","20,900","23,200","23,900","24,100","23,300","23,300","22,600","21,700","20,600","17,000","16,000","17,200","20,300","22,300","23,300","23,600","23,700","22,700","23,100","22,500","19,700","17,400","15,700","16,300","19,300","22,800","23,300","23,400","23,800","23,600","23,400","22,000","20,900","16,300","14,300","15,000","18,400","23,500","24,500","25,600","25,200","24,900","25,200","23,700","22,200","18,400","15,800","18,600","20,000","23,500","25,600","26,900","26,100","25,900","25,600","25,800","22,800","17,700","15,600","16,700","19,200","25,300","27,500","28,900","29,100","28,700","27,900","26,800","24,600","18,800","16,300","18,000","20,300","24,700","29,200","30,200","30,100","29,400","29,000","26,700","24,400","18,800","16,200","17,700","20,500","25,100","28,500","29,700","30,100","29,700","29,400","27,200","24,800"
