"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Sierra County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000091,,,1,00-000010,Civilian Labor Force,"1,490","1,540","1,540","1,600","1,660","1,740","1,690","1,690","1,650","1,620","1,590","1,540","1,610","1,590","1,600","1,550","1,610","1,660","1,650","1,680","1,670","1,610","1,510","1,460","1,430","1,450","1,430","1,390","1,440","1,570","1,530","1,510","1,510","1,510","1,430","1,410","1,440","1,410","1,410","1,410","1,440","1,520","1,490","1,490","1,460","1,480","1,410","1,420","1,420","1,430","1,420","1,390","1,430","1,480","1,430","1,420","1,420","1,410","1,340","1,340","1,380","1,330","1,310","1,340","1,400","1,410","1,370","1,360","1,400","1,390","1,320","1,340","1,320","1,320","1,340","1,310","1,320","1,390","1,350","1,330","1,390","1,360","1,300","1,290","1,280","1,290","1,290","1,260","1,300","1,320","1,310","1,310","1,330","1,310","1,250","1,250","1,230","1,260","1,260","1,230","1,290","1,330","1,290","1,280","1,310","1,330","1,250","1,260","1,250","1,270","1,280","1,270","1,330","1,350","1,380","1,350","1,400","1,370","1,340","1,340","1,310","1,310","1,300","1,210","1,230","1,300","1,260","1,280","1,310","1,330","1,290","1,270","1,260","1,300","1,300","1,280","1,330","1,390","1,410","1,390","1,410","1,390","1,360"
2,2020,000091,,,1,00-000020,  Civilian Employment,"1,200","1,220","1,240","1,330","1,420","1,510","1,480","1,480","1,430","1,400","1,340","1,280","1,310","1,290","1,320","1,290","1,370","1,420","1,410","1,460","1,460","1,410","1,300","1,250","1,180","1,190","1,180","1,160","1,240","1,350","1,320","1,310","1,340","1,330","1,250","1,190","1,200","1,170","1,170","1,200","1,250","1,340","1,320","1,330","1,320","1,320","1,250","1,250","1,230","1,230","1,230","1,230","1,290","1,350","1,300","1,300","1,310","1,300","1,230","1,200","1,210","1,160","1,150","1,220","1,280","1,300","1,260","1,260","1,310","1,300","1,220","1,230","1,190","1,190","1,210","1,200","1,230","1,290","1,260","1,250","1,300","1,270","1,220","1,180","1,170","1,170","1,180","1,160","1,220","1,240","1,230","1,230","1,260","1,250","1,190","1,170","1,140","1,150","1,160","1,150","1,230","1,260","1,210","1,210","1,250","1,260","1,190","1,180","1,160","1,170","1,180","1,190","1,260","1,290","1,310","1,290","1,340","1,320","1,290","1,270","1,220","1,220","1,200","1,040","1,090","1,170","1,150","1,180","1,220","1,260","1,220","1,180","1,170","1,200","1,200","1,190","1,270","1,320","1,340","1,320","1,350","1,330","1,300"
3,2020,000091,,,1,00-000030,  Civilian Unemployment,300,320,300,270,240,230,210,210,220,220,250,260,290,290,280,260,240,240,240,230,210,200,210,210,260,260,250,240,210,210,200,200,170,180,180,210,240,240,240,210,180,180,170,160,140,150,160,170,190,200,190,160,140,130,130,120,110,110,120,140,160,160,160,130,120,120,110,100,90,90,100,110,130,130,130,110,90,100,90,90,80,80,80,110,120,120,110,100,80,70,80,80,70,70,60,70,90,110,100,80,60,70,70,70,60,70,70,70,90,100,100,80,70,70,70,60,50,60,60,70,80,90,100,170,140,120,110,100,90,80,70,90,100,100,100,80,60,70,70,70,60,60,60
4,2020,000091,,,1,00-000040,Civilian Unemployment Rate,19.8%,20.8%,19.7%,16.8%,14.5%,13.2%,12.6%,12.7%,13.1%,13.5%,15.7%,17.1%,18.2%,18.4%,17.4%,17.0%,15.1%,14.4%,14.4%,13.5%,12.7%,12.3%,13.9%,14.6%,17.8%,17.6%,17.7%,16.9%,14.4%,13.5%,13.4%,13.0%,11.3%,11.9%,12.8%,15.2%,16.7%,16.8%,16.7%,14.8%,12.7%,11.9%,11.4%,10.9%,9.8%,10.3%,11.3%,12.0%,13.1%,13.6%,13.6%,11.5%,9.8%,8.7%,8.7%,8.7%,7.9%,7.9%,8.6%,10.3%,11.9%,12.2%,12.2%,9.4%,8.6%,8.1%,7.9%,7.2%,6.3%,6.3%,7.2%,8.3%,9.7%,9.8%,9.8%,8.3%,6.7%,7.1%,6.9%,6.4%,6.1%,6.1%,6.3%,8.4%,9.1%,9.2%,8.8%,7.7%,5.9%,5.5%,6.0%,5.7%,5.0%,5.0%,5.1%,5.8%,7.5%,8.6%,8.2%,6.7%,4.9%,5.4%,5.6%,5.5%,4.8%,5.0%,5.3%,5.8%,7.5%,7.6%,7.8%,6.3%,5.0%,5.0%,4.9%,4.5%,3.8%,4.2%,4.2%,4.9%,6.4%,6.9%,7.8%,14.3%,11.4%,9.5%,8.6%,7.7%,6.5%,5.6%,5.1%,7.0%,7.6%,7.7%,7.4%,6.5%,4.7%,5.0%,4.8%,4.9%,4.3%,4.3%,4.1%
8,2020,000091,"110000-813000, 920000",,1,01-000000,"Total, All Industries",600,600,630,710,780,880,830,810,790,770,720,660,670,660,700,680,750,790,770,810,800,760,690,630,580,590,580,550,650,730,700,680,700,700,650,580,580,580,590,590,660,730,700,710,700,710,650,650,630,630,620,620,680,740,690,700,690,670,610,590,590,550,540,600,650,670,640,640,680,680,610,610,570,570,590,600,620,670,640,630,670,660,610,580,550,550,560,550,600,630,600,610,630,620,570,560,530,530,540,540,610,640,590,590,610,630,570,560,540,550,560,570,640,670,680,670,700,690,670,650,600,590,590,530,580,630,600,620,650,660,630,590,570,580,600,610,670,710,720,700,720,700,670
9,2020,000091,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,20,20,20,10,20,20,10,10,10,10,10,10,20,20,10,10,20,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,10,10,20,20,20,20,20,20,10,10,10,10,10,10,10,20,20,20,20,20,20,10,10,20,20,20,20,20,20,20,20,20,20,10,10,10,10,20,20,20,20,20,20,20,20,10,10,10,20,20,20,20,20,20,20,20,10,10,10,10,10,20,20,20,20,20,20,20,20,10,10,10,10,20,20,20,20,20,20,20,20,10,10,10,20,20,20,20,20,20,20,20
