"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Siskiyou County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,000093,,,1,00-000010,Civilian Labor Force,"19,340","19,380","19,450","19,880","20,040","20,370","19,420","19,670","19,710","19,900","19,480","19,430","19,590","19,570","19,570","19,340","19,250","19,740","19,680","19,690","19,400","19,680","18,910","18,700","18,810","19,050","19,100","18,880","18,970","19,340","19,080","18,960","19,090","18,820","18,150","17,990","18,390","18,150","18,100","18,090","18,390","18,770","18,480","18,450","18,330","18,310","17,730","17,690","17,730","17,670","17,820","17,660","17,920","18,340","18,460","18,270","18,290","18,260","17,800","17,510","17,760","17,730","17,740","17,570","17,950","18,380","18,120","18,330","18,090","17,990","17,530","17,400","17,670","17,670","17,800","17,540","17,530","18,120","18,310","18,280","18,130","18,190","17,960","17,560","17,500","17,630","17,690","17,670","17,810","18,280","18,090","18,080","18,220","18,070","17,460","17,090","16,920","17,170","17,280","17,160","17,270","17,870","17,770","17,700","17,440","17,930","17,210","16,690","16,980","16,930","16,900","16,800","16,990","17,480","17,900","17,560","17,500","17,560","16,850","16,460","16,950","16,970","17,090","16,710","16,550","17,220","17,080","16,940","16,960","17,320","16,810","16,470","16,500","16,640","16,640","16,600","16,860","16,920","17,340","17,260","17,230","17,330","16,940"
2,2020,000093,,,1,00-000020,  Civilian Employment,"15,440","15,420","15,600","16,490","16,920","17,240","16,340","16,630","16,770","16,860","16,010","15,670","15,520","15,600","15,720","16,010","16,140","16,500","16,510","16,610","16,440","16,730","15,760","15,310","15,070","15,330","15,530","15,740","16,100","16,470","16,240","16,310","16,670","16,380","15,520","15,030","15,130","15,060","15,220","15,630","16,150","16,470","16,240","16,330","16,320","16,300","15,520","15,380","15,040","14,950","15,180","15,630","16,130","16,530","16,620","16,530","16,710","16,680","16,000","15,520","15,490","15,510","15,680","15,920","16,420","16,830","16,600","16,930","16,790","16,650","15,990","15,590","15,560","15,620","15,800","16,020","16,290","16,800","16,980","17,010","16,920","16,960","16,580","15,910","15,760","15,780","15,960","16,340","16,680","17,120","16,910","16,940","17,240","17,080","16,360","15,780","15,410","15,560","15,700","15,940","16,300","16,790","16,700","16,700","16,540","16,990","16,200","15,430","15,400","15,330","15,320","15,590","16,060","16,460","16,870","16,620","16,690","16,730","15,940","15,330","15,520","15,540","15,520","14,110","14,460","15,340","15,320","15,410","15,600","16,060","15,670","14,910","14,870","15,000","15,090","15,260","15,680","15,600","16,030","16,020","16,160","16,290","15,970"
3,2020,000093,,,1,00-000030,  Civilian Unemployment,"3,890","3,960","3,850","3,390","3,130","3,130","3,080","3,050","2,940","3,040","3,470","3,760","4,070","3,960","3,850","3,330","3,120","3,230","3,170","3,080","2,960","2,950","3,150","3,390","3,740","3,720","3,570","3,140","2,880","2,870","2,840","2,660","2,430","2,440","2,630","2,960","3,260","3,090","2,880","2,470","2,240","2,300","2,250","2,120","2,010","2,010","2,210","2,310","2,690","2,710","2,640","2,020","1,790","1,810","1,840","1,740","1,580","1,580","1,800","1,990","2,270","2,230","2,070","1,660","1,530","1,550","1,520","1,410","1,300","1,340","1,540","1,810","2,110","2,040","2,000","1,520","1,240","1,320","1,340","1,280","1,210","1,230","1,380","1,650","1,740","1,850","1,730","1,330","1,130","1,160","1,180","1,140",990,990,"1,090","1,300","1,510","1,610","1,580","1,220",970,"1,080","1,070","1,000",900,940,"1,020","1,250","1,570","1,600","1,580","1,210",930,"1,010","1,030",940,800,840,910,"1,130","1,440","1,430","1,570","2,610","2,090","1,880","1,760","1,540","1,360","1,260","1,150","1,570","1,630","1,630","1,540","1,330","1,190","1,320","1,310","1,240","1,070","1,040",970
4,2020,000093,,,1,00-000040,Civilian Unemployment Rate,20.1%,20.4%,19.8%,17.0%,15.6%,15.4%,15.9%,15.5%,14.9%,15.3%,17.8%,19.3%,20.8%,20.3%,19.7%,17.2%,16.2%,16.4%,16.1%,15.6%,15.3%,15.0%,16.7%,18.1%,19.9%,19.5%,18.7%,16.6%,15.2%,14.8%,14.9%,14.0%,12.7%,13.0%,14.5%,16.5%,17.7%,17.0%,15.9%,13.6%,12.2%,12.3%,12.2%,11.5%,11.0%,11.0%,12.5%,13.0%,15.2%,15.4%,14.8%,11.5%,10.0%,9.9%,10.0%,9.5%,8.6%,8.7%,10.1%,11.4%,12.8%,12.6%,11.6%,9.4%,8.5%,8.4%,8.4%,7.7%,7.2%,7.4%,8.8%,10.4%,12.0%,11.6%,11.2%,8.7%,7.1%,7.3%,7.3%,7.0%,6.6%,6.8%,7.7%,9.4%,10.0%,10.5%,9.8%,7.5%,6.3%,6.3%,6.5%,6.3%,5.4%,5.5%,6.3%,7.6%,8.9%,9.4%,9.2%,7.1%,5.6%,6.1%,6.0%,5.6%,5.2%,5.2%,5.9%,7.5%,9.3%,9.4%,9.4%,7.2%,5.5%,5.8%,5.7%,5.4%,4.6%,4.8%,5.4%,6.9%,8.5%,8.4%,9.2%,15.6%,12.6%,10.9%,10.3%,9.1%,8.0%,7.3%,6.8%,9.5%,9.9%,9.8%,9.3%,8.0%,7.0%,7.8%,7.5%,7.2%,6.2%,6.0%,5.7%
8,2020,000093,"110000-813000, 920000",,1,01-000000,"Total, All Industries","12,500","12,400","12,620","13,530","14,010","14,460","13,360","13,640","13,790","14,090","13,260","12,870","12,600","12,670","12,760","13,190","13,260","13,720","13,620","13,720","13,550","13,870","12,900","12,410","12,150","12,340","12,550","12,920","13,280","13,770","13,420","13,560","13,760","13,610","12,790","12,270","12,250","12,250","12,460","12,930","13,440","13,860","13,510","13,690","13,630","13,880","12,990","12,860","12,350","12,300","12,510","13,080","13,560","14,030","13,970","13,980","14,070","14,140","13,450","13,020","12,770","12,810","13,010","13,360","13,820","14,370","14,080","14,450","14,310","14,350","13,640","13,220","12,990","13,050","13,210","13,690","13,920","14,540","14,620","14,690","14,570","14,800","14,450","13,680","13,320","13,310","13,530","14,070","14,460","15,020","14,630","14,740","14,960","15,020","14,320","13,650","13,090","13,230","13,390","13,770","14,130","14,790","14,470","14,640","14,330","15,050","14,210","13,360","13,220","13,110","13,170","13,630","14,160","14,710","14,920","14,780","14,700","15,000","14,190","13,530","13,600","13,630","13,720","12,680","13,200","14,020","13,830","13,920","14,090","14,330","13,940","13,070","12,810","12,840","13,060","13,530","13,890","13,940","14,120","14,220","14,230","14,520","14,060"
9,2020,000093,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,450,470,520,690,700,780,920,870,740,"1,110",680,470,460,410,420,710,680,730,970,940,900,"1,140",750,460,470,410,470,750,740,920,"1,040",990,"1,000","1,110",740,430,480,390,470,770,770,930,"1,010",950,810,"1,140",650,510,490,420,520,760,760,900,"1,040",990,910,"1,220",730,570,540,530,610,760,820,"1,000","1,000","1,040",960,"1,270",790,540,470,470,530,760,790,930,"1,140","1,020",950,"1,410","1,280",550,560,490,520,820,840,920,"1,100","1,040","1,340","1,570","1,330",540,480,530,600,770,840,930,"1,020",970,850,"1,760","1,280",520,640,500,510,680,750,930,"1,040",970,920,"1,490",900,560,680,670,880,800,840,990,"1,040","1,020",980,"1,470","1,140",530,560,520,600,750,800,930,"1,060",990,990,"1,530","1,170"
