"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,San Luis Obispo Paso Robles Arroyo Grande MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(San Luis Obispo County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,042020,,,1,00-000010,Civilian Labor Force,"131,900","132,400","133,600","132,800","133,000","134,600","136,000","133,100","133,700","135,100","134,600","132,300","132,100","133,000","133,700","133,300","134,500","135,300","135,600","135,100","136,000","134,800","134,100","131,500","133,600","135,200","135,900","135,700","137,500","138,600","139,100","137,800","138,700","138,500","137,200","136,300","136,500","137,800","138,200","137,900","138,300","140,300","138,400","136,200","136,900","138,100","138,700","135,500","138,000","139,800","140,300","138,900","140,700","141,900","140,300","137,500","139,600","142,100","141,800","138,100","140,500","139,400","139,700","139,500","140,300","141,000","138,400","136,100","137,200","139,100","139,300","136,600","138,300","140,100","141,100","139,900","140,600","141,400","138,800","136,800","138,900","140,600","140,300","136,900","138,200","141,300","141,900","141,300","141,200","142,600","141,200","137,600","140,800","140,800","140,200","137,100","138,900","141,300","140,900","140,700","141,400","141,300","139,900","136,800","139,100","141,200","141,100","138,600","139,600","140,000","141,000","140,400","140,900","141,000","139,200","138,200","138,700","139,500","139,900","136,700","138,400","140,000","138,900","129,500","128,100","132,400","131,800","129,400","130,700","133,300","131,200","128,500","130,700","130,400","129,800","128,400","130,100","131,100","130,700","129,500","130,700","132,700","133,700"
2,2020,042020,,,1,00-000020,  Civilian Employment,"117,600","118,400","119,200","119,300","120,000","120,900","121,700","119,300","120,400","122,000","120,900","119,100","118,100","119,600","120,100","120,700","122,100","121,600","121,900","121,700","123,000","122,100","121,900","119,500","121,300","122,900","123,700","124,600","126,300","126,300","126,700","126,100","128,000","127,800","126,800","126,000","125,500","127,600","128,400","128,800","129,400","130,100","128,200","126,500","127,800","129,000","130,000","127,300","129,400","131,200","131,700","131,600","133,400","133,900","131,600","129,200","132,000","134,600","134,300","131,200","132,800","132,100","132,700","133,100","134,000","134,200","131,400","129,500","131,200","132,900","133,100","130,500","131,800","133,700","134,600","134,200","135,400","135,000","132,300","130,500","133,000","134,800","134,700","131,400","132,000","135,500","136,400","136,600","136,700","137,300","135,500","132,100","136,100","136,400","135,700","132,900","134,000","136,700","136,400","136,700","137,900","136,700","135,400","132,500","135,200","137,200","137,200","134,500","134,600","135,600","136,500","136,700","137,500","136,700","134,700","134,000","135,100","135,700","136,100","132,900","134,000","135,800","134,000","110,300","111,300","117,900","118,800","118,300","120,800","124,700","124,100","120,000","121,800","122,200","122,300","121,300","123,400","123,400","123,300","122,400","124,800","127,100","128,800"
3,2020,042020,,,1,00-000030,  Civilian Unemployment,"14,300","14,000","14,400","13,500","13,000","13,700","14,300","13,900","13,300","13,100","13,700","13,200","14,000","13,400","13,500","12,600","12,400","13,700","13,700","13,300","12,900","12,700","12,200","12,000","12,300","12,400","12,300","11,100","11,100","12,300","12,400","11,700","10,700","10,700","10,300","10,300","10,900","10,200","9,800","9,100","8,900","10,200","10,300","9,700","9,100","9,100","8,800","8,200","8,600","8,600","8,600","7,200","7,300","8,000","8,700","8,300","7,600","7,500","7,500","6,900","7,700","7,200","7,000","6,300","6,300","6,800","7,000","6,600","6,000","6,100","6,200","6,100","6,500","6,400","6,500","5,800","5,200","6,400","6,500","6,400","5,900","5,900","5,500","5,500","6,200","5,800","5,500","4,800","4,400","5,300","5,600","5,400","4,700","4,500","4,500","4,300","4,900","4,600","4,400","3,900","3,600","4,600","4,500","4,300","3,900","4,000","4,000","4,100","5,000","4,400","4,500","3,600","3,500","4,300","4,500","4,200","3,600","3,800","3,800","3,800","4,500","4,200","4,900","19,200","16,800","14,600","13,000","11,100","9,800","8,600","7,100","8,600","8,900","8,200","7,500","7,100","6,700","7,700","7,500","7,100","5,900","5,700","4,900"
4,2020,042020,,,1,00-000040,Civilian Unemployment Rate,10.8%,10.6%,10.7%,10.2%,9.7%,10.2%,10.5%,10.4%,9.9%,9.7%,10.2%,9.9%,10.6%,10.1%,10.1%,9.4%,9.2%,10.1%,10.1%,9.9%,9.5%,9.4%,9.1%,9.1%,9.2%,9.1%,9.0%,8.2%,8.1%,8.9%,8.9%,8.5%,7.7%,7.7%,7.5%,7.6%,8.0%,7.4%,7.1%,6.6%,6.5%,7.2%,7.4%,7.1%,6.7%,6.6%,6.3%,6.0%,6.2%,6.2%,6.1%,5.2%,5.2%,5.6%,6.2%,6.0%,5.4%,5.3%,5.3%,5.0%,5.5%,5.2%,5.0%,4.5%,4.5%,4.8%,5.1%,4.9%,4.4%,4.4%,4.5%,4.5%,4.7%,4.6%,4.6%,4.1%,3.7%,4.6%,4.7%,4.6%,4.3%,4.2%,3.9%,4.0%,4.5%,4.1%,3.9%,3.4%,3.1%,3.7%,4.0%,4.0%,3.3%,3.2%,3.2%,3.1%,3.5%,3.3%,3.2%,2.8%,2.5%,3.2%,3.2%,3.1%,2.8%,2.8%,2.8%,3.0%,3.6%,3.1%,3.2%,2.6%,2.5%,3.0%,3.2%,3.0%,2.6%,2.7%,2.7%,2.8%,3.2%,3.0%,3.5%,14.8%,13.1%,11.0%,9.9%,8.6%,7.5%,6.4%,5.4%,6.7%,6.8%,6.3%,5.8%,5.5%,5.2%,5.9%,5.7%,5.5%,4.5%,4.3%,3.6%
8,2020,042020,"110000-813000, 920000",,1,01-000000,"Total, All Industries","97,700","98,000","98,800","99,000","101,100","102,600","101,600","99,600","100,800","103,300","102,600","100,000","98,000","99,400","99,900","101,100","102,400","102,900","102,200","101,700","103,200","102,300","101,600","99,100","100,000","101,500","102,500","104,400","106,600","107,600","106,400","106,500","107,400","107,600","107,200","106,000","104,200","106,700","107,900","108,700","109,500","111,000","107,900","107,100","107,900","110,800","111,600","108,700","109,400","111,200","111,700","112,500","114,400","115,400","111,900","110,100","112,300","115,200","115,100","112,400","115,400","114,800","115,800","117,000","117,700","118,800","115,400","113,800","115,800","118,100","118,400","115,900","115,500","117,500","118,200","119,700","120,800","121,200","117,400","116,100","118,300","120,900","121,300","118,200","116,800","120,300","121,700","122,800","123,300","124,800","121,300","118,600","121,700","123,200","122,800","120,500","120,000","122,600","122,300","123,800","124,800","124,900","121,600","120,100","122,000","124,500","124,900","122,500","121,500","122,400","123,900","125,600","127,000","127,400","123,300","123,600","123,500","125,200","126,500","123,200","123,100","125,100","124,000","102,700","104,900","111,000","110,500","109,700","112,200","113,800","113,500","109,300","109,200","109,300","110,200","111,600","113,200","114,100","111,800","111,700","113,200","116,300","117,100"
9,2020,042020,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"3,200","3,700","3,600","3,400","4,800","5,300","6,100","5,700","6,100","6,000","5,600","3,400","3,300","4,000","3,700","3,900","4,400","5,500","6,800","5,300","6,200","5,900","4,500","3,300","3,900","4,500","4,300","4,200","5,200","6,000","6,500","6,400","6,800","5,600","4,400","3,800","3,500","4,200","4,900","4,300","4,700","5,000","5,100","4,800","4,700","5,000","4,500","3,800","3,600","4,400","4,600","4,600","5,200","5,500","5,300","4,800","5,100","5,200","4,400","4,100","4,500","5,200","5,200","5,100","5,200","5,500","5,700","5,300","5,400","4,900","4,400","4,100","4,300","4,900","4,800","4,900","5,000","5,100","5,300","5,000","5,100","5,100","4,500","4,100","4,200","5,000","5,400","5,200","5,300","5,800","6,000","5,600","5,700","5,500","4,700","4,300","4,500","5,500","4,900","5,000","5,400","5,500","5,500","5,300","5,400","5,700","5,000","4,200","4,200","5,000","5,200","5,200","5,400","5,600","5,200","4,900","5,100","5,300","4,400","3,900","4,400","5,100","5,000","4,700","5,800","5,400","5,000","4,500","4,900","4,900","4,200","3,900","4,100","4,900","4,800","4,800","5,100","5,200","5,100","4,800","5,000","5,100","4,400"
