"December 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Development Department,,,,,,Visalia Porterville MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labor Market Information Division,,,,,,(Tulare County),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(916) 262-2162,,,,,,Industry Employment & Labor Force - by MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,March 2020 Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See notes at bottom of page for column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21
1,2020,047300,,,1,00-000010,Civilian Labor Force,"202,700","202,400","199,000","203,500","207,900","206,800","202,100","204,700","203,100","203,400","204,700","201,600","202,800","202,300","199,200","202,100","207,300","207,100","204,400","204,300","206,600","203,000","200,800","200,700","203,400","203,700","201,000","200,000","207,000","204,500","201,100","200,200","201,200","197,600","195,900","197,200","203,100","203,800","200,000","204,200","204,900","205,500","200,300","200,700","197,400","195,400","195,600","195,100","199,000","198,700","198,700","199,700","200,800","199,300","198,400","197,300","196,900","193,400","196,200","196,400","202,300","202,300","201,200","205,200","207,100","204,400","205,200","202,200","200,500","196,300","199,700","199,100","203,300","204,700","203,600","207,400","206,400","205,200","204,100","202,900","202,300","199,100","199,600","201,200","203,000","205,700","204,500","210,800","211,600","209,000","203,300","204,300","203,900","198,600","200,600","200,000","201,700","205,400","202,200","204,400","207,400","206,800","201,000","202,700","202,700","198,600","202,000","201,500","203,700","203,600","202,300","203,300","204,800","204,300","200,300","203,100","202,100","199,200","200,100","198,900","204,500","206,000","206,200","201,500","203,900","202,500","196,000","196,800","194,100","195,100","192,100","191,300","195,500","197,500","193,600","197,100","201,100","202,200","199,000","200,000","201,000","199,300","200,300"
2,2020,047300,,,1,00-000020,  Civilian Employment,"164,000","162,700","159,100","168,100","174,600","173,100","166,500","170,900","170,300","169,700","169,200","164,000","163,400","163,300","160,300","167,000","174,300","172,700","168,800","170,200","173,600","169,800","168,100","164,900","165,900","166,200","164,000","166,300","175,400","171,600","167,700","168,600","172,000","167,700","166,400","165,100","168,200","170,500","167,300","175,200","177,600","176,600","171,500","173,100","171,400","168,700","168,900","167,200","168,000","167,700","167,000","172,900","176,100","174,200","172,400","172,800","174,400","170,400","172,300","171,300","174,400","175,000","173,700","181,400","184,700","181,200","181,600","180,500","180,300","175,400","178,000","175,600","177,500","179,000","177,200","184,700","186,400","183,500","181,700","181,400","181,600","177,600","178,000","177,500","177,300","179,400","178,500","188,900","192,000","188,300","182,300","183,900","185,500","180,100","181,600","179,100","178,800","181,600","177,900","184,100","189,600","186,900","181,100","184,200","186,200","181,500","184,000","181,300","180,200","180,400","178,200","183,100","187,400","185,300","180,300","184,200","185,500","181,800","181,600","178,800","181,700","182,700","179,000","163,900","170,200","172,100","166,600","171,000","170,700","173,300","173,600","169,300","173,100","174,700","171,200","175,500","180,600","179,800","176,800","178,900","182,300","181,000","183,800"
3,2020,047300,,,1,00-000030,  Civilian Unemployment,"38,700","39,700","39,900","35,400","33,300","33,700","35,600","33,800","32,700","33,700","35,500","37,600","39,400","39,000","38,900","35,100","33,000","34,400","35,600","34,100","33,100","33,200","32,800","35,900","37,500","37,400","37,000","33,600","31,600","32,900","33,400","31,700","29,300","29,900","29,500","32,100","34,900","33,200","32,600","29,100","27,300","28,900","28,800","27,500","26,000","26,800","26,700","27,900","31,000","31,000","31,700","26,800","24,700","25,100","26,000","24,600","22,500","23,100","23,900","25,100","28,000","27,300","27,500","23,700","22,400","23,200","23,600","21,700","20,200","20,900","21,700","23,500","25,800","25,700","26,300","22,700","20,000","21,700","22,400","21,400","20,700","21,400","21,700","23,700","25,700","26,300","26,000","21,900","19,600","20,600","21,000","20,400","18,400","18,400","19,000","20,900","23,000","23,900","24,200","20,300","17,800","20,000","19,900","18,500","16,500","17,100","18,100","20,300","23,500","23,200","24,100","20,200","17,400","19,000","20,000","18,900","16,600","17,400","18,600","20,100","22,800","23,300","27,200","37,600","33,600","30,400","29,300","25,800","23,400","21,700","18,500","21,900","22,400","22,800","22,500","21,600","20,400","22,400","22,200","21,100","18,700","18,400","16,500"
4,2020,047300,,,1,00-000040,Civilian Unemployment Rate,19.1%,19.6%,20.0%,17.4%,16.0%,16.3%,17.6%,16.5%,16.1%,16.6%,17.3%,18.6%,19.4%,19.3%,19.5%,17.4%,15.9%,16.6%,17.4%,16.7%,16.0%,16.4%,16.3%,17.9%,18.4%,18.4%,18.4%,16.8%,15.3%,16.1%,16.6%,15.8%,14.5%,15.1%,15.0%,16.3%,17.2%,16.3%,16.3%,14.2%,13.3%,14.1%,14.4%,13.7%,13.2%,13.7%,13.6%,14.3%,15.6%,15.6%,16.0%,13.4%,12.3%,12.6%,13.1%,12.4%,11.4%,11.9%,12.2%,12.8%,13.8%,13.5%,13.7%,11.6%,10.8%,11.4%,11.5%,10.7%,10.1%,10.6%,10.9%,11.8%,12.7%,12.5%,12.9%,11.0%,9.7%,10.6%,11.0%,10.6%,10.2%,10.8%,10.8%,11.8%,12.7%,12.8%,12.7%,10.4%,9.3%,9.9%,10.3%,10.0%,9.0%,9.3%,9.5%,10.4%,11.4%,11.6%,12.0%,9.9%,8.6%,9.6%,9.9%,9.1%,8.1%,8.6%,8.9%,10.0%,11.5%,11.4%,11.9%,9.9%,8.5%,9.3%,10.0%,9.3%,8.2%,8.7%,9.3%,10.1%,11.2%,11.3%,13.2%,18.6%,16.5%,15.0%,15.0%,13.1%,12.1%,11.1%,9.6%,11.5%,11.5%,11.6%,11.6%,11.0%,10.2%,11.1%,11.2%,10.6%,9.3%,9.2%,8.2%
8,2020,047300,"110000-813000, 920000",,1,01-000000,"Total, All Industries","139,800","138,200","134,800","145,500","154,700","155,300","144,700","149,300","149,300","149,600","148,400","142,000","139,100","139,300","135,800","144,800","153,400","153,600","146,900","148,300","151,800","146,800","144,400","140,100","139,900","140,100","137,900","142,500","154,000","151,600","144,900","146,600","149,000","144,200","142,900","141,000","142,300","145,000","142,600","152,400","156,000","156,300","148,800","151,500","149,200","147,900","147,400","145,100","143,200","143,900","143,500","151,200","155,000","154,000","150,500","151,900","153,100","148,100","150,200","148,700","149,700","150,400","149,700","160,000","164,300","161,800","162,000","161,100","160,800","155,700","158,000","154,100","153,400","155,200","153,400","165,500","167,500","165,800","163,200","163,600","163,100","159,300","159,200","158,200","153,800","156,400","156,100","169,800","174,500","171,900","163,300","166,300","166,800","162,800","164,000","160,800","157,000","160,500","156,600","165,900","172,600","171,400","162,800","168,700","169,400","165,000","167,500","163,800","159,900","159,600","158,500","166,600","172,700","172,200","164,700","170,600","170,400","167,200","167,200","163,200","163,800","164,700","162,000","151,100","161,700","162,800","154,200","159,500","158,900","157,800","157,900","153,400","153,700","154,200","152,800","161,500","167,200","167,500","161,200","165,300","167,400","165,900","167,100"
9,2020,047300,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"33,100","30,700","27,100","36,900","44,800","45,900","38,000","41,200","41,500","40,700","38,900","33,100","33,300","32,000","27,600","35,900","43,600","44,400","38,200","39,500","40,800","36,700","33,900","30,500","31,800","31,400","28,200","32,100","41,800","39,900","35,200","35,600","37,200","32,700","30,100","28,700","31,000","32,300","29,900","38,300","40,500","41,000","36,300","37,200","35,800","34,400","33,200","31,500","31,700","31,200","30,700","37,200","39,900","39,600","37,300","37,100","37,100","32,700","33,300","31,200","34,500","34,400","33,100","42,400","46,000","44,200","44,800","42,300","41,500","36,300","37,200","32,900","33,600","34,100","32,300","43,200","45,200","44,000","42,900","42,300","40,900","37,700","35,700","33,200","31,500","33,000","31,900","43,600","47,400","45,300","40,300","40,900","40,600","38,200","37,500","34,200","32,600","35,000","30,400","40,200","46,000","45,300","39,900","42,700","41,900","38,300","38,700","35,000","33,800","32,500","31,600","38,500","43,900","43,900","38,600","41,800","41,200","37,600","35,800","32,300","34,200","33,300","31,000","33,100","43,400","41,600","33,600","36,900","34,800","33,600","33,100","32,300","34,100","33,300","30,900","38,900","44,000","43,300","38,300","40,900","40,700","37,700","37,100"
